"","clade_name"
"1","AUS1002"
"2","AUS1005"
"3","AUS1006"
"4","AUS1007"
"5","AUS1008"
"6","AUS1010"
"7","AUS1011"
"8","AUS1012"
"9","AUS1013"
"10","AUS1015"
"11","AUS1016"
"12","AUS1017"
"13","AUS1021"
"14","AUS1022"
"15","AUS1023"
"16","AUS1024"
"17","AUS1027"
"18","AUS1028"
"19","AUS1029"
"20","AUS1032"
"21","AUS1033"
"22","AUS1034"
"23","AUS1035"
"24","AUS1036"
"25","AUS1040"
"26","AUS1041"
"27","AUS1044"
"28","AUS1045"
"29","AUS1046"
"30","AUS1047"
"31","AUS1048"
"32","AUS1049"
"33","AUS1055"
"34","AUS1057"
"35","AUS1059"
"36","AUS1060"
"37","AUS1061"
"38","AUS1062"
"39","AUS1063"
"40","AUS1064"
"41","AUS1065"
"42","AUS1066"
"43","AUS1067"
"44","AUS1069"
"45","AUS1070"
"46","AUS1071"
"47","AUS1073"
"48","AUS1074"
"49","AUS1075"
"50","AUS1076"
"51","AUS1077"
"52","AUS1078"
"53","AUS1079"
"54","AUS1080"
"55","AUS1081"
"56","AUS1082"
"57","AUS1083"
"58","AUS1084"
"59","AUS1085"
"60","AUS1087"
"61","AUS1089"
"62","AUS1091"
"63","AUS1093"
"64","AUS1094"
"65","AUS1095"
"66","AUS1097"
"67","AUS1098"
"68","AUS1099"
"69","AUS1100"
"70","AUS1101"
"71","AUS1102"
"72","AUS1103"
"73","AUS1104"
"74","AUS1105"
"75","AUS1107"
"76","AUS1108"
"77","AUS1109"
"78","AUS1111"
"79","AUS1113"
"80","AUS1114"
"81","AUS1115"
"82","AUS1116"
"83","AUS1117"
"84","AUS1118"
"85","AUS1120"
"86","AUS1121"
"87","AUS1122"
"88","AUS1123"
"89","AUS1125"
"90","AUS1126"
"91","AUS1128"
"92","AUS1129"
"93","AUS1131"
"94","AUS1132"
"95","AUS1133"
"96","AUS2008"
"97","AUS2012"
"98","AUS2015"
"99","AUS2017"
"100","AUS2023"
"101","AUS2024"
"102","AUS2027"
"103","AUS2033"
"104","AUS2044"
"105","AUS2047"
"106","AUS2058"
"107","AUS2066"
"108","AUS2067"
"109","AUS2069"
"110","AUS2070"
"111","AUS2071"
"112","AUS2073"
"113","AUS2074"
"114","AUS2080"
"115","AUS2083"
"116","AUS2091"
"117","AUS2098"
"118","AUS2100"
"119","AUS2101"
"120","AUS2102"
"121","AUS2113"
"122","AUS2118"
"123","AUS2120"
"124","AUS2121"
"125","AUS2129"
"126","AUS2131"
"127","AUS3006"
"128","AUS3007"
"129","AUS3011"
"130","AUS3015"
"131","AUS3016"
"132","AUS3017"
"133","AUS3024"
"134","AUS3028"
"135","AUS3029"
"136","AUS3032"
"137","AUS3034"
"138","AUS3046"
"139","AUS3048"
"140","AUS3049"
"141","AUS3059"
"142","AUS3060"
"143","AUS3062"
"144","AUS3063"
"145","AUS3064"
"146","AUS3065"
"147","AUS3066"
"148","AUS3082"
"149","AUS3089"
"150","AUS3095"
"151","AUS3097"
"152","AUS3128"
"153","AUS4004"
"154","AUS4005"
"155","AUS4007"
"156","AUS4010"
"157","AUS4013"
"158","AUS4017"
"159","AUS4018"
"160","AUS4020"
"161","AUS4021"
"162","AUS4025"
"163","AUS4027"
"164","AUS4028"
"165","AUS4029"
"166","AUS4030"
"167","AUS4035"
"168","AUS4037"
"169","AUS4040"
"170","AUS4041"
"171","HK1001"
"172","HK1002"
"173","HK1003"
"174","HK1004"
"175","HK1005"
"176","HK1006"
"177","HK1007"
"178","HK1008"
"179","HK1009"
"180","HK1010"
"181","HK1011"
"182","HK1012"
"183","HK1013"
"184","HK1014"
"185","HK1015"
"186","HK1016"
"187","HK1017"
"188","HK1018"
"189","HK1019"
"190","HK1020"
"191","HK1021"
"192","HK1022"
"193","HK1024"
"194","HK1025"
"195","HK1026"
"196","HK1027"
"197","HK1028"
"198","HK1029"
"199","HK1030"
"200","HK1031"
"201","HK1032"
"202","HK1035"
"203","HK1036"
"204","HK1037"
"205","HK1038"
"206","HK1039"
"207","HK1041"
"208","HK1043"
"209","HK1044"
"210","HK1045"
"211","HK1047"
"212","HK1048"
"213","HK1049"
"214","HK1050"
"215","HK1052"
"216","HK1053"
"217","HK1054"
"218","HK1055"
"219","HK1056"
"220","HK1057"
"221","HK1058"
"222","HK1059"
"223","HK1060"
"224","HK1061"
"225","HK1063"
"226","HK1064"
"227","HK1065"
"228","HK1066"
"229","HK1067"
"230","HK1068"
"231","HK1069"
"232","HK1070"
"233","HK1071"
"234","HK1072"
"235","HK1073"
"236","HK1074"
"237","HK1077"
"238","HK1078"
