,AUS,,,HK,,,MC,,
,(N=170),,,(N=156),,,(N=153),,
,CD.active,CD.inactive,Control,CD.active.1,CD.inactive.1,Control.1,CD.active.2,CD.inactive.2,Control.2
,(N=15),(N=80),(N=75),(N=17),(N=38),(N=101),(N=19),(N=71),(N=63)
Age,,,,,,,,,
  Mean (SD),43.8 (11.9),37.5 (14.0),48.4 (13.2),35.9 (12.2),38.3 (14.4),40.3 (9.62),40.2 (16.2),38.5 (13.2),50.8 (10.9)
"  Median [Min, Max]","47.2 [21.5, 61.7]","33.8 [18.1, 78.2]","49.5 [19.4, 77.7]","36.9 [19.1, 60.1]","35.7 [19.2, 66.2]","40.9 [19.4, 59.9]","42.7 [0.271, 65.0]","36.3 [19.6, 72.9]","52.8 [19.0, 70.6]"
  Missing,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),1 (1.0%),0 (0%),0 (0%),0 (0%)
Gender,,,,,,,,,
  Female,5 (33.3%),43 (53.8%),42 (56.0%),9 (52.9%),17 (44.7%),43 (42.6%),7 (36.8%),25 (35.2%),38 (60.3%)
  Male,10 (66.7%),37 (46.3%),33 (44.0%),8 (47.1%),21 (55.3%),58 (57.4%),12 (63.2%),46 (64.8%),25 (39.7%)
Smoke,,,,,,,,,
  Current smoker,3 (20.0%),2 (2.5%),6 (8.0%),1 (5.9%),4 (10.5%),30 (29.7%),3 (15.8%),2 (2.8%),5 (7.9%)
  Never smoker,9 (60.0%),49 (61.3%),45 (60.0%),12 (70.6%),29 (76.3%),49 (48.5%),15 (78.9%),53 (74.6%),53 (84.1%)
  Past/Ex smoker,3 (20.0%),29 (36.3%),24 (32.0%),4 (23.5%),5 (13.2%),8 (7.9%),1 (5.3%),16 (22.5%),5 (7.9%)
  Missing,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),14 (13.9%),0 (0%),0 (0%),0 (0%)
CDAI,,,,,,,,,
  Mean (SD),192 (30.9),54.1 (37.3),NA (NA),250 (75.3),86.0 (41.3),NA (NA),201 (41.5),68.5 (36.9),NA (NA)
"  Median [Min, Max]","180 [156, 233]","46.0 [0, 130]","NA [NA, NA]","221 [162, 402]","95.5 [0, 142]","NA [NA, NA]","201 [152, 289]","66.0 [0, 145]","NA [NA, NA]"
  Missing,2 (13.3%),0 (0%),75 (100%),1 (5.9%),0 (0%),101 (100%),5 (26.3%),0 (0%),63 (100%)
BMI,,,,,,,,,
  Mean (SD),23.3 (4.16),25.6 (5.12),27.2 (5.10),18.8 (2.02),22.0 (4.05),22.1 (2.56),21.3 (3.30),22.9 (3.68),23.4 (3.30)
"  Median [Min, Max]","23.2 [16.3, 30.5]","24.6 [17.2, 43.0]","26.0 [17.6, 47.3]","18.0 [16.0, 22.9]","20.9 [15.4, 35.5]","22.0 [16.8, 30.4]","20.3 [15.1, 28.4]","22.6 [15.2, 32.6]","23.4 [14.8, 32.5]"
  Missing,0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),0 (0%),1 (1.6%)
White Blood Cell Count,,,,,,,,,
