feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k149_45854_12	Group	CD	-1.66620970899562	0.219702785605483	410	253	2.2867894259611e-13	1.55501680965355e-11
k149_16561_10	Group	CD	1.71640713194807	0.246133138372499	410	230	1.25259726222166e-11	4.25883069155365e-10
k149_130261_154	Group	CD	1.59546356074654	0.233370793084583	410	202	2.96987705626626e-11	6.73172132753687e-10
k149_43898_21	Group	CD	1.34063619205013	0.201547101577197	410	199	9.33587798813816e-11	1.58709925798349e-09
k149_49100_7	Group	CD	1.57502929443007	0.238468398224311	410	218	1.24403309899474e-10	1.69188501463285e-09
k149_110541_22	Group	CD	-1.35423490381386	0.208331347100754	410	228	2.34187116566838e-10	2.65412065442417e-09
k149_29044_31	Group	CD	1.60509230157553	0.248549756173309	410	229	3.024190667365e-10	2.82110579198718e-09
k149_85897_43	Group	CD	1.52092284398456	0.236083931184142	410	197	3.31894799057315e-10	2.82110579198718e-09
k149_131241_136	Group	CD	1.28126896396019	0.203136864446573	410	177	7.38837866654233e-10	5.02409749324879e-09
k149_78367_20	Group	CD	1.72674363531328	0.273140918331976	410	230	6.78809127783103e-10	5.02409749324879e-09
k149_17078_68	Group	CD	-1.13456973846088	0.181443923907107	410	212	1.01656756553737e-09	5.76054953804511e-09
k149_54842_45	Group	CD	-2.356596248775	0.376032847152552	410	184	9.3667978597755e-10	5.76054953804511e-09
k149_130672_15	Group	CD	1.12346598552094	0.184027972497741	410	140	2.3970850283676e-09	1.25385986099228e-08
k149_122792_191	Group	CD	1.61447391994239	0.265329823891884	410	247	2.68938158258298e-09	1.27647296301808e-08
k149_163091_92	Group	CD	1.80005173637629	0.296219409268851	410	210	2.81574918312811e-09	1.27647296301808e-08
k149_101865_34	Group	CD	1.5008841807754	0.248874725896116	410	198	3.66106329316419e-09	1.43086973447002e-08
k149_154020_42	Group	CD	1.5242652619541	0.252148389376243	410	221	3.37262527829476e-09	1.43086973447002e-08
k149_78367_35	Group	CD	1.6233384032466	0.269447247649244	410	184	3.78759635595006e-09	1.43086973447002e-08
k149_112649_18	Group	CD	-1.12423969142328	0.187923359110627	410	230	4.81135755783538e-09	1.63586156966403e-08
k149_59941_16	Group	CD	0.815498087056842	0.136141468480696	410	100	4.60811468335066e-09	1.63586156966403e-08
k149_163091_90	Group	CD	1.64085860166737	0.275078213394587	410	147	5.30663115728429e-09	1.71833770807301e-08
k149_145357_32	Group	CD	1.46730804837636	0.247268720050764	410	211	6.3167349135477e-09	1.95244533691474e-08
k149_107332_92	Group	CD	3.23452304219168	0.550438497558218	410	194	8.72463712110349e-09	2.57887598029271e-08
k149_43075_294	Group	CD	1.53373924099139	0.261344192314482	410	227	9.1019152245625e-09	2.57887598029271e-08
k149_99651_133	Group	CD	1.42538552753468	0.243276703624884	410	211	9.59764668194921e-09	2.61055989749019e-08
k149_45431_17	Group	CD	-1.32051704853133	0.227557367687957	410	220	1.30905371904849e-08	3.42367895751143e-08
k149_110324_8	Group	CD	1.43492846743603	0.25414039882521	410	206	3.07742417105284e-08	7.75054976413307e-08
k149_137462_21	Group	CD	1.6173826340602	0.28687628773253	410	199	3.21807847874313e-08	7.78728607187555e-08
k149_99651_276	Group	CD	4.00977068236762	0.711954688066085	410	204	3.32104847182928e-08	7.78728607187555e-08
k149_7326_19	Group	CD	1.14934666796246	0.208098481615357	410	165	5.94211399426432e-08	1.34687917203325e-07
k149_6815_10	Group	CD	-0.946707030491997	0.171825184034225	410	151	6.37808967616393e-08	1.3990648321908e-07
k149_103437_27	Group	CD	-1.2862058959266	0.237033552358394	410	136	9.88831357770905e-08	2.10126663526317e-07
k149_91219_23	Group	CD	1.56079139492712	0.288258590172033	410	149	1.0511196492027e-07	2.16594351956921e-07
k149_163091_142	Group	CD	1.30050685775321	0.242271779382252	410	193	1.33892559731557e-07	2.67785119463113e-07
k149_305790_18	Group	CD	1.47820585710614	0.275789474748439	410	230	1.39593888674941e-07	2.71210983711313e-07
k149_130261_183	Group	CD	1.30573641450178	0.243890832289545	410	213	1.44089049187928e-07	2.72168204021641e-07
k149_43954_24	Group	CD	3.14474045646097	0.589080600991898	410	154	1.55994714096047e-07	2.84664590751605e-07
k149_63122_44	Group	CD	1.19700090110585	0.224590347398778	410	151	1.63126377174698e-07	2.84664590751605e-07
k149_78367_238	Group	CD	1.74640415136369	0.327683571994253	410	112	1.63263515284009e-07	2.84664590751605e-07
k149_1590_94	Group	CD	2.11039379454923	0.396386583264598	410	175	1.67918565330715e-07	2.85461561062215e-07
k149_25741_10	Group	CD	-1.08965326393747	0.205748783483357	410	233	1.93907113971934e-07	3.21602042685159e-07
k149_49060_107	Group	CD	1.07847480304688	0.20642073495472	410	175	2.78928171718775e-07	4.51597992306589e-07
k149_212974_29	Group	CD	-1.30434254806587	0.250177044210518	410	175	2.94842938754618e-07	4.66263251984047e-07
k149_49060_101	Group	CD	1.4338317736187	0.27543791067302	410	247	3.07057397711018e-07	4.74543251007936e-07
k149_49232_21	Group	CD	2.00681004653309	0.392364985642597	410	227	4.84556855863609e-07	7.32219248860565e-07
k149_148463_138	Group	CD	1.37498695555793	0.274195679879048	410	174	7.94071981691507e-07	1.15382651436303e-06
k149_49857_4	Group	CD	-0.719117840927259	0.143429413960791	410	128	7.97497737868568e-07	1.15382651436303e-06
k149_116128_96	Group	CD	1.19037987250979	0.240187895619588	410	193	1.05652808792066e-06	1.49674812455427e-06
k149_34831_79	Group	CD	1.1090828378553	0.22477002502988	410	191	1.17379458339277e-06	1.62893942185119e-06
k149_118281_20	Group	CD	1.48578736189657	0.311065777436136	410	111	2.492459092972e-06	3.38974436644192e-06
k149_106777_66	Group	CD	-0.646163575607603	0.137647115290176	410	126	3.65797627072847e-06	4.87730169430463e-06
k149_168967_172	Group	CD	-0.451478825042507	0.0991213532937366	410	73	6.93396855227475e-06	9.06749733759006e-06
k149_44733_4	Group	CD	-0.528184843241512	0.121103502217756	410	111	1.63837724483102e-05	2.1020689178964e-05
k149_85850_31	Group	CD	-0.544738693478962	0.125395959751711	410	54	1.76660829828383e-05	2.22461785709816e-05
k149_148463_24	Group	CD	0.908705213060933	0.210409473014687	410	137	1.97260905134094e-05	2.43886209983971e-05
k149_198842_65	Group	CD	-1.09945144918012	0.260292715517284	410	132	2.96367914081324e-05	3.59875324241608e-05
k149_115884_6	Group	CD	-1.38019768148121	0.32944460439149	410	87	3.42938802646968e-05	4.09119975087611e-05
k149_28321_45	Group	CD	-0.56621765244383	0.137308626087149	410	60	4.5196644113009e-05	5.29891689600796e-05
k149_69830_8	Group	CD	0.516806414424236	0.125538589385118	410	71	4.65287574957494e-05	5.36263645713721e-05
k149_277096_39	Group	CD	-0.571092276722621	0.139715070088715	410	55	5.25166340469073e-05	5.95188519198283e-05
k149_218693_8	Group	CD	-0.420202864910125	0.104301121367785	410	117	6.68900322283523e-05	7.45659375660321e-05
k149_74925_127	Group	CD	0.98984095399715	0.288473316792823	410	188	0.000662000786667957	0.000726065378926147
k149_168025_95	Group	CD	0.73057991849722	0.237377837259198	410	135	0.00222673857943887	0.00240346386352132
k149_211711_7	Group	CD	-0.43941774339523	0.150959066171485	410	125	0.00380217118189405	0.00403980688076242
k149_117874_31	Group	CD	-0.408841790389335	0.143151997599685	410	124	0.00450940021580587	0.00471752637961229
k149_191853_13	Group	CD	-0.446517709967992	0.156932338709998	410	97	0.00466073998469472	0.00480197452968547
k149_78077_21	Group	CD	-0.374527613077987	0.133524174394298	410	90	0.00527321077744076	0.00535191541591002
k149_134666_10	Group	CD	-0.362302340129584	0.133275106273267	410	92	0.00683848083098245	0.00683848083098245
