feature	Pathway1	Pathway2	Pathway3	Pathway4	Pathway5	Pathway6	Pathway7	Pathway8	Pathway9	Pathway10	Pathway11	Pathway12	Pathway13	Pathway14	Pathway15	Pathway16	Pathway17	Pathway18	Pathway19	Pathway20	Pathway21	Pathway22	Pathway23	Pathway24	Pathway25	Pathway26	Pathway27	Pathway28	Pathway29	Pathway30	Pathway31	Pathway32	Pathway33	Pathway34	Pathway35	Pathway36	Pathway37	Pathway38	Pathway39	Pathway40	Pathway41	Pathway42	Pathway43	Pathway44	Pathway45	Pathway46	Pathway47	Pathway48	Pathway49	Pathway50	Pathway51	Pathway52	Pathway53	Pathway54	Pathway55	Pathway56	Pathway57	Pathway58	Pathway59	Pathway60	Pathway61	Pathway62	Pathway63	Pathway64	Pathway65	Pathway66	Pathway67	Pathway68	Pathway69	Pathway70	Pathway71	Pathway72	Pathway73	Pathway74	Pathway75	Pathway76	Pathway77	Pathway78	Pathway79	Pathway80	Pathway81	Pathway82	Pathway83	Pathway84	Pathway85	Pathway86	Pathway87	Pathway88	Pathway89	Pathway90	Pathway91	Pathway92	Pathway93	Pathway94	Pathway95	Pathway96	Pathway97	Pathway98	Pathway99	Pathway100	Pathway101	Pathway102	Pathway103	Pathway104	Pathway105	Pathway106	Pathway107	Pathway108	Pathway109	Pathway110	Pathway111	Pathway112	Pathway113	Pathway114	Pathway115	Pathway116	Pathway117	Pathway118	Pathway119	Pathway120	Pathway121	Pathway122	Pathway123	Pathway124	Pathway125	Pathway126	Pathway127	Pathway128	Pathway129	Pathway130	Pathway131	Pathway132	Pathway133	Pathway134	Pathway135	Pathway136	Pathway137	Pathway138	Pathway139	Pathway140	Pathway141	Pathway142	Pathway143	Pathway144	Pathway145	Pathway146	Pathway147	Pathway148	Pathway149	Pathway150	Pathway151	Pathway152	Pathway153	Pathway154	Pathway155	Pathway156	Pathway157	Pathway158	Pathway159	Pathway160	Pathway161	Pathway162	Pathway163	Pathway164	Pathway165	Pathway166
AUS1002	0.168205	0.77567	0.000397277	0.000308562	0.000433735	0.000221608	0.000455757	0.000435792	0.000393168	0.000171931	0.000142804	0.000405108	0.000448664	0.000436906	0.000408636	0.000146676	0.000158477	0.000365224	0.000140434	0.000356039	0.00016425	0.00011183	0.000167013	0.000194631	0.000167137	0.000401311	0.000447774	0.000105936	0.000344057	0.000298363	0.000245488	0.000429764	6.84e-06	0.000140734	0.000118802	0.000128937	0.000470476	0.000373919	0.000309387	3.2e-06	6.9e-05	0.000220246	0.000180955	0.000171641	0.000256851	0.000292915	0.000182678	0.000513342	0.00029312	0.000525425	0.000204745	0.000102329	0.000130171	0.000425018	0.000337477	0.000436834	0.000121016	0.000449756	0.000220246	0.000391578	0.000472121	0.000270543	0.00015672	0.000132586	7.01e-05	0.000310321	0.000136645	0.000499978	0.000523843	0.000446381	0.000409559	0.000157076	0.000172112	0.000142623	0.000532894	0.000538201	0.00036183	0.000340238	0.000291365	0.00036355	0.000214289	0.000324413	0.000383897	7.21e-05	0.000325963	0.000538201	0.000149736	0.000277067	0.000223733	0.000521035	0.000553172	0.00052786	0.000149016	0.000264198	0.000129525	0.000266577	0.000497959	0.000148653	0.000143906	0.000353533	0.000279366	6.73e-05	0.000199312	0.000211581	0.000255516	0.000190839	0.000237498	0.000147647	0.000470641	0.000108873	0.000199588	0.000214653	0.000249303	0.000261946	0.000236969	0.000493069	0.000236969	0.000324447	0.00043723	0.00011017	0.000102788	0.000552093	0.000400792	0.000172799	0.000205071	0.000170534	0.000283719	0.000449618	0.000316476	0.000184969	0.000161655	0.000117425	0.000523843	0.000523843	0.000408636	0.000507957	0.000366588	8.5e-05	0.000393016	0.000104108	0.000366121	0.000172206	2.86e-05	0.000429385	0.000164511	0.000499978	0.000184904	0.000109689	0.000538765	0.000144139	0.00015832	0.00024771	0.00024771	0.000154218	0.000463704	0.000247979	0.000115583	0.000314858	0.000245839	0.000328967	0.000150845	0.000145262	0.000322937	0.000485796	0.000327635	0.000478275
AUS1005	0.180719	0.759243	0.000494413	0.000150974	0.000631378	4.55e-05	0.000649148	0.000678947	0.000666119	0.000244602	4.68e-05	0.000632767	0.000705974	0.0005683	0.000529095	0.000364714	0.000155995	0.000619714	0.000185471	0.000670217	4.42e-05	0.000104765	8.9e-05	0.000167336	0.00044463	0.000593712	0.000870956	8.75e-05	0.000136596	0.000475309	0.000405633	0.000662182	0.000200625	3.51e-05	0.000250264	3.11e-05	0.000636278	0.000615644	0.000389422	7.43e-05	0.000156761	0.000495255	0.000114094	0.000153781	0.000441484	0.000467403	0.000157368	0.000651092	0.000147099	0.00082423	0.000267056	0.000105926	0.000134517	0.000508945	0.000464497	0.000519434	0.000150455	0.000588617	0.000495255	0.000633453	7.02e-05	0.000290873	6.7e-05	3.49e-05	0.000131213	0.000122482	0.000133591	0.000516359	0.0006861	0.000364845	0.00084038	4.33e-05	4.67e-05	4.1e-05	0.000647396	0.000660883	0.000475647	0.000445411	0.000185726	0.000242674	6.07e-05	0.000594619	0.00068376	0.000128804	0.000501058	0.000660883	3.87e-05	0.000526558	0.00019302	0.000635009	0.000691634	0.00066327	4.21e-05	0.00041349	0.000124915	0.000213066	0.00062701	0.000197111	0.000128523	0.000519695	0.000253005	0.000205124	0.000466345	6.74e-05	0.000277992	0.000137323	0.000291517	0.000162805	0.000591686	0.000107252	0.000128998	0.000113731	0.000227657	0.000195668	0.000125707	0.000622648	0.000125707	0.000210897	0.00030604	8.74e-05	0.000387609	0.0010057	0.000514913	9.17e-05	0.000157283	0.000122161	0.00052928	0.000338889	0.00049611	5.3e-05	4.31e-05	0.000127073	0.0006861	0.0006861	0.000529095	0.000638759	0.000447289	7.45e-05	0.000675936	0.000286485	0.000286463	0.00020546	0.000156433	0.000562353	4.96e-05	0.000516359	4.52e-05	8.94e-05	0.000394421	0.0002504	4.17e-05	9.81e-05	9.81e-05	0.000108035	0.000579794	0.000376365	0.000140007	0.00041855	0.000132587	0.000410534	5.66e-05	0.000267272	0.000389232	0.000605222	0.000292095	0.00066623
AUS1006	0.10437	0.820052	0.000362705	0.000323433	0.000431991	0.000296754	0.000424203	0.000407366	0.000432664	0.000343709	0.000249807	0.000529638	0.000567363	0.000340039	0.000319642	0.000188644	0.000202979	0.000421863	0.00030435	0.000271909	0.000321014	0.000208199	0.000295963	0.000299392	0.000345922	0.00048965	0.000430123	0.000255798	0.000357507	0.000264189	0.000242761	0.000583228	0.000257385	0.000324495	0.00013782	0.000315803	0.000375745	0.000596163	0.000285231	4.92e-05	5.77e-05	0.000255544	0.000294692	0.000365465	0.000323182	0.000300061	0.000308327	0.000448188	0.000382181	0.00053409	7.02e-05	0.000202347	0.000132562	0.000385405	0.000442696	0.000352029	0.000261057	0.00039358	0.000255544	0.000543153	0.000470618	0.000280335	0.000236096	0.000322468	0.00019946	0.000321938	0.000205399	0.000435982	0.000367157	0.000507407	0.000644179	0.000312213	0.000283583	0.000279416	0.000484882	0.000531113	0.000298019	0.000284282	0.000246813	0.000305662	0.00012748	0.000355165	0.000413883	0.000201274	0.000309565	0.000531113	0.000292466	0.000364467	0.000412517	0.000495991	0.000498077	0.000477829	0.000251771	0.00033931	0.000326941	0.000507407	0.000404959	0.000240858	0.000170318	0.000293958	0.000172142	6.83e-05	0.000277471	0.000231694	0.000231164	0.000323028	0.000413133	0.000307958	0.000637458	0.000279609	0.000153896	0.000105942	0.000185279	0.000207912	0.00020411	0.000423768	0.00020411	0.000279693	0.000375195	0.000207855	0.000164113	0.000739434	0.000366212	0.000193367	0.000232009	0.000294685	0.000267702	0.000416196	0.000320239	0.00040868	0.000306462	0.000158358	0.000367157	0.000367157	0.000319642	0.000493902	0.000431661	0.000190842	0.000586937	0.000227813	0.000316304	0.000315413	9.71e-05	0.000394752	0.000244969	0.000435982	0.000392206	0.000270241	0.000923812	0.000242399	0.000289016	0.000371711	0.000371711	0.000234218	0.000387981	0.000306825	0.000216856	0.000233191	0.000528015	0.000325175	0.000272185	0.000146934	0.000400995	0.00043227	0.00037188	0.000608908
AUS1007	0.0687344	0.842005	0.000336878	0.000346356	0.000416513	0.000352121	0.000369086	0.000356216	0.000435748	0.000478441	0.000414496	0.000510052	0.000567	0.000273067	0.000256668	0.000213829	0.000274406	0.000437637	0.000352138	0.000132517	0.000556613	0.000429205	0.000224769	0.000362112	0.000436728	0.000393242	0.00040713	0.000307615	0.000420604	0.000239242	0.000135777	0.000546729	2.35e-05	0.000344278	0	0.000361966	0.000280513	0.000877128	0.000142338	5.13e-05	1.14e-06	0.000238389	0.000321563	0.000406718	0.000336809	0.000264165	0.000514524	0.000364552	0.000357431	0.000615828	1.57e-05	3.57e-05	0.000110108	0.000411094	0.000492505	0.000344073	0.000350555	0.000419942	0.000265804	0.000485736	0.000415191	0.000348036	0.000263088	0.000382756	0.000389812	0.000394051	0.000229619	0.000341959	0.000333547	0.00034573	0.000447832	0.000514388	0.000492755	0.000415725	0.00039732	0.000421097	0.000296977	0.000249881	0.00034494	0.000382399	0.000296472	0.00025765	0.000402585	0.000306058	0.000253138	0.000421097	0.000524565	0.000285607	0.000348113	0.000380099	0.000346921	0.000356573	0.000432164	0.000328854	0.000359181	0.000359181	0.00029875	0.000282701	0.000252733	0.000317725	0.000246895	7.33e-05	0.000198709	0.000277809	0.000330469	0.000388037	0.000479324	0.00042078	0.000589079	0.000515994	0.000286977	0.000177917	0.000220148	0.000350583	0.000380499	0.000331619	0.000380499	0.000365422	0.000405998	0.000245837	0.000327568	0.000413636	0.000407922	0.00023883	6.64e-05	0.000383427	0.00031575	0.000363299	0.000280513	0.000619497	0.000530336	7.79e-05	0.000333547	0.000333547	0.000256668	0.000354754	0.000471695	0.000250988	0.00079536	0.000183467	0.00034096	0.000236405	0.000197848	0.00027859	0.00028081	0.000341959	0.000586831	0.000328407	0.00111099	0.000309436	0.000498931	0.000340135	0.000340135	0.00025418	0.000533927	0.000242034	0.000303399	0.000214719	0.000336426	0.000281869	0.000313851	2.41e-05	0.000497897	0.000410229	0.000410286	0.000583582
AUS1008	0.165511	0.769759	0.000630334	0.000355175	0.000643912	7.2e-05	0.000641538	0.000654226	0.000653383	0.00028681	9.38e-05	0.000600087	0.000619997	0.00056424	0.000526801	0.000334454	5.97e-05	0.000616884	0.000235322	0.000572067	8.49e-05	2.71e-05	0.000364918	0.000279829	0.000429502	0.000522559	0.000763898	0.000160226	0.000356863	0.00045234	0.000482159	0.00063941	0.00012622	5.2e-05	0.000304883	4.62e-05	0.000635518	0.000550512	0.000500785	0.000147981	0.000199957	0.000459241	0.00019343	7.76e-05	0.000255497	0.000328674	0.000203834	0.00069357	0.000154095	0.000735869	0.000158078	0.000172856	0.000218102	0.000635031	0.000511403	0.000618728	0.000135551	0.000646448	0.000459241	0.000593972	0.000223135	0.000322872	3.9e-05	5.18e-05	0.000153953	0.000315209	9e-05	0.000596415	0.000722441	0.000516688	0.00082694	5.92e-05	0.000110563	7.94e-05	0.000685502	0.00070055	0.000532345	0.000501057	0.000288793	0.000365758	0.000173534	0.000580533	0.000636776	0.000101758	0.000435802	0.00070055	7.61e-05	0.000486019	0.000143068	0.000680807	0.000743269	0.000714401	8.46e-05	0.000535494	8.73e-05	0.00041293	0.000666125	0.000333083	0.0002973	0.000428425	0.000204826	0.000248717	0.000398238	7.92e-05	0.000331863	0.000227952	0.000357175	0.000278946	0.000631006	0.00017336	0.000185706	0.000229169	0.000240572	0.000264105	0.000211556	0.000722024	0.000211556	0.000331003	0.000460609	0.000163562	0.000514352	0.00099682	0.000568271	0.000149801	0.000277675	0.000221962	0.00045602	0.000531256	0.000421982	9.21e-05	8.38e-05	0.000100306	0.000722441	0.000722441	0.000526801	0.000681416	0.000490839	0.000132749	0.000594688	9.6e-05	0.000403482	0.000375369	8.52e-05	0.000622793	1e-04	0.000596415	2.88e-05	0.000157768	0.000393723	0.000190357	8.22e-05	0.0001034	0.0001034	0.000196633	0.000547189	0.000367345	9.53e-05	0.000393943	7.73e-05	0.000554922	3.24e-05	0.000324948	0.000451436	0.000610516	0.000466146	0.000680572
AUS1010	0.14705	0.78632	0.000958993	0.000177444	0.000342012	0.000137131	0.000996184	0.00107522	0.00106638	9.24e-05	0.000116743	0.000975882	0.000455055	0.000250332	0.00103786	7.87e-05	9.4e-05	0.000590023	0.000140721	0.000896271	0.000270065	0.000108749	8.29e-05	0.000152535	8.05e-05	0.00079795	0.00022349	9.12e-05	0.000249074	0.000239323	0.000903087	0.00100378	3.48e-05	0.000129036	3.09e-05	0.000114554	0.00049675	0.000554422	0.000131318	0	6.02e-05	8.21e-05	0.0001171	0.000133281	0.00101581	0.00101068	0.000131953	0.00100648	0.000176677	0.000439533	2.17e-05	5.92e-05	5.35e-05	0.00104037	0.000215979	0.000952247	6.03e-05	0.00103789	8.21e-05	0.000954619	0.000384799	0.000888564	0.000150216	0.00010889	4.49e-05	0.000249405	6.47e-05	0.000204459	0.00109772	0.000253417	0.000171113	0.000261896	0.000474272	0.000201841	0.00102127	0.000992663	0.00102726	0.000997828	6.07e-05	8.88e-05	6.46e-05	0.000196141	0.000972476	4.37e-05	0.000276753	0.000992663	0.000233872	0.000109678	0.000122168	0.000598709	0.000439747	0.000988657	0.000100837	0.000113855	7.16e-05	0.000178919	0.000157723	9.6e-05	4.93e-05	0.000979917	0.000974867	1.51e-05	7.62e-05	0.000255485	0.000268777	0.000137892	0.000248613	9.79e-05	0.000443445	5.7e-05	3.55e-05	1.41e-05	8.96e-05	5.24e-05	3.98e-05	0.00107651	3.98e-05	7.68e-05	0.000144304	0.00010323	7.45e-05	0.000208919	0.000246633	9.86e-05	0.000101571	0.000130122	0.000248747	0.000741135	0.000250821	0.00041548	0.000257416	5.51e-05	0.00109772	0.00109772	0.000209669	0.0010449	0.00094814	7.26e-05	0.000532433	7.82e-05	0.000124059	0.000100377	3.66e-05	0.000156505	7.87e-05	0.000204459	0.000139399	0.000140277	0.000211653	0.000111149	0.000242286	0.000155452	0.000155452	8.74e-05	0.000397725	0.000405288	5.84e-05	0.000159689	0.000181874	0.000143566	9.26e-05	5.82e-05	0.000153811	0.000633988	0.000119973	0.00106659
AUS1011	0.091922	0.842205	0.000265989	0.000292403	0.000365438	0.000256078	0.000365325	0.000349004	0.000346921	0.000371442	0.000250205	0.000501494	0.000398541	0.000282022	0.000268157	0.000301984	0.000215773	0.000344625	0.000263398	0.00025336	0.000321995	0.00022392	0.000194871	0.000281552	0.000184516	0.00042284	0.000367526	0.000249699	0.00034541	0.000239983	0.0001734	0.000541713	9.33e-06	0.000320811	2.8e-05	0.000304172	0.000288385	0.000418218	0.000223119	2.41e-06	0.000116826	0.000158191	0.000237758	0.000377868	0.000268493	0.000255936	0.000269068	0.000332097	0.000288916	0.000462098	3.49e-05	0.000175929	5.5e-05	0.000338008	0.00035642	0.000290092	0.000246134	0.000338976	0.000158191	0.000494971	0.000404836	0.000241342	0.00021722	0.00030616	8.58e-05	0.000319729	0.000214707	0.00028111	0.000297015	0.000382749	0.000324994	0.000317428	0.000295093	0.000292416	0.000391149	0.000399876	0.000231173	0.000221099	0.000177635	0.000223727	9.38e-05	0.000306614	0.000330512	8.84e-05	0.00027041	0.000399876	0.000299655	0.000248262	0.000326503	0.000344016	0.00032204	0.000327084	0.000257638	0.000320677	0.000231641	0.000367309	0.000374249	0.00019473	0.000162545	0.000270801	0.000171084	0.000120046	0.000158802	0.000171885	0.000157895	0.000263347	0.00032938	0.000192233	0.000580725	0.000242876	0.0001063	8.58e-05	0.000198902	0.000150017	0.000143984	0.00032988	0.000143984	0.000203278	0.000280405	0.000132113	0.000119661	0.000352519	0.000301679	0.000194376	0.000178503	0.00022203	0.000180097	0.000356544	0.000283614	0.000379052	0.000311074	0.000129287	0.000297015	0.000297015	0.000268157	0.000331832	0.000347036	0.000202699	0.000427006	0.000207932	0.000235617	0.00025794	6.3e-05	0.000428478	0.000215666	0.00028111	0.000344637	0.000189492	0.00092402	0.000189873	0.000297615	0.000284135	0.000284135	0.000192582	0.000353163	0.000212268	0.000177963	0.000231957	0.000343532	0.000262198	0.000286714	0.000130541	0.000342737	0.000368095	0.000240333	0.000585715
AUS1012	0.215649	0.733458	0.000406502	0.000227499	0.000589774	4.23e-05	0.000678682	0.00070852	0.000610097	0.000118338	2.41e-05	0.000549928	0.000547845	0.00055652	0.000543311	0.000251856	0.000145126	0.000579878	4.09e-05	0.000514515	2.39e-05	0.000120629	9e-05	0.000220983	0.000257154	0.000573147	0.000876108	6.57e-05	0.000242265	0.000386084	0.00038967	0.000582066	4.64e-05	2.73e-05	0.000162978	2.41e-05	0.00061704	0.000414891	0.000344282	8.31e-06	9.46e-05	0.000342769	9.58e-05	3.14e-05	0.000438061	0.0004554	7.89e-05	0.000624835	0.000131302	0.000671521	9.35e-05	3.93e-05	0.000131093	0.000437648	0.00033975	0.000506516	5.69e-05	0.000516605	0.000342769	0.000521685	3.07e-05	0.000354933	1.88e-05	2.68e-05	0.00016835	0.000195097	0.000120489	0.000494043	0.000705167	0.000375865	0.000669487	2.66e-05	0.00010144	1.88e-05	0.000620978	0.000629646	0.000348349	0.000319327	8.96e-05	0.000125999	3.84e-05	0.000496507	0.000633376	0.000171722	0.00032646	0.000629646	1.89e-05	0.000376548	7.05e-05	0.000624835	0.000665159	0.000634405	2.12e-05	0.000454749	4.01e-05	0.000146182	0.000604876	0.000196323	0.00013575	0.00057364	0.000229395	0.00015994	0.000260885	0.000117789	0.000236044	0.000125175	0.000268299	9.51e-05	0.000401833	3.94e-05	5.55e-05	5.96e-05	0.000279675	8.18e-05	5.9e-05	0.00065905	5.9e-05	0.000108708	0.000184041	2.97e-05	0.00021263	0.000966887	0.000424038	0.000133189	0.000188291	0.000120638	0.000387151	0.000202651	0.000310009	8.39e-05	2.17e-05	0.000180435	0.000705167	0.000705167	0.00052646	0.000634692	0.000382767	6.46e-05	0.000497464	5.67e-05	0.000160672	0.000102731	7.24e-05	0.000489315	3.33e-05	0.000494043	6.51e-05	7.15e-05	0.000346957	0.000118606	1.93e-05	8.83e-05	8.83e-05	6.99e-05	0.000533409	0.000333842	8.98e-05	0.000364962	3.76e-05	0.000275661	1.55e-05	0.000211149	0.00031134	0.000593461	0.000313186	0.000681929
AUS1013	0.212081	0.73338	0.000424936	0.000267749	0.000510453	0.000260113	0.000478649	0.000480198	0.000472166	0.000175682	8.72e-05	0.000405092	0.000539864	0.000399313	0.000387769	0.000175572	0.000127142	0.000427933	0.000153299	0.000408421	8.54e-05	0.000103024	0.000165897	0.00025072	0.00024559	0.000406684	0.000653309	0.000158763	0.000279615	0.000306762	0.000302213	0.000436826	9.92e-05	0.000159037	0.0001279	0.000146158	0.000453582	0.000491213	0.000235798	0	0.000114402	0.000295664	0.00019895	0.000148082	0.000291416	0.000308344	0.000144983	0.000519409	0.000370733	0.000581371	8.01e-06	0.000111929	4.32e-05	0.000368165	0.000249202	0.000418335	0.00012885	0.000388377	0.000295664	0.000378127	0.000223767	0.00024135	0.000186193	0.000141281	0.000110223	0.000241021	9.65e-05	0.000482733	0.000526288	0.000335421	0.000568748	8.39e-05	7.06e-05	6.88e-05	0.000530778	0.000551867	0.000261525	0.000237664	0.000133199	0.000182591	5.82e-05	0.000433746	0.000466123	0.000115047	0.000342499	0.000551867	7.14e-05	0.000395092	0.000197791	0.000519409	0.000530555	0.000524695	8.29e-05	0.000462685	0.000127237	0.000173118	0.000544795	6.15e-05	4.81e-05	0.000414896	7.06e-05	0.000121438	0.000294897	8.98e-05	0.000120702	0.000175919	0.000292713	0.000133776	0.00050325	0.000100186	6.84e-05	7.84e-05	0.000190514	0.000114599	9.35e-05	0.000548709	9.35e-05	0.000161149	0.000260677	0.000161489	0.000103272	0.000735153	0.000281417	9.92e-05	0.000178563	0.000191858	0.000217257	0.000425606	0.000336091	0.000160594	7.99e-05	0.00013949	0.000526288	0.000526288	0.000365515	0.000511872	0.000325086	0.000102176	0.000534084	6.53e-05	0.000209114	0.000188537	5.68e-05	0.000509602	0.000182313	0.000482767	0.000183389	0.000119201	0.000474511	0.000138981	7.36e-05	0.000320558	0.000320548	0.000135798	0.000471887	0.000247821	0.000136659	0.000170383	0.000157432	0.00029515	0.000187927	0.000116794	0.000200418	0.000447562	0.000220974	0.000535031
AUS1015	0.195778	0.753338	0.000466023	0.000189879	0.000606985	9.63e-05	0.00060635	0.000611139	0.000613473	0.000177097	5.8e-05	0.00056897	0.000536377	0.000588617	0.000547951	0.000294728	9.59e-05	0.000575409	1.66e-05	0.00047212	6.08e-05	6.85e-05	0.000124046	0.000186821	0.000217009	0.000537191	0.000735293	8.62e-05	0.000172037	0.000566782	0.000354719	0.000595899	0.000116815	1.25e-05	0.000164995	1.1e-05	0.000581196	0.000385668	0.000300451	3.31e-06	0.000129256	0.000377875	0.00011719	4.17e-05	0.000411472	0.000458839	0.000108797	0.000589976	0.000140762	0.000633173	0.000108025	1.21e-05	0.000163393	0.000460495	0.000343109	0.000530543	7.61e-05	0.000501238	0.000377875	0.000540574	0.000117098	0.000161532	2.06e-05	1.24e-05	4.5e-05	0.000156463	6.4e-05	0.000531676	0.000629083	0.000365896	0.000559119	6.88e-05	0.000211793	4.79e-05	0.0006196	0.000618912	0.000377233	0.000347385	0.000177066	0.000235882	8.99e-05	0.000452697	0.00063378	4.63e-05	0.000355931	0.000618912	4.88e-05	0.000414859	9.88e-05	0.000589647	0.000628601	0.000611375	5.22e-05	0.000377443	5.73e-05	0.000135772	0.000590912	0.000181651	9.07e-05	0.000527951	0.000192781	0.000159673	0.000333128	2.54e-05	0.000200138	0.000130751	0.000318111	7.09e-05	0.000481	1.4e-05	0.00010712	4.31e-05	0.000274488	0.000157376	0.00012485	0.000617581	0.00012485	0.000209704	0.000319926	7.35e-05	0.000239995	0.000798595	0.000396991	0.000101579	0.000169125	9.8e-05	0.000334042	0.000414008	0.000341106	0.000181786	5.55e-05	0.000118728	0.000629083	0.000629083	0.000547951	0.000586134	0.000412379	7.98e-05	0.000475163	0.000105467	0.000273247	7.17e-05	2.51e-05	0.000494233	8.43e-05	0.000531676	0.000102378	7.21e-05	0.000324602	9.75e-05	4.96e-05	9.49e-05	9.49e-05	0.000131883	0.000515816	0.000288089	0.000134062	0.00032207	5.77e-05	0.000295126	1.71e-05	0.000167742	0.000270299	0.000569142	0.000259434	0.000674829
