feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pathway27	Group	CD	-0.288559787263317	0.042489888740491	410	410	3.9418466428837e-11	6.54346542718695e-09
Pathway147	Group	CD	0.903709230330094	0.144164565931948	410	410	9.27950794482088e-10	7.70199159420133e-08
Pathway1	Group	CD	-0.234980282820115	0.0403921662898163	410	410	1.20866299735712e-08	4.21089402498151e-07
Pathway21	Group	CD	0.84491191041851	0.145265301019914	410	410	1.21626042523479e-08	4.21089402498151e-07
Pathway87	Group	CD	0.845935641251439	0.146467030618974	410	410	1.52200988854754e-08	4.21089402498151e-07
Pathway131	Group	CD	0.849765811354067	0.146833798896143	410	410	1.42757074506673e-08	4.21089402498151e-07
Pathway151	Group	CD	0.836151843432424	0.145826497106252	410	410	1.91254553474145e-08	4.53546512524401e-07
Pathway82	Group	CD	-0.215479472086068	0.0388729965216089	410	410	5.34181757286196e-08	1.10842714636886e-06
Pathway130	Group	CD	0.609736045296395	0.111161562331925	410	410	7.26135678827988e-08	1.33931691872718e-06
Pathway83	Group	CD	-0.188219906950936	0.034871856624507	410	410	1.14887206465103e-07	1.90712762732071e-06
Pathway46	Group	CD	-0.20883426258225	0.0388381046252131	410	410	1.27741155422072e-07	1.92773016364218e-06
Pathway121	Group	CD	-0.50511692549753	0.0943137831937566	410	401	1.42657775569416e-07	1.97343256204359e-06
Pathway35	Group	CD	-1.05166749783254	0.198322317626193	410	394	1.87285139640983e-07	2.39148716772332e-06
Pathway28	Group	CD	0.594915728885899	0.114060132638901	410	409	2.9168459015194e-07	3.45854585465872e-06
Pathway48	Group	CD	-0.156046484905616	0.0302288218822407	410	410	3.82139133428799e-07	4.22900640994537e-06
Pathway74	Group	CD	0.660475145713286	0.129043420598608	410	410	4.75976360389511e-07	4.93825473904118e-06
Pathway44	Group	CD	0.648364264063854	0.12733710004794	410	410	5.430443027131e-07	5.0841303598666e-06
Pathway58	Group	CD	-0.141435514037157	0.0277941708532423	410	410	5.51291243840957e-07	5.0841303598666e-06
Pathway20	Group	CD	-0.240044594939935	0.0476837975649112	410	410	7.21728398393955e-07	6.30562705965245e-06
Pathway91	Group	CD	-0.157553810668757	0.0315240912448586	410	410	8.61799459495366e-07	7.15293551381154e-06
Pathway30	Group	CD	-0.231743325962881	0.04662862567345	410	409	9.87347934702588e-07	7.80475034098236e-06
Pathway81	Group	CD	0.6555522093904	0.132492950028389	410	409	1.09942147317533e-06	7.93495498030888e-06
Pathway122	Group	CD	-0.243125854700375	0.0491140779432621	410	410	1.08670843156199e-06	7.93495498030888e-06
Pathway127	Group	CD	-0.216464507592475	0.0438603348354995	410	410	1.1680597082292e-06	8.0790796485853e-06
Pathway92	Group	CD	-0.149216211827294	0.0303108429157433	410	410	1.24043421088515e-06	8.23586784198642e-06
Pathway100	Group	CD	-0.224235459841524	0.0456250313955056	410	410	1.28995520416655e-06	8.23586784198642e-06
Pathway93	Group	CD	0.806529115559062	0.166224426420578	410	406	1.74212443855937e-06	1.07108391407724e-05
Pathway126	Group	CD	0.485082963585414	0.10142468988976	410	409	2.42017028884123e-06	1.33916089315881e-05
Pathway152	Group	CD	0.531507575787149	0.110949542817297	410	409	2.33231096177743e-06	1.33916089315881e-05
Pathway153	Group	CD	0.531260909930444	0.110931241160376	410	409	2.34813346697299e-06	1.33916089315881e-05
Pathway90	Group	CD	-0.126359394089981	0.026482442632284	410	410	2.55179284296508e-06	1.36644390945872e-05
Pathway43	Group	CD	0.473585262054958	0.0996134626023635	410	409	2.76657528183457e-06	1.43516092745168e-05
Pathway8	Group	CD	-0.172205691811343	0.0362986980993526	410	410	2.90062887027186e-06	1.4591042195913e-05
Pathway138	Group	CD	0.439896722702467	0.0929557287184787	410	409	3.0652103329654e-06	1.49654386844781e-05
Pathway149	Group	CD	0.333059795575417	0.0709569970672251	410	410	3.66686118666852e-06	1.73913987710564e-05
Pathway42	Group	CD	-0.281784628461431	0.0604936869956592	410	410	4.3260108998939e-06	1.99477169272885e-05
Pathway18	Group	CD	-0.144058640190392	0.0309717157125823	410	410	4.46342207908283e-06	2.00250828412905e-05
Pathway9	Group	CD	-0.148317078478291	0.0323773120245083	410	410	6.16005075930267e-06	2.69096954222169e-05
Pathway2	Group	CD	0.0353613959776503	0.00777405058866224	410	410	7.13002858025059e-06	3.03483267774769e-05
Pathway50	Group	CD	-0.147399316125487	0.0325059910273983	410	410	7.59931266887856e-06	3.11881583175192e-05
Pathway106	Group	CD	0.335575853065293	0.0740537275159998	410	410	7.70309934348366e-06	3.11881583175192e-05
Pathway123	Group	CD	-0.114855302533411	0.0255096628112471	410	410	8.77939013331053e-06	3.46994943364178e-05
Pathway11	Group	CD	0.746835882249494	0.166977109188171	410	406	1.00278519011114e-05	3.87121724554534e-05
Pathway164	Group	CD	-0.12553306008106	0.0281178954448507	410	410	1.03990650413521e-05	3.92328362923739e-05
Pathway47	Group	CD	0.396903190879577	0.0895654002481928	410	410	1.20442052351398e-05	4.44297348674047e-05
Pathway59	Group	CD	-0.232154765792452	0.0526833465541283	410	410	1.34393220202513e-05	4.8498422942646e-05
Pathway85	Group	CD	-0.229251493326535	0.0521924015834084	410	410	1.4303934931913e-05	5.05202808233521e-05
