feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Lachnospiraceae_bacterium_NSJ_29	Group	CD active	-5.84734186592521	0.7501870933165	479	276	4.10218733813025e-14	2.10606297939607e-10
Blautia_massiliensis	Group	CD active	-5.95180896293386	0.791813171137089	479	340	2.81178298000835e-13	2.88713876387258e-10
Gemmiger_formicilis	Group	CD inactive	-3.79713916876368	0.503083446449736	479	263	2.27347350729913e-13	2.88713876387258e-10
Blautia_obeum	Group	CD active	-5.66263540689148	0.747017979032656	479	367	1.81766986638421e-13	2.88713876387258e-10
Blautia_SGB4815	Group	CD inactive	-2.73942108682082	0.360238169255218	479	276	1.53918987012294e-13	2.88713876387258e-10
Lachnospira_eligens	Group	CD active	-6.41954946306764	0.895925752615227	479	262	2.97387095984117e-12	2.5446422513041e-09
Eubacteriaceae_bacterium	Group	CD active	-3.92466124262283	0.559759924060243	479	234	8.13116827746942e-12	5.96363113378971e-09
Coprococcus_catus	Group	CD inactive	-2.72322436595939	0.391149395583089	479	262	1.11756961147206e-11	7.17200298162192e-09
Blautia_faecis	Group	CD active	-4.50771349551649	0.651467049339024	479	407	1.47132624775956e-11	8.39309883999733e-09
Clostridiaceae_bacterium	Group	CD active	-5.55451991845354	0.813382713157828	479	384	2.61957325875939e-11	1.16486486204992e-08
Faecalibacterium_prausnitzii	Group	CD active	-5.18593183491666	0.757132197404591	479	367	2.29921219799183e-11	1.16486486204992e-08
Ruminococcus_bromii	Group	CD inactive	-5.18464168913478	0.761305488108965	479	188	2.94959937799941e-11	1.16486486204992e-08
GGB79734_SGB15291	Group	CD inactive	-3.46677454077956	0.508931158772567	479	203	2.91847951731192e-11	1.16486486204992e-08
Romboutsia_timonensis	Group	CD active	-5.28536508016616	0.778777629129008	479	355	3.42128902971279e-11	1.17099319190303e-08
Coprococcus_catus	Group	CD active	-4.20775400829872	0.619820008962396	479	262	3.37991549191887e-11	1.17099319190303e-08
Blautia_obeum	Group	CD inactive	-3.14337916752933	0.471420132882562	479	367	7.2107696723238e-11	2.3137557186069e-08
Faecalicatena_fissicatena	Group	CD inactive	-3.46371237670586	0.522497550565674	479	233	9.17420479274128e-11	2.77060984740787e-08
Blautia_SGB4815	Group	CD active	-3.76304241895036	0.570837710137625	479	276	1.15345846135902e-10	3.28991985589845e-08
Candidatus_Cibionibacter_quicibialis	Group	CD inactive	-3.53593886258625	0.548037271260918	479	286	2.71985449082895e-10	7.23204717777787e-08
Coprococcus_comes	Group	CD inactive	-3.46843459488958	0.538587473717402	479	293	2.92750973189237e-10	7.23204717777787e-08
Dorea_sp_AF36_15AT	Group	CD active	-4.85652106535824	0.754334601548282	479	258	2.95818057525001e-10	7.23204717777787e-08
Anaerobutyricum_hallii	Group	CD inactive	-3.63624539962285	0.573569949985265	479	309	5.35260741448242e-10	1.24910393027058e-07
Gemmiger_formicilis	Group	CD active	-5.026176836716	0.797192044289048	479	263	6.58974452990958e-10	1.47094558332851e-07
Blautia_stercoris	Group	CD inactive	-3.07065564911892	0.489921823049259	479	144	8.22085219203362e-10	1.75857729807919e-07
