feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k149_134666_10	Region	HK	-0.290946524730501	0.165169735377532	410	92	0.0789027171795938	0.618142880112308
k149_148463_138	Region	HK	-0.632310948153769	0.346908988734177	410	174	0.0690806171922887	0.618142880112308
k149_1590_94	Region	HK	-1.0341654434607	0.502797334006617	410	175	0.040338478332115	0.618142880112308
k149_168967_172	Region	HK	0.31476313666292	0.12430248572277	410	73	0.011707949962428	0.618142880112308
k149_191853_13	Region	HK	-0.413262031937943	0.194318278533882	410	97	0.0340422716600847	0.618142880112308
k149_198842_65	Region	HK	-0.569847571239084	0.326641013793659	410	132	0.0818130282501584	0.618142880112308
k149_44733_4	Region	HK	0.292118062774068	0.152063583461336	410	111	0.0554249697397529	0.618142880112308
k149_78077_21	Region	HK	-0.308435665911471	0.165498996208748	410	90	0.0630860695504139	0.618142880112308
k149_91219_23	Region	HK	-0.798752595962707	0.36581073012026	410	149	0.029567070063269	0.618142880112308
k149_131241_136	Region	HK	-0.438477683004725	0.261474803408553	410	177	0.0943200550612589	0.641376374416561
k149_106777_66	Region	HK	-0.253371728490571	0.173776113618418	410	126	0.145600085795309	0.742014847910461
k149_110324_8	Region	HK	-0.447662127486348	0.324585573900633	410	206	0.168594607583603	0.742014847910461
k149_163091_142	Region	HK	-0.468384062116853	0.308194172644549	410	193	0.129343485509991	0.742014847910461
k149_34831_79	Region	HK	-0.387078675710043	0.284623825652565	410	191	0.174591728920108	0.742014847910461
k149_49232_21	Region	HK	-0.706570230070298	0.49778741527098	410	227	0.156539672197231	0.742014847910461
k149_74925_127	Region	HK	-0.536816981619759	0.359774402491733	410	188	0.136447480898328	0.742014847910461
k149_211711_7	Region	HK	-0.240880871249435	0.187661893223382	410	125	0.200014084437383	0.782493264556248
k149_25741_10	Region	HK	-0.306980921061997	0.261801719846073	410	233	0.241652331701194	0.782493264556248
k149_49100_7	Region	HK	-0.364309174177964	0.308800476267085	410	218	0.238784749548661	0.782493264556248
