feature	k149_101865_34	k149_103437_27	k149_106777_66	k149_107332_92	k149_110324_8	k149_110541_22	k149_112649_18	k149_115884_6	k149_116128_96	k149_117874_31	k149_118281_20	k149_122792_191	k149_130261_154	k149_130261_183	k149_130672_15	k149_131241_136	k149_134666_10	k149_137462_21	k149_145357_32	k149_148463_138	k149_148463_24	k149_154020_42	k149_1590_94	k149_163091_142	k149_163091_90	k149_163091_92	k149_16561_10	k149_168025_95	k149_168967_172	k149_17078_68	k149_191853_13	k149_198842_65	k149_211711_7	k149_212974_29	k149_218693_8	k149_25741_10	k149_277096_39	k149_28321_45	k149_29044_31	k149_305790_18	k149_34831_79	k149_43075_294	k149_43898_21	k149_43954_24	k149_44733_4	k149_45431_17	k149_45854_12	k149_49060_101	k149_49060_107	k149_49100_7	k149_49232_21	k149_49857_4	k149_54842_45	k149_59941_16	k149_63122_44	k149_6815_10	k149_69830_8	k149_7326_19	k149_74925_127	k149_78077_21	k149_78367_20	k149_78367_238	k149_78367_35	k149_85850_31	k149_85897_43	k149_91219_23	k149_99651_133	k149_99651_276
AUS1002	7.60733031374961	-1	-1	6.36192623326337	5.17240750580261	3.38128337250378	1	1.18840092460321	6.44294349584873	-1	-5.41119543298445	7.14974711950468	6.96578428466209	6.43694468613269	4.85798099512757	5.12928301694497	-1	8.16365470720162	6.14974711950468	4.8073549220576	7.71126086270808	5.49185309632967	2.93640237772506	5.7279204545632	5.58496250072116	7.45121111183233	4.4553601018681	7.33091687811462	-1	0.0894981508391026	-1	-2	0.130930869826449	2.74652775711819	-1	-1	-1	-1	6.53915881110803	5.47709443355419	4.69242719808971	4.7777353116322	4.81301154860562	5.58496250072116	-1	0	2.74135911731882	6.22881869049588	5.82405498366306	4.57482812358744	-2.58640591759082	-1	1.19849415363908	3.74878322721157	-1	1.82252621903883	-1	6.75416597424601	2.70619898742978	-1	6.96578428466209	6.29156672404726	6.75488750216347	-1	5.52356195605701	-3.41888982477445	6.53929842000199	6.4757334309664
AUS1005	-1	-1	-1	-8.15842936260448	-1	5.5430627624444	5.04111153536915	-5.96578428466209	-1	-1	-5.41119543298445	1.22156778853841	1.13422093976063	0.639695233399582	-1	-1	3.8073549220576	1.05797006863733	2.12167855658825	-1.88097589685773	-1.04097178105631	0	0	0	-2	-1	-1	-1	-1	3.26408598762516	4.52356195605701	-2	-1	4.61841486979768	1.58496250072116	5.61470984411521	-1	-1	0	2.72900887033786	0	-1	-1	-9.38082178394093	-1	4.16992500144231	5.64670990171225	2.45443913468656	-1	-1	1.92371967874939	-1	5.14351586950376	-1	-1	3.32077347694587	-1	2.0447438212244	-1	3.58496250072116	-1	0.794103898559748	1.10030490579569	-1	-1	-3.41888982477445	1.55728754227831	0
AUS1006	8.10852445677817	-1	-1	7.17358719926384	5.44181543122832	-1	-1	-5.96578428466209	5.43968961966772	-1	0.352758525040637	8.05290491201035	7.59245703726808	7.25738784269265	5.37309134746948	3.76479199157246	-1	8.92481250360578	7.21916852046216	5.6724253419715	8.52266783537873	6.81639490916912	4.64200835725712	6.56985560833095	6.56985560833095	8.14974711950468	5.1138671594827	7.76317252198227	-1	-1	-1	-2	-1	-2.16488438474178	-1	-1	-1	-1	7.65013266735304	6.25118887102195	6.11993712250076	6.16779946873078	5.4227039529705	6.41540376207033	-1	-2	-1	6.82017896241519	6.70880800218944	5.73771379817003	-2.58640591759082	-1	-4.83650126771712	2.58712492187178	6.02236781302845	-1	-1	7.2667865406949	3.04561770521798	-1	7.81378119121704	6.64801956525888	7.28969616339522	-1	6.69778771721329	-3.41888982477445	7.14073776248666	7.46750773693398
AUS1007	5.88036717657012	-1	-1	4.82466603620963	8.40483927412163	-1	-1	-5.96578428466209	5.4484054350692	-1	4.06548614710942	4.45332002643327	4.1101961777542	3.85069942693477	2.41115503695776	3.4594316186373	-1	6.54035280633032	4.82278112566721	4.89112750742178	4.26708629034088	2.10030490579569	1.42545930476536	2.51954190457844	6.28834010384834	8.26496328397726	3.02998286621571	6.95980492411386	-1	-1	-1	0.166072675946706	-1	-2.16488438474178	-1	-1	-1	-1	4.30012372456901	6.97967098276081	4.78873790558255	5.94183404967146	3.76256143004889	6.41765001716069	-1	-2	-1	6.15165590317783	3.39108029675679	5.01109304499096	5.03280614508324	-1	-4.83650126771712	2.02786177535451	-1	-1	-1	4.50054713742068	6.16011344709824	-1	5.74448405084711	-3.10780328953451	5.94766615679601	-1	4.93461085396445	-3.41888982477445	4.2126471520188	5.13610933805777
AUS1008	-1	-1	-1	-8.15842936260448	-1	-1	-1	-5.96578428466209	-1	-1	-5.41119543298445	1	1.40925514668484	-1.0130430374756	-1	-1	-1	0	-1	-1.88097589685773	-1.04097178105631	0	-6.05889368905357	0	0	1	-1	0	-1	-1	-1	-2	-1	-2.16488438474178	-1	-1	-1	-1	0	-1	1	-1	-1	-9.38082178394093	-1	-2	-1	1	-1	0	2.29454723389552	-1	-4.83650126771712	-1	-1	0	-1	-1	-1	-1	-1	-4.10780328953452	-1.98279070996778	-1	-1	-3.41888982477445	-1	2.32192809488736
AUS1010	3.16591193893569	-1	-1	2.97452931248388	4.04001567884788	-1	-1	-5.96578428466209	2.13881446890228	-1	-5.41119543298445	4.62322307589651	2.23786960086751	4.0446564037044	0.665392771041891	1.69777381955519	-1	5.40833823342843	4.61629887750669	3.57773093149008	3.10551046882773	3.62807365419614	1.58400038328577	3.63575439127776	4.16992500144231	5.75488750216347	3.2718738340176	5.39231742277876	-1	-1	-1	-2	-1	-2.16488438474178	-1	-1	-1	-1	3.75926238045967	2.99747307197096	5.10488176134365	3.90996506675797	2.4070807754505	4.16992500144231	-1	-2	-1	3.74146698640115	1	3.21567859660793	-2.58640591759082	-1	-4.83650126771712	-1	-1	-1	-1	2.58496250072116	1.10567807789454	-1	4.26948204809477	3.67886066330671	1.24305970607253	-1	2.93111569975779	2.58496250072116	0.602171790753379	5.28994509705831
AUS1011	8.2793319967878	-1	-1	5.24126817732937	7.47240653634682	-1	-1	-5.96578428466209	7.74923255732744	-1	5.10055722078293	8.04443237212892	7.12305570269056	7.71795739568837	6.23821364123342	6.27922983574405	-1	7.94702905178858	7.29815423724763	6.71881368195809	2.00144197417391	7.4652970221712	6.13018956894131	3.0962618530584	7.50178942593114	9.45431574621365	8.1788739581698	8.77317218222948	-1	-1	-1	-2	-1	-2.16488438474178	-1	1	-1	-1	7.88768975784281	5.90118066564653	6.62677494767165	6.63843591399047	4.06238079335608	7.35649598770558	-1	-2	-1	7.49679786563176	5.74531801751558	4.91039688927871	6.8687731782709	-1	-4.83650126771712	0.00432160595009347	8.60764101460722	-1	4.88254523621282	6.94674255509162	6.4947516027231	-1	7.61222715696446	5.20550981321667	7.29519954861522	-1	6.56570379000268	4.6967728361771	6.8696616968902	7.46285395693944
AUS1012	-1	-1	-1	-8.15842936260448	0.955312803444705	-1	1.58496250072116	-5.96578428466209	-1	2	0	-1	-1	-1.0130430374756	-1	-1	-1	1.58496250072116	-1	0	-1.04097178105631	-1	-6.05889368905357	-1	-2	1.58496250072116	-1	-1	-1	2.58496250072116	-1	-2	3	1.94485844580754	2	-1	-1	-1	0	-1	-1	-1	0	-9.38082178394093	-1	2.93035887611242	3.98841202572479	-1	-1	1.45575462218619	1.39451414195596	0.180147861158429	2.53381249682767	-1	-1	-1	-1	-1	-1	-1	-1	-4.10780328953452	-1.98279070996778	-1	2	-3.41888982477445	2.15736714811149	-10.9657842846621
AUS1013	-1	-1	-1	3.89549651892662	3.08559461502544	0.670840335881562	0	-5.96578428466209	4.08321336824898	-1	-5.41119543298445	3.15995204473292	3.92988565964185	2.05519565424212	3.11653110953612	1.58496250072116	-1	0.0299828662157143	2.71523445524002	3.40871186102943	-1.04097178105631	4.08312825098645	-6.05889368905357	4	-2	-1	2.49210955265261	-1	-1	-1	-1	-2	-1	-2.16488438474178	-1	3.32192809488736	-1	-1	3.60809954599438	5.15412950079018	1.09828479572342	1.06073915785768	0.100304905795685	-9.38082178394093	-1	-2	-1	4.76542866194505	1.44572670334998	3.10718568387997	7.72747124372629	-1	-4.83650126771712	-1	-1	-1	-1	-1	5.4370945445223	-1	4.49671798793518	-4.10780328953452	1.01863417413905	-1	-1	0.61635769699669	2.94916137137824	4.00602867174334
AUS1015	-1	-1	1.56169272139831	-8.15842936260448	-1	1	0	-5.96578428466209	-1	0	-5.41119543298445	-1	1	-1.0130430374756	-1	-1	0.126972856257766	0	-1	-1.88097589685773	-1.04097178105631	-1	-6.05889368905357	-1	-2	0	0	-1	-1	0	2.58496250072116	6.69928787683178	-1	0.369606070031838	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-2	0.556797246592743	-1	-1	-1	0.584962500721156	1	-4.83650126771712	-1	-1	-1	-1	-1	-1	0	-1	-4.10780328953452	-1.98279070996778	-1	-1	-3.41888982477445	-1	-10.9657842846621
