feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
k149_74925_127	Region	MC	1.98191190551827	0.283398301038522	410	188	1.10375392806857e-11	7.50552671086628e-10
k149_148463_138	Region	MC	1.41945090789343	0.280908294654034	410	174	6.5735554074764e-07	2.23500883854198e-05
k149_116128_96	Region	MC	1.21928476503873	0.246187405411227	410	193	1.07392169811459e-06	2.43422251572641e-05
k149_305790_18	Region	MC	1.33718078882108	0.284858609852624	410	230	3.66065221624269e-06	5.09372858118664e-05
k149_49232_21	Region	MC	1.89490848164031	0.404095676361893	410	227	3.74538866263724e-06	5.09372858118664e-05
k149_91219_23	Region	MC	1.3308898071685	0.298697380866807	410	149	1.08180253521041e-05	0.000122604287323846
k149_49060_101	Region	MC	1.2482549014679	0.284906392486559	410	247	1.50211275469627e-05	0.000145919524741923
k149_17078_68	Region	MC	0.735350549287867	0.191241856279637	410	212	0.000139733745426086	0.00118773683612173
k149_163091_142	Region	MC	0.932590258828291	0.252750422813308	410	193	0.000254890574554795	0.00183443506725844
k149_218693_8	Region	MC	-0.393864839879391	0.10724971927298	410	117	0.000272249507923323	0.00183443506725844
k149_78367_20	Region	MC	1.05353030445717	0.288669589356097	410	230	0.000296746849115337	0.00183443506725844
k149_110324_8	Region	MC	0.885777795503344	0.266884634694785	410	206	0.000984711468511586	0.00480359107400128
k149_112649_18	Region	MC	0.665053796366313	0.198163581849983	410	230	0.000864645011448847	0.00480359107400128
k149_211711_7	Region	MC	-0.511774724643422	0.154255205876758	410	125	0.000988974632882618	0.00480359107400128
k149_130261_183	Region	MC	0.841543260413115	0.255226658117997	410	213	0.00106193099198662	0.0048140871636727
k149_29044_31	Region	MC	0.826964995996345	0.264298958467685	410	229	0.00188059422639641	0.00793139825476742
k149_49060_107	Region	MC	0.672335922360621	0.215981652456795	410	175	0.00198284956369186	0.00793139825476742
k149_145357_32	Region	MC	0.801302853374185	0.261149669561745	410	211	0.00229590899078071	0.00797575422945637
k149_212974_29	Region	MC	0.809186741459563	0.261772514543305	410	175	0.00213035319310502	0.00797575422945637
