feature	k149_101865_34	k149_103437_27	k149_106777_66	k149_107332_92	k149_110324_8	k149_110541_22	k149_112649_18	k149_115884_6	k149_116128_96	k149_117874_31	k149_118281_20	k149_122792_191	k149_130261_154	k149_130261_183	k149_130672_15	k149_131241_136	k149_134666_10	k149_137462_21	k149_145357_32	k149_148463_138	k149_148463_24	k149_154020_42	k149_1590_94	k149_163091_142	k149_163091_90	k149_163091_92	k149_16561_10	k149_168025_95	k149_168967_172	k149_17078_68	k149_191853_13	k149_198842_65	k149_211711_7	k149_212974_29	k149_218693_8	k149_25741_10	k149_277096_39	k149_28321_45	k149_29044_31	k149_305790_18	k149_34831_79	k149_43075_294	k149_43898_21	k149_43954_24	k149_44733_4	k149_45431_17	k149_45854_12	k149_49060_101	k149_49060_107	k149_49100_7	k149_49232_21	k149_49857_4	k149_54842_45	k149_59941_16	k149_63122_44	k149_6815_10	k149_69830_8	k149_7326_19	k149_74925_127	k149_78077_21	k149_78367_20	k149_78367_238	k149_78367_35	k149_85850_31	k149_85897_43	k149_91219_23	k149_99651_133	k149_99651_276
AUS1002	195	0	0	82.249	36.062	10.42	2	2.279	87	0	0	142	125	86.639	29	35	0	286.751	71	28	209.566	45	7.655	53	48	175	21.938	161	0	1.064	0	0	1.095	6.711	0	0	0	0	93	44.542	25.856	27.431	28.11	48	0	1	6.687	75	56.652	23.832	0	0	2.295	13.443	0	3.537	0	107.946	6.526	0	125	78.334	108	0	46	0	93.009	89
AUS1005	0	0	0	0	0	46.626	32.925	0	0	0	0	2.332	2.195	1.558	0	0	14	2.082	4.352	0	0	1	1	1	0	0	0	0	0	9.607	23	0	0	24.563	3	49	0	0	1	6.63	1	0	0	0	0	18	50.099	5.481	0	0	3.794	0	35.347	0	0	9.992	0	4.126	0	12	0	1.734	2.144	0	0	0	2.943	1
AUS1006	276	0	0	144.366	43.466	0	0	0	43.402	0	1.277	265.562	193	153	41.444	13.593	0	486	149	51	367.772	112.704	24.968	95	95	284	34.628	217.244	0	0	0	0	0	0	0	0	0	0	200.872	76.172	69.548	71.894	42.894	85.355	0	0	0	113	104.605	53.361	0	0	0	6.009	65	0	0	154	8.257	0	225	100.289	156.465	0	103.809	0	141.116	176.988
AUS1007	58.907	0	0	28.338	338.929	0	0	0	43.665	0	16.743	21.907	17.27	14.427	5.319	11	0	93.077	28.301	29.674	19.254	4.288	2.686	5.734	78.159	307.611	8.168	124.483	0	0	0	1.122	0	0	0	0	0	0	19.7	126.209	27.641	61.471	13.572	85.488	0	0	0	71.094	10.491	32.247	32.736	0	0	4.078	0	0	0	22.636	71.512	0	53.612	0.116	61.72	0	30.582	0	18.541	35.166
AUS1008	0	0	0	0	0	0	0	0	0	0	0	2	2.656	0	0	0	0	1	0	0	0	1	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	1	4.906	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5
AUS1010	8.975	0	0	7.86	16.45	0	0	0	4.404	0	0	24.645	4.717	16.503	1.586	3.244	0	42.469	24.527	11.94	8.607	12.364	2.998	12.43	18	54	9.659	42	0	0	0	0	0	0	0	0	0	0	13.541	7.986	34.413	15.032	5.304	18	0	0	0	13.375	2	9.29	0	0	0	0	0	0	0	6	2.152	0	19.286	12.807	2.367	0	7.627	6	1.518	39.123
AUS1011	310.69	0	0	37.825	177.59	0	0	0	215.155	0	34.31	264.007	139.397	210.541	75.49	77.667	0	246.771	157.385	105.333	4.004	176.717	70.044	8.552	181.244	701.508	289.792	437.51	0	0	0	0	0	0	0	2	0	0	236.827	59.763	98.823	99.625	16.707	163.88	0	0	0	180.618	53.643	30.073	116.871	0	0	1.003	390.084	0	29.498	123.361	90.181	0	195.663	36.899	157.063	0	94.727	25.934	116.943	176.418
AUS1012	0	0	0	0	1.939	0	3	0	0	4	1	0	0	0	0	0	0	3	0	1	0	0	0	0	0	3	0	0	0	6	0	0	8	3.85	4	0	0	0	1	0	0	0	1	0	0	7.623	15.872	0	0	2.743	2.629	1.133	5.791	0	0	0	0	0	0	0	0	0	0	0	4	0	4.461	0
AUS1013	0	0	0	14.882	8.489	1.592	1	0	16.95	0	0	8.938	15.241	4.156	8.673	3	0	1.021	6.567	10.62	0	16.949	0	16	0	0	5.626	0	0	0	0	0	0	0	0	10	0	0	12.194	35.608	2.141	2.086	1.072	0	0	0	0	27.198	2.724	8.617	211.934	0	0	0	0	0	0	0	43.324	0	22.576	0	2.026	0	0	1.533	7.723	16.067
AUS1015	0	0	2.952	0	0	2	1	0	0	1	0	0	2	0	0	0	1.092	1	0	0	0	0	0	0	0	1	1	0	0	1	6	103.917	0	1.292	0	0	0	0	0	0	0	0	1	1	0	0	1.471	0	0	0	1.5	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
