feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pathway108	Region	AUS	-0.809103815473344	0.0776340322249328	410	410	1.04488806231248e-22	8.67257091719359e-21
Pathway142	Region	AUS	-0.839689757559586	0.0803888894941805	410	410	8.60802169429464e-23	8.67257091719359e-21
Pathway110	Region	AUS	-1.26514122164489	0.12692151031135	410	409	4.32988181945317e-21	2.39586794009742e-19
Pathway52	Region	AUS	-1.08646277689329	0.111746265383107	410	410	3.10842896460444e-20	1.28999802031084e-18
Pathway33	Region	AUS	-1.34742612136086	0.145903573270716	410	410	1.42900866041177e-18	4.74430875256708e-17
Pathway53	Region	AUS	-0.815838697681031	0.0899409771308402	410	410	5.04553555436858e-18	1.35494590341961e-16
Pathway120	Region	AUS	-0.909831216870485	0.100483508021439	410	410	5.71362730357669e-18	1.35494590341961e-16
Pathway145	Region	AUS	-1.02526421473515	0.114155136914488	410	410	9.97327528701394e-18	2.06945462205539e-16
Pathway163	Region	AUS	-0.258117146623506	0.0297550536885076	410	410	9.95496746304005e-17	1.83613844318294e-15
Pathway40	Region	AUS	-2.43309339769648	0.293081931988419	410	375	1.52156801169581e-15	2.50443078326825e-14
Pathway154	Region	AUS	-0.674625821987772	0.0813812948526318	410	410	1.65956256722595e-15	2.50443078326825e-14
Pathway55	Region	AUS	-0.216982723202304	0.0265638331470524	410	410	3.95573208088672e-15	5.47209604522663e-14
Pathway19	Region	AUS	-0.919439105343298	0.117078922035678	410	410	3.6224148742845e-14	4.62554514716328e-13
Pathway57	Region	AUS	-0.63445745912271	0.081213087226729	410	410	4.80667737276738e-14	5.69934602770989e-13
Pathway98	Region	AUS	-0.474268318508777	0.0613760648006041	410	410	8.6238806058726e-14	9.54376120383235e-13
Pathway107	Region	AUS	-0.320505264206755	0.044756296893623	410	410	3.75737254533936e-12	3.89827401578959e-11
Pathway10	Region	AUS	-0.383804069278268	0.05432571154895	410	410	6.98925169173732e-12	6.82479871075527e-11
Pathway64	Region	AUS	-1.47245791512591	0.21306701304501	410	403	1.86330595263335e-11	1.71838215631742e-10
Pathway34	Region	AUS	-1.46748081748219	0.213911569632711	410	403	2.56123152684498e-11	2.23770754450667e-10
Pathway36	Region	AUS	-1.49421485461673	0.218546947238588	410	403	2.96171800406598e-11	2.45822594337476e-10
Pathway65	Region	AUS	-0.572312046295797	0.0859896759819893	410	410	9.11729370459928e-11	7.2070035950642e-10
Pathway161	Region	AUS	-1.18848166917702	0.182969274958184	410	408	2.41146949570774e-10	1.81956334676129e-09
Pathway63	Region	AUS	-1.08130833987513	0.170677317685519	410	408	6.26506202850365e-10	4.5217404205722e-09
Pathway109	Region	AUS	-0.212640414622809	0.0336369192619067	410	410	6.79479346581138e-10	4.6997321471862e-09
Pathway25	Region	AUS	-0.67737716532403	0.108241174047454	410	382	9.8710027935572e-10	6.30225562973267e-09
Pathway149	Region	AUS	-0.440217447510902	0.0702787812854824	410	410	9.53952968172195e-10	6.30225562973267e-09
Pathway74	Region	AUS	-0.780902391595339	0.12878314088333	410	410	3.03362336538058e-09	1.86511658760435e-08
Pathway44	Region	AUS	-0.76658530239413	0.12709622477831	410	410	3.64335493280005e-09	2.15998899587432e-08
Pathway100	Region	AUS	0.269599720646719	0.0455117512585584	410	410	6.69306923543911e-09	3.8312051485617e-08
Pathway59	Region	AUS	-0.308334316305755	0.0522820413913587	410	410	7.74996965407592e-09	4.28831654192201e-08
Pathway158	Region	AUS	0.371369198283689	0.0633601608365281	410	409	9.48482440922068e-09	5.07897049009882e-08
Pathway138	Region	AUS	-0.540124125228467	0.0926516694675986	410	409	1.13017595263587e-08	5.86278775429858e-08
Pathway38	Region	AUS	-0.238600363310181	0.0410673357163578	410	410	1.25968961892722e-08	6.33662050733086e-08
Pathway96	Region	AUS	-0.521411850492536	0.0908695296396853	410	409	1.86973750013164e-08	9.12871838299566e-08
Pathway140	Region	AUS	-0.512755168428507	0.0903089751755756	410	410	2.59457838416548e-08	1.2305714622042e-07
Pathway47	Region	AUS	-0.497700961848098	0.0892802445284143	410	410	4.51873349654083e-08	2.08363822340494e-07
Pathway88	Region	AUS	-0.208760938372644	0.0375767048896296	410	410	5.00020423780885e-08	2.24333487426019e-07
Pathway101	Region	AUS	0.383166893266063	0.0690492725936886	410	409	5.17375277817039e-08	2.26011305572706e-07
Pathway106	Region	AUS	-0.409416379573541	0.0739296587093216	410	410	5.49278928580015e-08	2.33795646523801e-07
Pathway139	Region	AUS	-0.193160874736808	0.0360981617793988	410	410	1.46176410355608e-07	6.06632102975773e-07
Pathway152	Region	AUS	-0.59349736253482	0.11136330090533	410	409	1.63401622378785e-07	6.571031739513e-07
Pathway153	Region	AUS	-0.593039749035614	0.111347731003562	410	409	1.66255019915389e-07	6.571031739513e-07
Pathway164	Region	AUS	0.148130547132469	0.0281465207742474	410	410	2.29740967612593e-07	8.86906991248614e-07
Pathway87	Region	AUS	-0.743657333854453	0.149399877152924	410	410	9.51272362900269e-07	3.58889118730556e-06
Pathway42	Region	AUS	-0.300894409642328	0.0609108118205513	410	410	1.14233662671155e-06	4.21395288964704e-06
Pathway125	Region	AUS	-0.264342877405857	0.0539366817628422	410	410	1.37827657468979e-06	4.97378068257618e-06
Pathway95	Region	AUS	-0.505652574683232	0.104802435060952	410	409	1.98305679546739e-06	7.00398783079973e-06
Pathway71	Region	AUS	-0.22045442190812	0.0460620893977123	410	410	2.38241371500036e-06	8.23918076437625e-06
Pathway151	Region	AUS	-0.706033817261482	0.149069931097025	410	410	3.00938189409726e-06	1.01950488657172e-05
Pathway105	Region	AUS	0.182258165986382	0.0387194651739142	410	410	3.44686931843172e-06	1.14436061371933e-05
Pathway131	Region	AUS	-0.700370768469674	0.150331353942503	410	410	4.31080444427737e-06	1.40312458382362e-05
Pathway72	Region	AUS	-0.927247133511308	0.19955281390328	410	394	4.56043882503985e-06	1.45583239414734e-05
Pathway56	Region	AUS	0.14656620123284	0.0319088399332628	410	410	5.82238058500473e-06	1.82361354171846e-05
Pathway21	Region	AUS	-0.677328891561202	0.148960840042508	410	410	7.1823819113101e-06	2.2079174023657e-05
Pathway136	Region	AUS	0.168360613086029	0.0381351002499059	410	410	1.29599737932254e-05	3.91155572668256e-05
Pathway37	Region	AUS	0.238318120758995	0.0540990134837621	410	410	1.35215437470965e-05	4.00817189646074e-05
Pathway69	Region	AUS	0.169342669739078	0.0386863864950479	410	410	1.52841289556271e-05	4.3002803502273e-05
Pathway133	Region	AUS	0.170646561191701	0.0389711748112814	410	410	1.51860333499596e-05	4.3002803502273e-05
Pathway134	Region	AUS	0.171208516750495	0.0390563459165858	410	410	1.48672999344285e-05	4.3002803502273e-05
Pathway81	Region	AUS	0.573021958325142	0.134830101271855	410	409	2.65212119332503e-05	7.33753530153259e-05
Pathway160	Region	AUS	-0.161246689192725	0.0399110927468746	410	410	6.38397592576215e-05	0.000173727869455167
Pathway23	Region	AUS	-0.318767021478427	0.083176233139072	410	410	0.000146886478075468	0.00039327669936335
Pathway54	Region	AUS	-0.108139431573952	0.0284589376825685	410	410	0.000166848476796642	0.000439632494416548
Pathway46	Region	AUS	0.147288219730481	0.0399347079452594	410	410	0.00025638899833536	0.000665008964432339
Pathway1	Region	AUS	0.151349409627223	0.0417904652583725	410	410	0.00032963941376145	0.000841848348990779
Pathway89	Region	AUS	-0.351595845486408	0.0984044663411606	410	409	0.00039513038677371	0.0009938127909763
Pathway165	Region	AUS	-0.182078687066216	0.0516023030262795	410	410	0.000465472888335622	0.00115326118602557
Pathway84	Region	AUS	-0.30565837492762	0.0892036279779391	410	410	0.000673438506154583	0.00164398223561266
Pathway29	Region	AUS	-0.215301840227413	0.0637927659778982	410	409	0.000808802947222698	0.001945815786072
Pathway4	Region	AUS	-0.199025894614996	0.0596071403676827	410	409	0.000918217006638808	0.00214681722678933
Pathway45	Region	AUS	0.141601524868838	0.0423701137431761	410	410	0.00090844317819147	0.00214681722678933
Pathway49	Region	AUS	-0.332503639812489	0.10236124483133	410	409	0.00125687192229704	0.00289778804307374
Pathway128	Region	AUS	-0.183540716261479	0.057673708770867	410	410	0.00157240851252105	0.0035756138777876
Pathway2	Region	AUS	-0.0246662222837723	0.00795571658888037	410	410	0.00206637446225738	0.00457357547646301
Pathway17	Region	AUS	0.316442005203481	0.101931191965857	410	408	0.00203910000719861	0.00457357547646301
Pathway113	Region	AUS	0.13255483115541	0.0440671173530653	410	410	0.00279240178036739	0.00609919336238141
Pathway43	Region	AUS	-0.300148566422309	0.10229129789182	410	409	0.00353231478004167	0.00751749042931945
Pathway90	Region	AUS	0.079911351132533	0.0271987997935283	410	410	0.00349027217435585	0.00751749042931945
Pathway123	Region	AUS	-0.0762078081869788	0.0261276366534216	410	410	0.00373232705100311	0.00784261127172805
Pathway61	Region	AUS	-0.362329665984455	0.125278729002007	410	410	0.00403046911623818	0.00825524928947004
Pathway94	Region	AUS	-0.154149677468406	0.0532227505565163	410	410	0.00397894892184437	0.00825524928947004
Pathway97	Region	AUS	0.108175479155962	0.037451246030535	410	410	0.00407789422732857	0.00825524928947004
Pathway24	Region	AUS	-0.158304309987954	0.055543510605456	410	409	0.00459224383149222	0.00918448766298444
Pathway60	Region	AUS	-0.0811972236441732	0.0290586889622507	410	410	0.00544733232590248	0.0106383196011743
Pathway82	Region	AUS	-0.112828853604918	0.0403307222941441	410	410	0.00539237162716192	0.0106383196011743
Pathway66	Region	AUS	-0.19220813353219	0.0699525028179866	410	409	0.00626771686561787	0.0120981511592159
Pathway99	Region	AUS	-0.224820450625997	0.0825430502000143	410	410	0.00673326303180379	0.0128473754399934
Pathway41	Region	AUS	-0.321571882942643	0.119611142366567	410	408	0.00747189010753854	0.0140947017937659
Pathway39	Region	AUS	-0.112629894024816	0.043736530948293	410	410	0.010369786091712	0.0193413987778
Pathway150	Region	AUS	-0.149071727802153	0.0582723971251487	410	410	0.0108822064705029	0.0200716252678164
Pathway92	Region	AUS	0.0748478565939862	0.0312932844770768	410	410	0.0172170743254231	0.0314069707474751
Pathway159	Region	AUS	-0.295567928463772	0.130333672205121	410	409	0.023864888759672	0.0430605601533212
Pathway48	Region	AUS	0.0701814727185688	0.0313221351370623	410	410	0.0255871582545714	0.0456717018307403
Pathway78	Region	AUS	-0.0880117265743456	0.0403845877809993	410	410	0.0298777757640601	0.0527628806046169
Pathway30	Region	AUS	0.104458845808187	0.0482259280220467	410	409	0.0308873781710534	0.0539716292252091
Pathway7	Region	AUS	0.0761406800661028	0.0354266458549651	410	410	0.032202252195396	0.0556830610878722
Pathway70	Region	AUS	0.064717310472562	0.0309727874219595	410	410	0.0372825628831198	0.063606208403202
Pathway77	Region	AUS	-0.0776187452099387	0.0371998462817741	410	410	0.0375506531536976	0.063606208403202
Pathway129	Region	AUS	-0.102932498740558	0.0495101537170981	410	410	0.0382398907434221	0.0641194127616977
Pathway115	Region	AUS	-0.171209300884036	0.084687108805491	410	410	0.0438628623246575	0.0720914370880509
Pathway117	Region	AUS	-0.171209300884036	0.084687108805491	410	410	0.0438628623246575	0.0720914370880509
Pathway147	Region	AUS	-0.305035941561455	0.151716137513558	410	410	0.0450283971240441	0.073281509045013
Pathway8	Region	AUS	0.0740869271572283	0.037482501967126	410	410	0.0487628433481708	0.0785886601533627
Pathway124	Region	AUS	-0.222830362203699	0.113239008662164	410	410	0.0497693121448376	0.0794394790004138
Pathway75	Region	AUS	0.0509008291078987	0.0262161865822237	410	410	0.052876029151265	0.0835944841819999
Pathway15	Region	AUS	0.074887805927487	0.0396743077927128	410	410	0.0597939475945753	0.0936395783084858
Pathway32	Region	AUS	-0.0515494507547761	0.0274635757765155	410	410	0.0612298673409511	0.0949921306411018
Pathway68	Region	AUS	0.059311378034654	0.0319752258306517	410	410	0.0643293132098002	0.0988765369706188
Pathway12	Region	AUS	-0.0512845913210668	0.0278066866581464	410	410	0.0658604291245662	0.100301203987871
Pathway146	Region	AUS	0.0584949976957737	0.0319095771499602	410	410	0.0675089014448359	0.101877069453116
Pathway91	Region	AUS	0.0590330010259347	0.0326709799080742	410	410	0.0715153513435797	0.106950885793101
