feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pathway98	Region	HK	0.508902037834554	0.0761524802632922	410	410	7.7200297783395e-11	1.28152494320436e-08
Pathway12	Region	HK	0.206804588119846	0.0325085420670929	410	410	5.36733633508368e-10	4.45488915811945e-08
Pathway32	Region	HK	0.197260746340796	0.0322195897449714	410	410	2.16764494166172e-09	9.95635400623064e-08
Pathway40	Region	HK	2.26020615775866	0.37023928503587	410	375	2.39912144728449e-09	9.95635400623064e-08
Pathway60	Region	HK	0.207504115550165	0.0343022197440204	410	410	3.29332323032893e-09	1.0933833124692e-07
Pathway52	Region	HK	0.856427152198721	0.145319721317457	410	410	7.93018608082937e-09	2.19401814902946e-07
Pathway123	Region	HK	0.181237038036056	0.0309483571461416	410	410	9.75887296217437e-09	2.31424701674421e-07
Pathway18	Region	HK	0.218103095619414	0.0376673399843631	410	410	1.40435441269408e-08	2.91403540634022e-07
Pathway160	Region	HK	0.272966199724695	0.0478080773653767	410	410	2.18281018973583e-08	4.02607212773498e-07
Pathway71	Region	HK	0.31544073624049	0.0556308053278381	410	410	2.70258211349647e-08	4.48628630840414e-07
Pathway58	Region	HK	0.189954025394079	0.0340639246902483	410	410	4.4753747750334e-08	6.75374738777767e-07
Pathway19	Region	HK	0.809467656405093	0.148000568022628	410	410	7.8899458113216e-08	1.09144250389949e-06
Pathway106	Region	HK	0.486972744817347	0.0904112206573679	410	410	1.21818048608798e-07	1.55552277454312e-06
Pathway30	Region	HK	0.305601664468961	0.0572373415993689	410	409	1.55342047323206e-07	1.8419128468323e-06
Pathway85	Region	HK	0.337700301011028	0.0636943713942903	410	410	1.88183522353846e-07	1.89548620205234e-06
Pathway109	Region	HK	0.2199522534037	0.0416209321296642	410	410	2.05534648415314e-07	1.89548620205234e-06
Pathway129	Region	HK	0.311063816730422	0.0587682681636193	410	410	1.96888051986417e-07	1.89548620205234e-06
Pathway166	Region	HK	0.173103910295401	0.0326755674959493	410	410	1.92306665024585e-07	1.89548620205234e-06
Pathway54	Region	HK	0.177894104865054	0.0342321994841332	410	410	3.21250474275153e-07	2.80671466998291e-06
Pathway9	Region	HK	0.204334947900984	0.0396619765429334	410	410	4.02310808849773e-07	3.33917971345312e-06
Pathway116	Region	HK	0.203012644470547	0.0395959642059198	410	410	4.55404688658611e-07	3.59986563415854e-06
