feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Pathway145	Region	MC	1.16404427744009	0.112915593513429	410	410	2.66414106592502e-22	4.42247416943554e-20
Pathway154	Region	MC	0.704101714689762	0.0821765003196989	410	410	2.18763393379813e-16	1.81573616505245e-14
Pathway37	Region	MC	-0.437594030583614	0.0518417434625991	410	410	5.55142399319494e-16	3.0717879429012e-14
Pathway69	Region	MC	-0.295234084609642	0.0374138021754478	410	410	2.78474654876621e-14	6.8782510674226e-13
Pathway108	Region	MC	0.651133286949189	0.0825767450957653	410	410	2.90046731758784e-14	6.8782510674226e-13
Pathway133	Region	MC	-0.297838356784299	0.0376815357263243	410	410	2.54315873332948e-14	6.8782510674226e-13
Pathway134	Region	MC	-0.298702903797827	0.0377619097017912	410	410	2.43789845054862e-14	6.8782510674226e-13
Pathway142	Region	MC	0.651584441464462	0.0859825575174955	410	410	2.37859759593589e-13	4.93559001156698e-12
Pathway64	Region	MC	1.60888405811483	0.214178169833961	410	403	3.7146309516173e-13	6.85143042187191e-12
Pathway56	Region	MC	-0.233343903229557	0.031131203281853	410	410	4.14641169995709e-13	6.88304342192877e-12
Pathway36	Region	MC	1.63918257746607	0.219611913000146	410	403	5.11933513900019e-13	7.72554211885483e-12
Pathway34	Region	MC	1.58959132640009	0.215308880204749	410	403	8.78505435401909e-13	1.21526585230597e-11
Pathway100	Region	MC	-0.325857894459755	0.0453428617561557	410	410	3.18620299397978e-12	4.06853613077419e-11
Pathway158	Region	MC	-0.451381189566297	0.0631057926674014	410	409	3.96624737412229e-12	4.70283617217358e-11
Pathway33	Region	MC	1.09268745886583	0.15354227713709	410	410	5.0131417338356e-12	5.5478768521114e-11
Pathway164	Region	MC	-0.197066261300135	0.0278555597440214	410	410	6.56709008406973e-12	6.81335596222235e-11
Pathway136	Region	MC	-0.257378633747902	0.0375049478303321	410	410	2.52447573516274e-11	2.46507630610008e-10
Pathway30	Region	MC	-0.318759259256814	0.0466182991117511	410	409	2.95062367183322e-11	2.72113071957952e-10
Pathway161	Region	MC	1.21059193019137	0.185591161555432	410	408	2.0446061602626e-10	1.78634011896627e-09
Pathway53	Region	MC	0.613059460661342	0.0953312886142978	410	410	3.55439299279535e-10	2.95014618402014e-09
Pathway166	Region	MC	-0.170320078354457	0.0267868387394487	410	410	5.46992094527342e-10	4.32384227102566e-09
Pathway10	Region	MC	0.35334971689007	0.0557190522639588	410	410	6.03847689954922e-10	4.55630529693259e-09
Pathway46	Region	MC	-0.246089924399439	0.0393500899243432	410	410	1.01150338230659e-09	7.30041571577801e-09
Pathway90	Region	MC	-0.165805333450256	0.0266545609302521	410	410	1.22862155481904e-09	8.49796575416499e-09
Pathway57	Region	MC	0.516745640330411	0.0845738116447421	410	410	2.32754423395898e-09	1.54548937134877e-08
Pathway63	Region	MC	1.03317397702986	0.174154613294812	410	408	6.37198150610679e-09	4.06826511543741e-08
Pathway83	Region	MC	-0.204720621823084	0.0355801853998418	410	410	1.71542347566514e-08	1.05466776652005e-07
Pathway110	Region	MC	0.784879421909951	0.138263174869361	410	409	2.60981547448733e-08	1.54724774558892e-07
Pathway7	Region	MC	-0.19610871821505	0.0348233464018886	410	410	3.33051250171291e-08	1.90643129408394e-07
Pathway92	Region	MC	-0.171400411774657	0.0308296389114553	410	410	4.89475234377679e-08	2.70842963022316e-07
Pathway120	Region	MC	0.597732220370241	0.107749832392371	410	410	5.22276064084805e-08	2.79670408509928e-07
Pathway9	Region	MC	-0.180613036028566	0.0328316068215425	410	410	6.67164219253677e-08	3.46091438737845e-07
Pathway95	Region	MC	0.575567081821395	0.105559714569297	410	409	8.61862945231129e-08	4.33543178510204e-07
Pathway44	Region	MC	0.704932857515007	0.12999221235654	410	410	1.00641240604833e-07	4.80951585992414e-07
Pathway116	Region	MC	-0.17782288145256	0.0327999606172485	410	410	1.01405454877919e-07	4.80951585992414e-07
Pathway45	Region	MC	-0.226510374682511	0.0421112557007623	410	410	1.2654790937383e-07	5.8352647100155e-07
Pathway101	Region	MC	-0.368069081237491	0.0703404895324416	410	409	2.6780076817068e-07	1.20148452746845e-06
Pathway48	Region	MC	-0.161556787940623	0.0309621040459536	410	410	2.88631617539672e-07	1.26086443451541e-06
Pathway96	Region	MC	0.48293342598629	0.0928269090919872	410	409	3.11945920431098e-07	1.32776981516826e-06
Pathway91	Region	MC	-0.167310673427869	0.0322375095158376	410	410	3.32369254769794e-07	1.37933240729464e-06
Pathway8	Region	MC	-0.189164830842111	0.0370510894429051	410	410	5.070887549453e-07	2.0530910566078e-06
Pathway105	Region	MC	-0.199289366181615	0.0391175280374933	410	410	5.35246965762151e-07	2.11549991229803e-06
Pathway140	Region	MC	0.461704564993622	0.0924057241607166	410	410	8.6768172169755e-07	3.34965501864635e-06
Pathway61	Region	MC	0.615097267199122	0.124758047913224	410	410	1.19658224920677e-06	4.51437848564373e-06
Pathway25	Region	MC	0.543483483896749	0.111794021423898	410	382	1.66553551147792e-06	6.14397544234076e-06
Pathway18	Region	MC	-0.151527392853657	0.031699315461496	410	410	2.44934692547066e-06	8.8389476006115e-06
Pathway74	Region	MC	0.63068860617007	0.132820902649099	410	410	2.84301126962982e-06	1.00412738459266e-05
Pathway15	Region	MC	-0.1846604199524	0.0393870954681675	410	410	3.76119942665179e-06	1.30074813505041e-05
Pathway163	Region	MC	0.14977668421835	0.0320124757943256	410	410	3.93311944140964e-06	1.33244454545715e-05
Pathway107	Region	MC	0.218230736252873	0.046958446904481	410	410	4.54596824161043e-06	1.50926145621466e-05
Pathway72	Region	MC	0.936228475161028	0.202545560949956	410	394	5.09903865204176e-06	1.65968709066457e-05
Pathway14	Region	MC	-0.180768708849237	0.0391451325249925	410	410	5.20283072621893e-06	1.66090365490835e-05
Pathway70	Region	MC	-0.138630789933649	0.0308423578828245	410	410	9.0836679268158e-06	2.84507335066306e-05
Pathway38	Region	MC	0.189752946794594	0.0423320904730739	410	410	9.59872590141007e-06	2.93046728171601e-05
Pathway149	Region	MC	0.326555058754735	0.0728930890706883	410	410	9.70937954785426e-06	2.93046728171601e-05
Pathway97	Region	MC	-0.166069237686906	0.0374988042340167	410	410	1.21932380264298e-05	3.61442412926313e-05
Pathway152	Region	MC	0.493463532866093	0.114289028531453	410	409	1.98173723136854e-05	5.77137509486277e-05
Pathway153	Region	MC	0.492763714297915	0.114274812788086	410	409	2.03024283083459e-05	5.81069499859555e-05
Pathway52	Region	MC	0.52683424594781	0.123111989305313	410	410	2.33855972607526e-05	6.57967651743208e-05
Pathway75	Region	MC	-0.109903601651012	0.0261652489800613	410	410	3.27495285726359e-05	9.06070290509594e-05
Pathway55	Region	MC	0.11871457842182	0.0284755765366657	410	410	3.73847887591273e-05	0.000101735654655986
Pathway58	Region	MC	-0.119670938413438	0.0287738132827947	410	410	3.8985180940522e-05	0.000104379678002043
Pathway135	Region	MC	-0.164542110402535	0.0398202283216119	410	410	4.36330866317225e-05	0.000114969720331205
Pathway76	Region	MC	-0.102922747446963	0.025369605027479	410	410	5.95882840040996e-05	0.000152179309918162
Pathway86	Region	MC	-0.102922747446963	0.025369605027479	410	410	5.95882840040996e-05	0.000152179309918162
Pathway128	Region	MC	0.228897812689055	0.0581513247183135	410	410	9.72943008474984e-05	0.000244709908192193
Pathway3	Region	MC	-0.317788946248665	0.0831090185991064	410	409	0.000151964268273896	0.000376508485574131
Pathway87	Region	MC	0.583792373217989	0.153437692563346	410	410	0.000163684327807416	0.000399582329647514
Pathway125	Region	MC	0.207678442159243	0.0553727884153876	410	410	0.000201968005171065	0.000485894041426042
Pathway89	Region	MC	0.363700553631909	0.0997928069793964	410	409	0.000302444679789139	0.00071722595492853
Pathway156	Region	MC	-0.284093119332269	0.0794102186920969	410	409	0.000388492492914319	0.000908306391884182
Pathway16	Region	MC	-0.346366867050839	0.0969633930057672	410	408	0.000396340547945113	0.000913785152206788
Pathway85	Region	MC	-0.191767492159526	0.0539147057297692	410	410	0.000419357881677841	0.000947311776102705
Pathway139	Region	MC	0.132671238200298	0.037319872921338	410	410	0.000422295611033736	0.000947311776102705
Pathway127	Region	MC	-0.159698120387527	0.0455961961552314	410	410	0.000511971664856709	0.00111825389955544
Pathway151	Region	MC	0.53658691854777	0.153080701542596	410	410	0.000506753135832044	0.00111825389955544
Pathway143	Region	MC	-0.551862110535924	0.158017095364441	410	408	0.000530990777567636	0.00114473336462633
Pathway26	Region	MC	-0.13584152026893	0.0391528746655958	410	410	0.000576958208494284	0.00122788541807758
Pathway131	Region	MC	0.531260475734323	0.154325701628122	410	410	0.000636036079360352	0.00133648087561795
Pathway21	Region	MC	0.517480565949384	0.152805005350764	410	410	0.000776485062882648	0.00159242727577233
Pathway65	Region	MC	0.306825281979793	0.0906066266347084	410	410	0.000777027767093725	0.00159242727577233
Pathway17	Region	MC	-0.3399510889289	0.103285014020644	410	408	0.00108367715518262	0.00219378546049165
Pathway12	Region	MC	-0.0901152209563485	0.027980239882191	410	410	0.00138132879382644	0.00276265758765287
Pathway67	Region	MC	0.230713078404938	0.0729834960311707	410	410	0.0016886519072293	0.00333709781666743
Pathway159	Region	MC	0.411937058511888	0.131512662334842	410	409	0.00185946279922916	0.00363142146672988
Pathway19	Region	MC	0.387307015823976	0.126016307133177	410	410	0.00225790106853332	0.00430817905030496
Pathway84	Region	MC	0.279239978590165	0.0907640914441627	410	410	0.00223523759034617	0.00430817905030496
Pathway20	Region	MC	-0.150510820845987	0.0498137091397776	410	410	0.00267388158588943	0.00498723981188365
Pathway103	Region	MC	-0.200433224322275	0.0662888112833398	410	410	0.00265527044125688	0.00498723981188365
Pathway32	Region	MC	-0.08324678697258	0.0276831058712482	410	410	0.0028003937997023	0.00516517078611758
Pathway40	Region	MC	0.94328500913467	0.318128594978075	410	375	0.00320341419451631	0.00584359072845832
Pathway1	Region	MC	-0.125975165234532	0.0426285025991161	410	410	0.00330597301201946	0.00596512521733946
Pathway122	Region	MC	-0.146861844394036	0.0513160609053673	410	410	0.00442780977650999	0.00790340239678128
Pathway112	Region	MC	-0.302028352842149	0.106403900172629	410	410	0.00475891606975851	0.00840404327212673
Pathway23	Region	MC	0.239688714805708	0.0850837501311855	410	410	0.00508151131718195	0.0088792724068653
Pathway27	Region	MC	-0.121552808303039	0.0455493171729562	410	410	0.00792058073913462	0.0136960041947536
Pathway59	Region	MC	0.139544377678175	0.0548337502352646	410	410	0.0112994440253548	0.019337192868133
Pathway5	Region	MC	-0.0746009002981815	0.0294493889319834	410	410	0.0116766075250248	0.0197787433587155
Pathway50	Region	MC	-0.0852498567653116	0.0338840283659595	410	410	0.0122548377275279	0.0205485157855518
Pathway147	Region	MC	0.385272805529236	0.153531573043192	410	410	0.0124800179917226	0.0207168298662595
Pathway81	Region	MC	-0.335441615778658	0.138822127444764	410	409	0.0161154856021461	0.0264868377223392
Pathway43	Region	MC	0.250586471022072	0.104151381173706	410	409	0.0165729578750281	0.0269716765417124
Pathway99	Region	MC	0.198586742691913	0.0839432526611792	410	410	0.018461462984159	0.029753425780295
Pathway115	Region	MC	0.19773210299073	0.0858073996423554	410	410	0.0217033248844731	0.0343119231506908
Pathway117	Region	MC	0.19773210299073	0.0858073996423554	410	410	0.0217033248844731	0.0343119231506908
Pathway47	Region	MC	0.211519718884674	0.0933970863923864	410	410	0.0240528067366419	0.0376676030026657
Pathway68	Region	MC	-0.0705661641906812	0.0323949455432361	410	410	0.0299550047253989	0.046472250321647
Pathway129	Region	MC	-0.108987623882776	0.0502158510309825	410	410	0.0305540395970585	0.0469626904917752
Pathway146	Region	MC	-0.0693229254534908	0.0323310627175868	410	410	0.0326104818199682	0.0496636695606855
Pathway102	Region	MC	-0.281972386886973	0.136257960945257	410	408	0.0391374841562015	0.0590620215448132
Pathway98	Region	MC	0.136643801511623	0.0663379322774673	410	410	0.0400501313691163	0.0598947910565163
Pathway60	Region	MC	-0.0597982529664717	0.0296199787843992	410	410	0.0441565922171648	0.0654463777504407
Pathway138	Region	MC	0.1875822867253	0.0974121098486291	410	409	0.0548418909377971	0.0805641937670293
Pathway109	Region	MC	0.0669431760903396	0.0356111095178199	410	410	0.0608422664444607	0.0878244889546128
Pathway124	Region	MC	0.21651128784832	0.11495244777987	410	410	0.0603455722388269	0.0878244889546128
Pathway114	Region	MC	0.128832445872692	0.0701157426856128	410	410	0.066874163627031	0.0956992341559237
Pathway42	Region	MC	0.115178863878649	0.0633736230638578	410	410	0.0698804685105072	0.0985077839928255
Pathway104	Region	MC	-0.278382839278815	0.153250249952523	410	408	0.070023605488876	0.0985077839928255
Pathway2	Region	MC	0.0147112647146541	0.00813492203144623	410	410	0.0712790063646389	0.0994312189624374
Pathway121	Region	MC	-0.178246957852633	0.0996159993224418	410	401	0.0743015741601896	0.102217105131566
Pathway162	Region	MC	-0.174212387336625	0.0974307360976046	410	409	0.0745076489212018	0.102217105131566
Pathway88	Region	MC	0.0698977849701795	0.039394513272265	410	410	0.0767587906753485	0.104442288951704
Pathway31	Region	MC	-0.1207774429	0.0686629538553185	410	410	0.0793287841083619	0.107061611073074
Pathway123	Region	MC	-0.0467826689771514	0.0266871962679005	410	410	0.0803529316961425	0.107569247270642
Pathway35	Region	MC	-0.330101421074148	0.20951991936789	410	394	0.115913054315961	0.153932536131596
Pathway79	Region	MC	0.115043462273873	0.0746707657253916	410	410	0.12417083513699	0.16230203647827
Pathway130	Region	MC	0.181578773045721	0.117717196917455	410	410	0.123727368043867	0.16230203647827
Pathway111	Region	MC	0.129698986163119	0.0863277282762322	410	410	0.133766776627484	0.172295359245252
Pathway155	Region	MC	-0.0474730396459236	0.031608306184809	410	410	0.133892176762876	0.172295359245252
Pathway165	Region	MC	0.0775921886321562	0.0530163999109923	410	410	0.144086726014652	0.183987665526402
Pathway148	Region	MC	0.190454176096225	0.13209138272889	410	409	0.150115626080281	0.19022285442234
Pathway49	Region	MC	0.149509800112225	0.104942974340727	410	409	0.155015146743769	0.194943290602012
Pathway6	Region	MC	0.205406016264818	0.145902004384255	410	408	0.159941242923384	0.199625912220163
Pathway51	Region	MC	-0.240225488721448	0.183232758911583	410	405	0.190581622919933	0.236093652273947
Pathway118	Region	MC	0.0914944402704691	0.0705614956219249	410	410	0.195480221075131	0.240368271840531
Pathway13	Region	MC	-0.0373130768150099	0.0289914572846163	410	409	0.1988110959988	0.242666484822064
Pathway137	Region	MC	-0.12010661481585	0.0965285526121945	410	409	0.214118215091939	0.259442508797532
Pathway126	Region	MC	-0.124928363744141	0.106649226695209	410	409	0.24212369670288	0.291250243859986
Pathway106	Region	MC	0.0850223764012259	0.0776731676991007	410	410	0.274330205930894	0.327617368234018
Pathway144	Region	MC	-0.0403666213496918	0.0374863166835592	410	410	0.282189766166936	0.33459643702651
Pathway29	Region	MC	0.0659820676925332	0.0655485493918192	410	409	0.314717056539185	0.370517953088686
Pathway132	Region	MC	0.0914767852174827	0.0915251860853037	410	409	0.318158884756417	0.371932217391305
Pathway113	Region	MC	-0.0404816906600646	0.0451649418530493	410	410	0.370616909025913	0.430226621666445
Pathway22	Region	MC	0.0912787527451768	0.106001905616513	410	410	0.389686072892545	0.449221445140017
Pathway41	Region	MC	0.104268809586808	0.12233464237391	410	408	0.394534057087926	0.451673472252384
Pathway80	Region	MC	0.0558460394932451	0.0668721032163264	410	410	0.404140502095619	0.459502214711457
Pathway157	Region	MC	0.0565913277801155	0.0684445657464555	410	410	0.408822439270375	0.461663434822329
Pathway73	Region	MC	0.0787957572620717	0.100256350960718	410	410	0.432357199195758	0.484941182881729
Pathway39	Region	MC	-0.0330279292473186	0.0447101512758688	410	410	0.460506572813491	0.513047591188185
Pathway141	Region	MC	0.0353015031350644	0.0537189857559247	410	410	0.511454136690449	0.566009244604097
Pathway62	Region	MC	-0.0379482505525961	0.0590925487370606	410	410	0.521114803845173	0.569291881441451
Pathway94	Region	MC	0.035005465426582	0.0545316174872466	410	410	0.521279313127111	0.569291881441451
Pathway28	Region	MC	-0.0749762909912212	0.120682192449788	410	409	0.534768575143556	0.580206427933532
Pathway160	Region	MC	-0.0226136052442443	0.0412860207906873	410	410	0.584176604185998	0.629696859057635
Pathway82	Region	MC	-0.0207974711004836	0.0413026604736374	410	410	0.614857616359544	0.658492673004415
Pathway93	Region	MC	0.0812655937109015	0.175170083480524	410	406	0.642949662828609	0.684164384804802
Pathway24	Region	MC	0.0258848045290177	0.056905593568178	410	409	0.649442712985889	0.68667191309336
Pathway66	Region	MC	0.0318463502579482	0.0716193616005153	410	409	0.656800406516785	0.690056123302445
