feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Ruminococcus_sp_AF13_28	Region	AUS	-0.726855164626573	0.0729490900367972	479	279	2.2691238550018e-21	5.82484093578961e-18
Nitrosopumilus_SGB14899	Region	AUS	0.0320812102545405	0.00343123897336492	479	111	3.40813877951861e-19	4.37434612351214e-16
Corynebacterium_durum	Region	AUS	-0.00914620229890173	0.00101432854268267	479	189	4.71186329088339e-18	4.03178435589922e-15
Oscillospiraceae_bacterium_Marseille_Q3528	Region	AUS	0.0201380119146276	0.00227493326020909	479	146	1.68998106624828e-17	1.08454534926483e-14
Oscillibacter_sp_ER4	Region	AUS	0.294766117777808	0.0345357982321087	479	182	1.88117082161271e-16	9.65793099815964e-14
Firmicutes_bacterium_AF16_15	Region	AUS	0.259335110909133	0.0310592742823086	479	258	7.47972058733146e-16	2.7429203925257e-13
Clostridium_sp_AF36_4	Region	AUS	0.137600544820896	0.0164525293176887	479	132	6.75420992981552e-16	2.7429203925257e-13
Lawsonibacter_asaccharolyticus	Region	AUS	0.0766767774579452	0.00925465672156131	479	202	1.20261774744074e-15	3.43013306408932e-13
Bifidobacterium_pseudocatenulatum	Region	AUS	-0.61937958127188	0.0747113255027325	479	232	1.1584472911038e-15	3.43013306408932e-13
Dialister_invisus	Region	AUS	0.550542123314562	0.0668529051352231	479	133	1.73597712035247e-15	4.4562532679448e-13
Clostridium_fessum	Region	AUS	0.189399178312603	0.0230985370178732	479	273	2.24979513686722e-15	5.2502037421256e-13
Dysosmobacter_sp_BX15	Region	AUS	0.110039733281	0.0134673063572173	479	162	2.77342467469646e-15	5.93281761662151e-13
Eubacterium_rectale	Region	AUS	0.663416246645902	0.0816234640314452	479	317	3.7923978082887e-15	7.48852705682854e-13
Streptococcus_salivarius	Region	AUS	-0.511947300704743	0.0631063035364409	479	458	4.2367066021911e-15	7.76830417701755e-13
GGB3653_SGB4964	Region	AUS	0.118798588326778	0.0152130346542488	479	149	3.69177211826446e-14	6.31785268505658e-12
Actinomyces_massiliensis	Region	AUS	-0.00668618061995178	0.000861179868977785	479	158	5.06370254517037e-14	8.12407777090772e-12
Roseburia_hominis	Region	AUS	0.148488815534764	0.0204878550125858	479	232	1.71933893993449e-12	2.59620179930108e-10
