feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Ruminococcus_sp_AF13_28	Region	AUS	-0.731667019106299	0.0728452360703756	479	279	1.16094221983694e-21	4.21422025800809e-19
Oscillibacter_sp_ER4	Region	AUS	0.289954263298081	0.0339574716889713	479	182	1.83023606590776e-16	3.32187845962258e-14
Firmicutes_bacterium_AF16_15	Region	AUS	0.254523256429406	0.030302781598678	479	258	5.17928077692248e-16	4.93533777648095e-14
Bifidobacterium_pseudocatenulatum	Region	AUS	-0.624191435751606	0.0743726644366021	479	232	5.43838873441427e-16	4.93533777648095e-14
Dialister_invisus	Region	AUS	0.545730268834836	0.0668245889158914	479	133	2.86088323844855e-15	1.45282721256788e-13
Clostridium_sp_AF36_4	Region	AUS	0.132788690341168	0.0161938218320666	479	132	2.2441925748177e-15	1.45282721256788e-13
Streptococcus_salivarius	Region	AUS	-0.516759155184471	0.0632247203328316	479	458	2.72360012959428e-15	1.45282721256788e-13
Eubacterium_rectale	Region	AUS	0.658604392166175	0.080799363961123	479	317	3.20182305800084e-15	1.45282721256788e-13
Clostridium_fessum	Region	AUS	0.184587323832875	0.0229401654244477	479	273	6.81906893029581e-15	2.75035780188598e-13
Lawsonibacter_asaccharolyticus	Region	AUS	0.0718649229782179	0.00907148365303715	479	202	1.65958810130553e-14	6.02430480773908e-13
Dysosmobacter_sp_BX15	Region	AUS	0.105227878801273	0.0134238284074664	479	162	2.99096274807044e-14	9.87017706863244e-13
GGB3653_SGB4964	Region	AUS	0.113986733847051	0.0150152879953955	479	149	1.67902226909693e-13	5.07904236401822e-12
Roseburia_hominis	Region	AUS	0.143676961055037	0.0201093319864997	479	232	3.39411266390635e-12	9.47740689998464e-11
Eggerthella_lenta	Region	AUS	-0.269730492517976	0.0382862784479076	479	368	6.51463385413117e-12	1.6891514921783e-10
Nitrosopumilus_SGB14899	Region	AUS	0.0272693557748132	0.00392088210632339	479	111	1.1678959825616e-11	2.82630827779906e-10
Roseburia_faecis	Region	AUS	0.33883089001206	0.0493733202246116	479	251	2.10925394847265e-11	4.78536989559733e-10
Blautia_obeum	Region	AUS	-0.377838746296044	0.055800515980662	479	367	3.76490215616497e-11	8.03917342757578e-10
GGB9758_SGB15368	Region	AUS	0.250506786530652	0.0373237126469818	479	137	5.47234132757521e-11	1.10358883439433e-09
Clostridium_sp_AF34_10BH	Region	AUS	0.136400352133168	0.0203675889641295	479	245	6.00337456283387e-11	1.14696050858352e-09
GGB9635_SGB15106	Region	AUS	0.181639868346737	0.027168656679496	479	62	6.44217796778077e-11	1.16925530115221e-09
Mogibacterium_diversum	Region	AUS	-0.0537326466923062	0.00811338709594355	479	371	9.52850904153213e-11	1.6470708486077e-09
Waltera_intestinalis	Region	AUS	0.174135626511602	0.0264243117345179	479	196	1.1667012649563e-10	1.92505708717789e-09
Actinomyces_oris	Region	AUS	-0.0397509314828855	0.00605764330043814	479	325	1.38528565271744e-10	2.18634213885405e-09
Barnesiella_intestinihominis	Region	AUS	0.0824857249135335	0.0127601267142645	479	132	2.5190686933263e-10	3.81009139865603e-09
Coprococcus_eutactus	Region	AUS	0.227777290915221	0.0356518136788076	479	137	3.97529814542738e-10	5.77213290716056e-09
GGB2982_SGB3964	Region	AUS	0.0332075013944658	0.00528336437139645	479	115	7.39101354118413e-10	1.03189919824994e-08
GGB9713_SGB15249	Region	AUS	0.0995172156511876	0.0160881401195056	479	93	1.3306101622009e-09	1.78893144029232e-08
Actinobaculum_sp_oral_taxon_183	Region	AUS	-0.0224015912429213	0.00363655615565708	479	236	1.54627492932351e-09	2.00463499765869e-08
Evtepia_gabavorous	Region	AUS	0.14512204967022	0.024133133919901	479	182	3.61729840153452e-09	4.52785972330011e-08
Faecalibacillus_intestinalis	Region	AUS	-0.293389336405607	0.0492556103416682	479	317	5.00793889794244e-09	6.05960606651035e-08
Bacteroides_uniformis	Region	AUS	0.236333014045743	0.0411075043525732	479	349	1.60281364576399e-08	1.87684307552364e-07
Parabacteroides_merdae	Region	AUS	0.108073340215545	0.0188776427239258	479	216	1.83197789801441e-08	2.0781499280601e-07
Alistipes_putredinis	Region	AUS	0.184190922331433	0.0326782064240824	479	240	2.97326362444531e-08	3.27058998688984e-07
Actinomyces_dentalis	Region	AUS	-0.0222297817573534	0.00397330318069652	479	217	3.72839420244243e-08	3.98060910437236e-07
Oscillospiraceae_bacterium_Marseille_Q3528	Region	AUS	0.0153261574349003	0.00280585131326504	479	146	7.58329992676519e-08	7.86496535261647e-07
Blautia_stercoris	Region	AUS	-0.177259176783323	0.0326045105379824	479	144	8.68201566494735e-08	8.75436579548857e-07
Alistipes_shahii	Region	AUS	0.0334433426074374	0.00615826471513668	479	159	8.96153157693107e-08	8.79198908763778e-07
TM7_phylum_sp_oral_taxon_348	Region	AUS	-0.0163395836782635	0.0030179620822579	479	179	9.77740231042178e-08	9.3399922070608e-07
Streptococcus_mitis	Region	AUS	-0.048344621798842	0.00895781267817413	479	361	1.07020531389178e-07	9.96114176776198e-07
Olsenella_sp_oral_taxon_807	Region	AUS	-0.0168130443022785	0.003118809801495	479	198	1.10484258935755e-07	1.00264464984198e-06
Roseburia_intestinalis	Region	AUS	0.135038743946364	0.0252183646536525	479	193	1.33428727579518e-07	1.18133239296012e-06
Actinomyces_sp_ICM58	Region	AUS	-0.0333861723164949	0.00627213096322095	479	224	1.57469845334973e-07	1.36098937753798e-06
Corynebacterium_durum	Region	AUS	-0.013958056778629	0.00264198347527086	479	189	1.93446165111336e-07	1.63304553338174e-06
Clostridiales_bacterium	Region	AUS	0.0490034672622581	0.00930519067186944	479	159	2.11067147808946e-07	1.74130396942381e-06
GGB9708_SGB15234	Region	AUS	0.0925101883634696	0.0177321655120782	479	96	2.71549803019305e-07	2.19050174435572e-06
TM7_phylum_sp_oral_taxon_352	Region	AUS	-0.0292022401897632	0.00570320651094595	479	293	4.43323549591253e-07	3.49840105438315e-06
Roseburia_sp_AF02_12	Region	AUS	0.112098849848808	0.0219558780436808	479	134	4.77222715999726e-07	3.68578395548725e-06
Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	Region	AUS	-0.0216029790944763	0.00425971443000416	479	252	5.66166072216177e-07	4.11036568428944e-06
Streptococcus_constellatus	Region	AUS	-0.0206512749366556	0.00407140869458509	479	157	5.63895413907454e-07	4.11036568428944e-06
Alistipes_communis	Region	AUS	0.0431705277303564	0.00850717561832061	479	127	5.57369051354667e-07	4.11036568428944e-06
Romboutsia_timonensis	Region	AUS	-0.158945881761248	0.0313942124528732	479	355	5.90830011248761e-07	4.20531949182942e-06
Actinomyces_SGB17168	Region	AUS	-0.0475403948355641	0.00942604518708054	479	251	6.50614711494053e-07	4.54179115908349e-06
Anaeromassilibacillus_sp_An250	Region	AUS	0.0264506458108007	0.00526628596069928	479	163	7.21517292484431e-07	4.94171277682733e-06
Blautia_wexlerae	Region	AUS	-0.448003933997717	0.0894388477341792	479	433	7.71604287338811e-07	5.1868954871109e-06
GGB2653_SGB3574	Region	AUS	0.0186098757104585	0.00378379585716676	479	129	1.20340774618207e-06	7.80066092614449e-06
GGB33469_SGB15236	Region	AUS	0.0881071172319212	0.0179012612106552	479	82	1.18293118695648e-06	7.80066092614449e-06
Collinsella_SGB4121	Region	AUS	0.036607380552191	0.00744862506894399	479	239	1.224995264782e-06	7.80128563361167e-06
Eubacterium_sulci	Region	AUS	-0.0363271106222481	0.00741134496075266	479	323	1.30535244442309e-06	8.03123622585733e-06
Actinomyces_sp_oral_taxon_414	Region	AUS	-0.016046848018389	0.00327211314434333	479	131	1.2891944984382e-06	8.03123622585733e-06
Actinomyces_sp_ICM47	Region	AUS	-0.0476845889546447	0.009738415389234	479	364	1.33741843769298e-06	8.0913815480425e-06
Mediterraneibacter_sp_gm002	Region	AUS	-0.107607538209956	0.0220092547863167	479	92	1.38584576227701e-06	8.24691822469765e-06
Peptostreptococcus_stomatis	Region	AUS	-0.0299988285648868	0.00614807918843633	479	180	1.45314270363836e-06	8.50791615194716e-06
GGB9760_SGB15374	Region	AUS	0.10587262227424	0.021877519245801	479	95	1.76196319019221e-06	1.01522640958694e-05
GGB45432_SGB63101	Region	AUS	0.0231516419109661	0.00479167706502887	479	116	1.82816809383159e-06	1.0369140907201e-05
Eubacterium_siraeum	Region	AUS	0.0702629078699379	0.0145894003868162	479	98	1.96988723441771e-06	1.10010625552866e-05
Lancefieldella_rimae	Region	AUS	-0.0154936586060613	0.00325388464441298	479	139	2.55161250259014e-06	1.40338687642458e-05
Akkermansia_muciniphila	Region	AUS	0.353338880726631	0.07445195375093	479	164	2.74836554012927e-06	1.48903983741332e-05
GGB9747_SGB15356	Region	AUS	0.0605681645577263	0.0129348717907711	479	55	3.69890751465761e-06	1.97456386444223e-05
Streptococcus_australis	Region	AUS	-0.0629425410986054	0.0135079441099642	479	331	4.11464243502733e-06	2.16465971581873e-05
Actinomyces_bouchesdurhonensis	Region	AUS	-0.0337108036846293	0.00724186026517891	479	131	4.20497078081094e-06	2.18057770490625e-05
GGB80011_SGB15265	Region	AUS	0.156648337619281	0.0337172062226431	479	148	4.38514449342217e-06	2.24198232551021e-05
Actinomyces_SGB17132	Region	AUS	-0.0194809076508657	0.00421546550971532	479	276	4.91462068156873e-06	2.47778792695757e-05
Raoultibacter_timonensis	Region	AUS	-0.0237459122562985	0.00514739047700819	479	118	5.10162739075322e-06	2.53683663403208e-05
Alistipes_ihumii	Region	AUS	0.0407307375178718	0.00885456693472331	479	104	5.42171768471498e-06	2.65957232371829e-05
Streptococcus_sp_F0442	Region	AUS	-0.0183203318478855	0.00399287329586312	479	131	5.72121490305652e-06	2.76906801307936e-05
Dysosmobacter_welbionis	Region	AUS	0.0566288964872662	0.0124141181259302	479	242	6.46173447526224e-06	3.08632844015815e-05
Granulicatella_SGB8255	Region	AUS	-0.0354861831675262	0.00782681648546663	479	336	7.33112445758055e-06	3.36860528873638e-05
Eubacterium_brachy	Region	AUS	-0.0126260238023778	0.00278153174863792	479	140	7.15636103931394e-06	3.36860528873638e-05
Megasphaera_sp_NM10	Region	AUS	-0.239802076954163	0.0528905196891938	479	75	7.3307883754915e-06	3.36860528873638e-05
Propionibacterium_acidifaciens	Region	AUS	-0.0133051975139269	0.00297308742899125	479	133	9.55686830754833e-06	4.33642899455005e-05
Streptococcus_parasanguinis	Region	AUS	-0.178602294044487	0.040078758355333	479	403	1.04033154476406e-05	4.60537013108968e-05
Collinsella_aerofaciens	Region	AUS	-0.323078731381878	0.0724625276260503	479	293	1.02976944241359e-05	4.60537013108968e-05
Gemella_sanguinis	Region	AUS	-0.0453698254774196	0.0102570699691813	479	336	1.20539594971624e-05	5.27179192466258e-05
GGB51959_SGB72479	Region	AUS	-0.0179847149212478	0.00407020507512037	479	104	1.23055767032881e-05	5.31776707534949e-05
