feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bifidobacterium_adolescentis	Region	HK	0.740817218643308	0.0721762407071179	479	183	1.8196406066458e-22	4.67101743725977e-19
Megasphaera_sp_NM10	Region	HK	0.440932900498596	0.0514172980279261	479	75	1.38766261242201e-16	1.78106496304365e-13
Dialister_hominis	Region	HK	0.418656281825698	0.0515144717659668	479	93	3.81442250777487e-15	3.26387419248603e-12
Olsenella_sp_AF16_14LB	Region	HK	0.106244826162991	0.0147051696665031	479	59	1.99841855645592e-12	1.28248510860559e-09
Fusicatenibacter_saccharivorans	Region	HK	0.381988107682729	0.0628637889790852	479	370	2.51569666090329e-09	1.07629888808979e-06
Bifidobacterium_longum	Region	HK	0.470584794443109	0.0773854482033667	479	339	2.44948762591608e-09	1.07629888808979e-06
Bifidobacterium_pseudocatenulatum	Region	HK	0.47023947325141	0.0791328594938658	479	232	5.42480300067622e-09	1.61437644962838e-06
Mesosutterella_multiformis	Region	HK	0.0460463968253097	0.00775104579155663	479	66	5.47855498337908e-09	1.61437644962838e-06
Collinsella_tanakaei	Region	HK	0.159130893121733	0.0268126070193009	479	44	5.66006546422104e-09	1.61437644962838e-06
Negativibacillus_massiliensis	Region	HK	0.0824765904785125	0.0148149908811724	479	110	4.32919898910253e-08	1.11130538050262e-05
Ruminococcaceae_bacterium_AM28_23LB	Region	HK	0.00996132836378606	0.0017955551048479	479	69	4.80358224204633e-08	1.12098141957572e-05
Sellimonas_intestinalis	Region	HK	0.124746631995153	0.0235632062134851	479	158	1.82809118590604e-07	3.91059172851733e-05
Dorea_longicatena	Region	HK	0.30857289937496	0.0602110758493879	479	350	4.33333460416665e-07	8.55666917607368e-05
Megasphaera_hominis	Region	HK	0.0384504859751563	0.00774764624309761	479	36	9.68314913816088e-07	0.000177547455983278
Megamonas_funiformis	Region	HK	0.360558106913408	0.0734567478439926	479	108	1.26247961929976e-06	0.000216052345516166
