feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Bifidobacterium_adolescentis	Region	HK	0.733104290575581	0.0717293760579906	479	183	2.63261682404535e-22	9.55639907128463e-20
Megasphaera_sp_NM10	Region	HK	0.43321997243087	0.0517653536731403	479	75	6.48837288831706e-16	1.17763967922955e-13
Dialister_hominis	Region	HK	0.410943353757972	0.0514112116353811	479	93	9.98793422893249e-15	1.20854004170083e-12
Olsenella_sp_AF16_14LB	Region	HK	0.0985318980952641	0.0147472851665029	479	59	6.61668562832468e-11	6.00464220770465e-09
Nitrosopumilus_SGB14899	Region	HK	-0.0259325448710278	0.00405249316154795	479	111	3.73787961579551e-10	2.71370060106754e-08
Fusicatenibacter_saccharivorans	Region	HK	0.374275179615002	0.0619750434723791	479	370	3.12009618401408e-09	1.88765819132852e-07
Bifidobacterium_longum	Region	HK	0.462871866375382	0.0773517606899869	479	339	4.28054964513879e-09	2.21977074455054e-07
Bifidobacterium_pseudocatenulatum	Region	HK	0.462526545183684	0.0789755048584287	479	232	8.80819664004553e-09	3.99671922542066e-07
Oscillospiraceae_bacterium_Marseille_Q3528	Region	HK	-0.0160879887195412	0.00287530980255976	479	146	3.71967237497927e-08	1.50026785790831e-06
Mediterraneibacter_butyricigenes	Region	HK	-0.0218638961756593	0.00402018292676558	479	198	8.59590788835187e-08	3.12031456347173e-06
GGB45432_SGB63101	Region	HK	-0.0253363761565993	0.0049008793733262	479	116	3.45435874587305e-07	1.13993838613811e-05
Negativibacillus_massiliensis	Region	HK	0.0747636624107853	0.0146836930929875	479	110	5.11962612800058e-07	1.54868690372017e-05
Dorea_longicatena	Region	HK	0.300859971307233	0.0593675145973765	479	350	5.76726740833281e-07	1.61039851478832e-05
Blautia_SGB4815	Region	HK	-0.102231405627601	0.0203895145155126	479	276	7.53283050059697e-07	1.9531553369405e-05
Sellimonas_intestinalis	Region	HK	0.117033703927426	0.0237113375757383	479	158	1.10535199037407e-06	2.67495181670525e-05
Clostridiaceae_bacterium_Marseille_Q4143	Region	HK	-0.0143218239148603	0.00293900341731515	479	118	1.4984451672589e-06	3.39959747321862e-05
Megamonas_funiformis	Region	HK	0.35284517884568	0.0736200940390713	479	108	2.200635980423e-06	4.69900506407969e-05
Lachnospiraceae_bacterium_OF09_6	Region	HK	-0.0198580396730085	0.00417523886561352	479	88	2.61814223786731e-06	5.27992017969907e-05
Mesosutterella_multiformis	Region	HK	0.0383334687575827	0.00810138945927272	479	66	2.93783518031214e-06	5.61281142343845e-05
GGB2998_SGB3988	Region	HK	-0.0139657685303523	0.00298529117330684	479	96	3.77479890957875e-06	6.79151310641239e-05
GGB9707_SGB15229	Region	HK	-0.019745767270787	0.00422857935905768	479	94	3.9289745243708e-06	6.79151310641239e-05
GGB9522_SGB14921	Region	HK	-0.0150099879736558	0.00324263386394877	479	95	4.74396171337224e-06	7.8275368270642e-05
Propionibacterium_acidifaciens	Region	HK	-0.0138555137189851	0.00304920100808969	479	133	7.00352877334947e-06	0.000110533954118515
Blautia_luti	Region	HK	-0.0659073374763069	0.0146325367967296	479	153	8.38866868166819e-06	0.000126878613810231
Clostridium_leptum	Region	HK	0.0960282671653869	0.0215580171189518	479	279	1.04908307044336e-05	0.000152326861828376
Odoribacter_splanchnicus	Region	HK	-0.0243797049472928	0.00552645334591252	479	171	1.27036945013889e-05	0.000177363119384775
Bacteroides_fragilis	Region	HK	0.145686170641562	0.0332065710370559	479	225	1.41395227425734e-05	0.000190098027983487
Dialister_invisus	Region	HK	-0.312583652230844	0.0718030489246917	479	133	1.64170771742437e-05	0.000212835679080373
GGB4456_SGB6141	Region	HK	-0.0228566609513398	0.00528359715074367	479	119	1.85073738538235e-05	0.000231661265825446
Lachnospiraceae_bacterium_NSJ_29	Region	HK	-0.0151634836963299	0.0035203929848748	479	276	2.00732076996166e-05	0.000242885813165361
Candidatus_Cibionibacter_quicibialis	Region	HK	-0.32557506445507	0.0762107214897861	479	286	2.33909531974599e-05	0.00026799902442622
Coprococcus_SGB4669	Region	HK	-0.0211992492902224	0.0049650097774641	479	113	2.36252583516227e-05	0.00026799902442622
Mogibacterium_diversum	Region	HK	-0.036378481022796	0.00853974811793025	479	371	2.46483990229334e-05	0.000271132389252268
Enterococcus_SGB6173	Region	HK	-0.0280890706940722	0.00663448776429773	479	111	2.75751344008182e-05	0.000285993536785629
GGB9767_SGB15385	Region	HK	-0.0287651253179054	0.00679149671023725	479	51	2.73789204915208e-05	0.000285993536785629
GGB9760_SGB15373	Region	HK	-0.0399138679688681	0.00946803676266454	479	163	2.98026770895641e-05	0.000300510327319771
Olsenella_sp_oral_taxon_807	Region	HK	-0.0135793332682786	0.00323754577120698	479	198	3.26372057690234e-05	0.000320197451193392
Clostridium_scindens	Region	HK	0.0774683055486336	0.0186717854027367	479	212	3.95513972941638e-05	0.00036813223635337
Rothia_mucilaginosa	Region	HK	-0.017438069638469	0.00419853426556155	479	212	3.88209312751432e-05	0.00036813223635337
GGB2987_SGB3969	Region	HK	-0.0138806803334082	0.00335094194007699	479	65	4.06711735585346e-05	0.000369090900043702
Gemmiger_SGB15299	Region	HK	-0.0656880896819615	0.0160043000578306	479	94	4.76804285173124e-05	0.000418526566776854
Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	Region	HK	-0.01808370606003	0.00441075579895507	479	252	4.85829940286126e-05	0.000418526566776854
Clostridium_sp_AM33_3	Region	HK	-0.0128921944267361	0.00314823650421692	479	112	4.95775271939524e-05	0.000418526566776854
Clostridium_sp_AF36_4	Region	HK	-0.0712920377080567	0.0174487658843583	479	132	5.15270325844977e-05	0.000425098018822106
GGB9758_SGB15368	Region	HK	-0.159295837826762	0.0394015823847797	479	137	6.1552243953411e-05	0.000496521434557516
Blautia_wexlerae	Region	HK	0.371684362518617	0.0926183037127092	479	433	6.95763272588765e-05	0.000549047973803743
Eubacterium_sulci	Region	HK	-0.0307041684688724	0.00766719084611567	479	323	7.202884964186e-05	0.000556307923829684
GGB33928_SGB15225	Region	HK	-0.0173697736846464	0.00436282512096691	479	85	7.92168311851532e-05	0.000599077285837721
Streptococcus_mitis	Region	HK	-0.0367201937815845	0.00931892777113914	479	361	9.35136064425672e-05	0.000687949899083145
