feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Corynebacterium_durum	Region	MC	0.0112919356341018	0.000994040151396792	479	189	1.24421013980729e-26	3.19388742888532e-23
Mogibacterium_diversum	Region	MC	0.0793758368107426	0.00720049876981638	479	371	2.5024744254664e-25	2.14128395005741e-22
Ruminococcus_sp_AF13_28	Region	MC	0.806344697659609	0.0730710219814301	479	279	2.26161418170638e-25	2.14128395005741e-22
Mogibacterium_pumilum	Region	MC	0.00581166434137629	0.000553387710865087	479	70	2.38119722991536e-23	1.52813332229818e-20
Olsenella_phocaeensis	Region	MC	0.00716635384014245	0.000697016891513529	479	49	1.56895686421132e-22	8.0550245408609e-20
Olsenella_sp_oral_taxon_807	Region	MC	0.0183183904892381	0.00185398961295656	479	198	4.53429566704966e-21	1.76771842772939e-18
Propionibacterium_acidifaciens	Region	MC	0.0149348098098744	0.00151267129486812	479	133	4.82042422832324e-21	1.76771842772939e-18
Actinobaculum_sp_oral_taxon_183	Region	MC	0.0241930149324839	0.00247453737196757	479	236	1.06777076984339e-20	3.42620945773499e-18
Eubacterium_infirmum	Region	MC	0.00868943079924028	0.000902495320267857	479	85	3.60321082644157e-20	1.02771579905283e-17
Candidatus_Nanoperiomorbus_periodonticus	Region	MC	0.00962280837702933	0.00100271245460258	479	121	4.65414596720579e-20	1.19471926978173e-17
Shuttleworthia_satelles	Region	MC	0.00682628362675265	0.000720440407847209	479	71	1.24572143280132e-19	2.90706083454635e-17
Peptidiphaga_gingivicola	Region	MC	0.00414743413633996	0.000438902757273446	479	39	1.53097967871553e-19	3.27502069605229e-17
Atopobium_sp_oral_taxon_810	Region	MC	0.00407054393054034	0.000438399042290515	479	22	5.7093342794312e-19	1.12737393040768e-16
Streptococcus_mitis	Region	MC	0.074097020452268	0.00799160121595101	479	361	6.33884861697763e-19	1.16227317141297e-16
Candidatus_Saccharibacteria_bacterium_oral_taxon_488	Region	MC	0.00408619031414285	0.000446139986768748	479	25	1.54839226748662e-18	2.64981530042544e-16
Actinomyces_dentalis	Region	MC	0.0261574209518007	0.00290391271692517	479	217	5.06820726356394e-18	7.65299296798155e-16
GGB51111_SGB71327	Region	MC	0.0036163795794722	0.000401283003994259	479	14	4.89756070017765e-18	7.65299296798155e-16
Candidatus_Saccharibacteria_bacterium_oral_taxon_955	Region	MC	0.00401868474054344	0.000447222980122112	479	28	6.00474305606065e-18	8.56343079161538e-16
Bulleidia_extructa	Region	MC	0.00567442531685072	0.00063234617073686	479	60	6.60509105863345e-18	8.92382565658529e-16
GGB12786_SGB19828	Region	MC	0.00384235302913396	0.000432446700651456	479	16	1.31030089810999e-17	1.68177120272417e-15
Parvimonas_SGB6649	Region	MC	0.00661055568050113	0.000745178598107229	479	73	1.46022890144711e-17	1.78495599524511e-15
Corynebacterium_accolens	Region	MC	0.00349544746821946	0.000398942323908597	479	10	3.37935192781993e-17	3.94308927214261e-15
Candidatus_Nanosynbacter_SGB19893	Region	MC	0.00474506722140449	0.000543823703003191	479	33	4.46174448043329e-17	4.97969481794446e-15
Eubacterium_brachy	Region	MC	0.0116937947704008	0.00134141502522219	479	140	4.7374539263976e-17	4.99114638744086e-15
Candidatus_Nanosynbacter_lyticus	Region	MC	0.00379374275811004	0.000435612909096484	479	15	5.05530993663663e-17	4.99114638744086e-15
GGB51110_SGB71326	Region	MC	0.00345733278606565	0.000396757051753834	479	12	4.86642781017769e-17	4.99114638744086e-15
Arachnia_SGB15900	Region	MC	0.00348594994529326	0.000400726243440191	479	10	5.45058484685002e-17	5.18209307476444e-15
Actinomyces_oris	Region	MC	0.0458407862348832	0.00528216432829619	479	325	6.37753308106667e-17	5.66463958674123e-15
Candidatus_Nanosynbacter_SGB19887	Region	MC	0.00358637689476062	0.000413274320499228	479	14	6.39947596476414e-17	5.66463958674123e-15
Gemella_SGB7284	Region	MC	0.00341247053862003	0.000396196031531862	479	12	1.04581507893216e-16	8.94869102539616e-15
Berryella_intestinalis	Region	MC	0.00336574472474438	0.00039184137474435	479	19	1.24892746445045e-16	1.03419251653042e-14
GGB12789_SGB19843	Region	MC	0.00341093151228007	0.00039939314343125	479	13	1.80922308167276e-16	1.45133614082937e-14
GGB12788_SGB19832	Region	MC	0.00352313859662575	0.000413034199432935	479	7	1.95590520417064e-16	1.52145716942607e-14
Arachnia_SGB15898	Region	MC	0.00538619007263925	0.000632329222142305	479	79	2.13807659386989e-16	1.61424782837176e-14
GGB12794_SGB19881	Region	MC	0.0035294301235772	0.000415492256032924	479	23	2.54812369566619e-16	1.86886672193575e-14
Actinomyces_gerencseriae	Region	MC	0.00706157118710874	0.000831850998082002	479	115	2.65685312682072e-16	1.89448388237466e-14
TM7_phylum_sp_oral_taxon_348	Region	MC	0.0154157528712776	0.00181923601213562	479	179	2.97705830260553e-16	2.06543477372659e-14
Microbacterium_lacticum	Region	MC	0.00370436364116623	0.000437660740095358	479	9	3.2015623147998e-16	2.16273959528713e-14
Eubacterium_sulci	Region	MC	0.0556135090476888	0.00657420042322915	479	323	3.31452521490653e-16	2.18163749401668e-14
Blautia_obeum	Region	MC	0.475012853363156	0.0563141425724807	479	367	3.97219361726602e-16	2.27358141195506e-14
GGB6010_SGB8637	Region	MC	0.0032921854339547	0.000390048018227515	479	6	3.81551596145057e-16	2.27358141195506e-14
Streptococcus_varani	Region	MC	0.00336314314745124	0.000398337980614834	479	11	3.74580889786808e-16	2.27358141195506e-14
Vagococcus_martis	Region	MC	0.00365257614345026	0.000432476553988258	479	6	3.66901493568107e-16	2.27358141195506e-14
Staphylococcus_saprophyticus	Region	MC	0.00384311102146342	0.000455636406103244	479	9	3.98563161425702e-16	2.27358141195506e-14
Microbacterium_testaceum	Region	MC	0.00329389847003073	0.000389963840706169	479	5	3.64298450923727e-16	2.27358141195506e-14
Streptococcus_sp_HF_1907	Region	MC	0.00330107059541288	0.000392383256692813	479	10	4.68420500840414e-16	2.61399005577683e-14
Rothia_aeria	Region	MC	0.00422010079009544	0.000501797504562491	479	35	4.7863635375963e-16	2.61416919170419e-14
Actinomyces_oricola	Region	MC	0.0033067753588446	0.000393851695372215	479	20	5.30938760984128e-16	2.83941624884637e-14
Pseudoramibacter_alactolyticus	Region	MC	0.00341014990092517	0.000406628967855656	479	22	5.7009408034829e-16	2.97710505784448e-14
Enterococcus_sp_DIV2402	Region	MC	0.00332396959051034	0.000396461362831166	479	3	5.79880221629233e-16	2.97710505784448e-14
Clostridium_sartagoforme	Region	MC	0.00340318694899249	0.000406154311903178	479	4	6.01959817872225e-16	3.02986441662353e-14
GGB9062_SGB13981	Region	MC	0.00324698137523553	0.000387751624706874	479	6	6.25492502222655e-16	3.08776779462607e-14
