feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Mogibacterium_diversum	Region	MC	0.0920271058030058	0.0075617990384032	479	371	7.30238647713017e-30	2.65076629119825e-27
Ruminococcus_sp_AF13_28	Region	MC	0.818995966651872	0.0727723829009503	479	279	3.20838967247082e-26	5.82322725553453e-24
Actinobaculum_sp_oral_taxon_183	Region	MC	0.0368442839247471	0.00346952204326445	479	236	8.6381336058003e-24	1.04521416630184e-21
Olsenella_sp_oral_taxon_807	Region	MC	0.0309696594815013	0.00295762500082859	479	198	3.10450810116131e-23	2.81734110180389e-21
Actinomyces_dentalis	Region	MC	0.038808689944064	0.00379220252682556	479	217	2.35040093379758e-22	1.70639107793704e-20
Streptococcus_mitis	Region	MC	0.0867482894445312	0.00854314757484872	479	361	4.60793383704514e-22	2.78779997141231e-20
Candidatus_Nanosynsacchari_sp_TM7_ANC_38_39_G1_1	Region	MC	0.0404219969575101	0.0040633789252762	479	252	2.59220022038745e-21	1.17621085000081e-19
Actinomyces_oris	Region	MC	0.0584920552271465	0.00587672102216539	479	325	2.48033850474771e-21	1.17621085000081e-19
Propionibacterium_acidifaciens	Region	MC	0.0275860788021377	0.00282958319529758	479	133	1.33988930036503e-20	5.40422017813894e-19
TM7_phylum_sp_oral_taxon_348	Region	MC	0.0280670218635408	0.00290298152390329	479	179	2.59760143610407e-20	9.42929321305778e-19
Eubacterium_sulci	Region	MC	0.068264778039952	0.0070977221886967	479	323	3.92119201664761e-20	1.29399336549371e-18
Streptococcus_constellatus	Region	MC	0.0368387111560582	0.00392021220241042	479	157	2.33264150332612e-19	6.85512262171862e-18
Corynebacterium_durum	Region	MC	0.023943204626365	0.00254966036194682	479	189	2.45500259180006e-19	6.85512262171862e-18
Actinomyces_SGB17168	Region	MC	0.0841551611479523	0.00909504072551135	479	251	7.37091278043245e-19	1.91117238521213e-17
Actinomyces_sp_oral_taxon_414	Region	MC	0.028955886587451	0.00315704121070776	479	131	1.39915467989511e-18	3.38595432534615e-17
Eubacterium_brachy	Region	MC	0.0243450637626641	0.0026780047888887	479	140	2.64734189969177e-18	6.00615693492569e-17
Rothia_mucilaginosa	Region	MC	0.0356557688692223	0.00392620006556547	479	212	2.84640501479751e-18	6.07791188453821e-17
TM7_phylum_sp_oral_taxon_352	Region	MC	0.0501087468160962	0.00552350775753332	479	293	3.06838475805883e-18	6.1879092620853e-17
Romboutsia_timonensis	Region	MC	0.269870098216968	0.0304963386414539	479	355	1.7277374409072e-17	3.30088784762797e-16
Blautia_obeum	Region	MC	0.487664122355419	0.0553128300154353	479	367	2.22291039332114e-17	4.00872855860662e-16
Actinomyces_SGB17132	Region	MC	0.0359480880608375	0.00407993145573175	479	276	2.31909916613606e-17	4.00872855860662e-16
Streptococcus_australis	Region	MC	0.114400131464902	0.0130936214680794	479	331	4.08064654921733e-17	6.7330668062086e-16
Streptococcus_sp_F0442	Region	MC	0.0331831135681686	0.00387890448865668	479	131	1.62279945629894e-16	2.56120088102833e-15
Granulicatella_SGB8255	Region	MC	0.0649400505313671	0.00760093927586161	479	336	1.76360149409518e-16	2.66744725981895e-15
Actinomyces_sp_ICM58	Region	MC	0.0513518155199231	0.00615790051495603	479	224	8.08307311195325e-16	1.17366221585561e-14
Gordonibacter_pamelaeae	Region	MC	0.079667594216465	0.00959343060390198	479	182	1.04446211495359e-15	1.45822979895443e-14
Streptococcus_salivarius	Region	MC	0.531797383733868	0.0644828254131768	479	458	1.59016709160858e-15	2.08522442741731e-14
Streptococcus_sinensis	Region	MC	0.0382145509563855	0.00463456325008495	479	105	1.60843757486735e-15	2.08522442741731e-14
Lancefieldella_rimae	Region	MC	0.0254551242833925	0.00319438397165836	479	139	1.19039080320453e-14	1.49004090194223e-13
Streptococcus_oralis	Region	MC	0.0663724924437628	0.00852935383746321	479	193	4.47356171958537e-14	5.4130096806983e-13
Streptococcus_anginosus	Region	MC	0.19840495537349	0.0256282071026102	479	275	5.91918290806944e-14	6.93117224396518e-13
