,Feature_Type,CD_Status
katA.1,VFG,CD_enriched
clbB,VFG,CD_enriched
htpB,VFG,CD_enriched
cheA.1,VFG,CD_enriched
eptC,VFG,CD_enriched
pmrB.1,VFG,CD_enriched
lafT,VFG,CD_enriched
allS,VFG,CD_enriched
fimD.1,VFG,CD_enriched
farB.1,VFG,CD_enriched
pvdH,VFG,CD_enriched
flrA.1,VFG,CD_enriched
fimD.2,VFG,CD_enriched
shuU,VFG,CD_enriched
espL1,VFG,CD_enriched
katA.2,VFG,CD_enriched
bioD.1,VFG,CD_enriched
adsA.1,VFG,CD_enriched
invD,VFG,CD_enriched
gspJ,VFG,CD_enriched
ptxR,VFG,CD_enriched
kpsD,VFG,CD_enriched
mprA.1,VFG,CD_enriched
misL,VFG,CD_enriched
kpsF,VFG,CD_enriched
manB/yhxB,VFG,CD_enriched
entF,VFG,CD_enriched
phoR.1,VFG,CD_enriched
bvrS,VFG,CD_enriched
bioD.2,VFG,CD_enriched
bioB,VFG,CD_enriched
letA,VFG,CD_enriched
ccmF,VFG,CD_enriched
ccmB,VFG,CD_enriched
mrkC,VFG,CD_enriched
galE,VFG,CD_enriched
ddrA,VFG,CD_enriched
gndA,VFG,CD_enriched
flmH,VFG,CD_enriched
cyaB.1,VFG,CD_enriched
fslD,VFG,CD_enriched
acrB,VFG,CD_enriched
lpxA/glmU,VFG,CD_enriched
hilA,VFG,CD_enriched
chuU,VFG,CD_enriched
narG,VFG,CD_enriched
fimH,VFG,CD_enriched
mgtB,VFG,CD_enriched
clpC.1,VFG,CD_enriched
adsA.2,VFG,CD_enriched
msbA.1,VFG,CD_enriched
rpoS.1,VFG,CD_enriched
lirB,VFG,CD_enriched
glgX,VFG,CD_enriched
fadD22,VFG,CD_enriched
wbkC,VFG,CD_enriched
kpsS,VFG,CD_enriched
KP1_RS17305,VFG,CD_enriched
farB.2,VFG,CD_enriched
fimD.3,VFG,CD_enriched
relA.1,VFG,CD_enriched
bauE,VFG,CD_enriched
mntB,VFG,CD_enriched
gspF,VFG,CD_enriched
lpfC,VFG,CD_enriched
algZ.1,VFG,CD_enriched
wcbR,VFG,CD_enriched
pdxJ,VFG,CD_enriched
fimX,VFG,CD_enriched
flrA.2,VFG,CD_enriched
mprA.2,VFG,CD_enriched
rffG,VFG,CD_enriched
flgG,VFG,CD_enriched
flgD,VFG,CD_enriched
