"source","target","weight","p"
"basS","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.525587036089455,4.92850296289187e-09
"almE","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.527248619041403,4.29637021406119e-09
"rosB","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.517151453492026,9.92002205339939e-09
"Clostridioides_difficile_murG_with_mutation_conferring_resistance_to_vancomycin","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.530691043565237,3.21177857026357e-09
"Pseudomonas_aeruginosa_CpxR","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.521803595904633,6.76222300531224e-09
"Escherichia_coli","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.590157491627417,1.1086243034697e-11
"HOMOSER_METSYN_PWY","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.516250821293608,1.0691908837263e-08
"METSYN_PWY","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.50040063547183,3.74862293983647e-08
"PWY_5918","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.512836477013207,1.4102605983892e-08
"PWY_6961","Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin",0.501953228215397,3.32663873280352e-08
"Ruminococcus_bromii","Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance",0.884105396445948,0
"Escherichia_coli_EF-Tu_mutants_conferring_resistance_to_kirromycin","basS",0.525587036089455,4.92850296289187e-09
"rphB","basS",0.538766322102467,1.60135434084864e-09
"golS","basS",0.566373054338513,1.25874054679102e-10
"almE","basS",0.666718372819036,0
"vanXY_gene_in_vanG_cluster","basS",0.630242782098019,1.10841459160372e-13
"rosB","basS",0.570071126188606,8.73900525807684e-11
"tet(35)","basS",0.504001540963036,2.8409889689499e-08
"mtrA","Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin",0.54172146020303,1.23399272547517e-09
