"Label","type","CD_Status","Polygon","ID","Color"
"ANAGLYCOLYSIS_PWY","Pathway","CD_depleted",3,"ANAGLYCOLYSIS_PWY","#90a5a7"
"ARO_PWY","Pathway","CD_depleted",3,"ARO_PWY","#90a5a7"
"ASPASN_PWY","Pathway","CD_enriched",3,"ASPASN_PWY","#ab6355"
"bcr-1","Gene","CD_enriched",1,"bcr-1","#ab6355"
"Catenibacterium_SGB4425","Species","CD_depleted",4,"Catenibacterium_SGB4425","#90a5a7"
"COA_PWY","Pathway","CD_depleted",3,"COA_PWY","#90a5a7"
"COA_PWY_1","Pathway","CD_depleted",3,"COA_PWY_1","#90a5a7"
"Collinsella_SGB14861","Species","CD_depleted",4,"Collinsella_SGB14861","#90a5a7"
"COMPLETE_ARO_PWY","Pathway","CD_depleted",3,"COMPLETE_ARO_PWY","#90a5a7"
"DTDPRHAMSYN_PWY","Pathway","CD_depleted",3,"DTDPRHAMSYN_PWY","#90a5a7"
"Fusobacterium_nucleatum","Species","CD_enriched",4,"Fusobacterium_nucleatum","#ab6355"
"GLYCOLYSIS_E_D","Pathway","CD_enriched",3,"GLYCOLYSIS_E_D","#ab6355"
"IreK","Gene","CD_depleted",1,"IreK","#90a5a7"
"NONMEVIPP_PWY","Pathway","CD_depleted",3,"NONMEVIPP_PWY","#90a5a7"
"Oscillospiraceae_bacterium_Marseille_Q3528","Species","CD_depleted",4,"Oscillospiraceae_bacterium_Marseille_Q3528","#90a5a7"
"PANTO_PWY","Pathway","CD_depleted",3,"PANTO_PWY","#90a5a7"
"PANTOSYN_PWY","Pathway","CD_depleted",3,"PANTOSYN_PWY","#90a5a7"
"patA","Gene","CD_depleted",1,"patA","#90a5a7"
"PEPTIDOGLYCANSYN_PWY","Pathway","CD_depleted",3,"PEPTIDOGLYCANSYN_PWY","#90a5a7"
"PWY_3841","Pathway","CD_depleted",3,"PWY_3841","#90a5a7"
"PWY_5686","Pathway","CD_depleted",3,"PWY_5686","#90a5a7"
"PWY_5838","Pathway","CD_enriched",3,"PWY_5838","#ab6355"
"PWY_5861","Pathway","CD_enriched",3,"PWY_5861","#ab6355"
"PWY_5897","Pathway","CD_enriched",3,"PWY_5897","#ab6355"
"PWY_5898","Pathway","CD_enriched",3,"PWY_5898","#ab6355"
"PWY_5899","Pathway","CD_enriched",3,"PWY_5899","#ab6355"
"PWY_6385","Pathway","CD_depleted",3,"PWY_6385","#90a5a7"
"PWY_6386","Pathway","CD_depleted",3,"PWY_6386","#90a5a7"
"PWY_6387","Pathway","CD_depleted",3,"PWY_6387","#90a5a7"
"PWY_6700","Pathway","CD_depleted",3,"PWY_6700","#90a5a7"
"PWY_7238","Pathway","CD_depleted",3,"PWY_7238","#90a5a7"
"PWY_7790","Pathway","CD_depleted",3,"PWY_7790","#90a5a7"
"PWY_7791","Pathway","CD_depleted",3,"PWY_7791","#90a5a7"
"PWY_7851","Pathway","CD_depleted",3,"PWY_7851","#90a5a7"
"PWY4FS_7","Pathway","CD_enriched",3,"PWY4FS_7","#ab6355"
"PWY4FS_8","Pathway","CD_enriched",3,"PWY4FS_8","#ab6355"
"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","Gene","CD_depleted",1,"Staphylococcus_aureus_ileS_with_mutation_conferring_resistance_to_mupirocin","#90a5a7"
"THISYNARA_PWY","Pathway","CD_depleted",3,"THISYNARA_PWY","#90a5a7"
"TolC","Gene","CD_enriched",1,"TolC","#ab6355"
