"source","target","weight","cor_type"
"tetA(P)","Candidatus_Cibionibacter_quicibialis",0.53,"positive"
"tetA(P)","Blautia_obeum",0.62,"positive"
"tetA(P)","GLYCOLYSIS_E_D",0.53,"negative"
"Candidatus_Cibionibacter_quicibialis","GLYCOLYSIS_E_D",0.55,"negative"
"Gemmiger_formicilis","GLYCOLYSIS_E_D",0.51,"negative"
"Blautia_obeum","GLYCOLYSIS_E_D",0.51,"negative"
"Fusobacterium_nucleatum","GLYCOLYSIS_E_D",0.57,"positive"
"Lachnospiraceae_bacterium","HOMOSER_METSYN_PWY",0.6,"negative"
"Oscillibacter_sp_ER4","HOMOSER_METSYN_PWY",0.52,"negative"
"Candidatus_Cibionibacter_quicibialis","HOMOSER_METSYN_PWY",0.53,"negative"
"Waltera_intestinalis","HOMOSER_METSYN_PWY",0.54,"negative"
"Faecalibacterium_prausnitzii","HOMOSER_METSYN_PWY",0.56,"negative"
"Gemmiger_formicilis","HOMOSER_METSYN_PWY",0.53,"negative"
"Blautia_obeum","HOMOSER_METSYN_PWY",0.53,"negative"
"Firmicutes_bacterium_AF16_15","HOMOSER_METSYN_PWY",0.58,"negative"
"Faecalibacterium_SGB15346","HOMOSER_METSYN_PWY",0.57,"negative"
"Roseburia_inulinivorans","HOMOSER_METSYN_PWY",0.56,"negative"
"Clostridiales_bacterium_KLE1615","HOMOSER_METSYN_PWY",0.52,"negative"
"Lachnospiraceae_bacterium","MET_SAM_PWY",0.59,"negative"
"Oscillibacter_sp_ER4","MET_SAM_PWY",0.52,"negative"
"Candidatus_Cibionibacter_quicibialis","MET_SAM_PWY",0.52,"negative"
"Waltera_intestinalis","MET_SAM_PWY",0.53,"negative"
"Faecalibacterium_prausnitzii","MET_SAM_PWY",0.55,"negative"
"Gemmiger_formicilis","MET_SAM_PWY",0.52,"negative"
"Blautia_obeum","MET_SAM_PWY",0.53,"negative"
"Firmicutes_bacterium_AF16_15","MET_SAM_PWY",0.57,"negative"
"Faecalibacterium_SGB15346","MET_SAM_PWY",0.57,"negative"
"Roseburia_inulinivorans","MET_SAM_PWY",0.55,"negative"
"Clostridiales_bacterium_KLE1615","MET_SAM_PWY",0.5,"negative"
"Lachnospiraceae_bacterium","METSYN_PWY",0.59,"negative"
"Oscillibacter_sp_ER4","METSYN_PWY",0.52,"negative"
"Candidatus_Cibionibacter_quicibialis","METSYN_PWY",0.52,"negative"
"Waltera_intestinalis","METSYN_PWY",0.53,"negative"
"Faecalibacterium_prausnitzii","METSYN_PWY",0.55,"negative"
"Gemmiger_formicilis","METSYN_PWY",0.52,"negative"
"Blautia_obeum","METSYN_PWY",0.53,"negative"
"Firmicutes_bacterium_AF16_15","METSYN_PWY",0.57,"negative"
"Faecalibacterium_SGB15346","METSYN_PWY",0.57,"negative"
"Roseburia_inulinivorans","METSYN_PWY",0.55,"negative"
"Clostridiales_bacterium_KLE1615","METSYN_PWY",0.51,"negative"
"Lachnospiraceae_bacterium","P161_PWY",0.59,"negative"
"Candidatus_Cibionibacter_quicibialis","P161_PWY",0.57,"negative"
"Waltera_intestinalis","P161_PWY",0.5,"negative"
"Faecalibacterium_prausnitzii","P161_PWY",0.53,"negative"
"Blautia_obeum","P161_PWY",0.52,"negative"
"Firmicutes_bacterium_AF16_15","P161_PWY",0.6,"negative"
"Faecalibacterium_SGB15346","P161_PWY",0.55,"negative"
"Roseburia_inulinivorans","P161_PWY",0.6,"negative"
"Lachnospiraceae_bacterium","P4_PWY",0.55,"negative"
"Candidatus_Cibionibacter_quicibialis","P4_PWY",0.51,"negative"
"Gemmiger_formicilis","P4_PWY",0.54,"negative"
"Blautia_obeum","P4_PWY",0.54,"negative"
"Firmicutes_bacterium_AF16_15","P4_PWY",0.53,"negative"
"Roseburia_inulinivorans","P4_PWY",0.54,"negative"
"Lachnospiraceae_bacterium","PWY_5347",0.58,"negative"
"Oscillibacter_sp_ER4","PWY_5347",0.52,"negative"
"Candidatus_Cibionibacter_quicibialis","PWY_5347",0.52,"negative"
"Waltera_intestinalis","PWY_5347",0.53,"negative"
"Faecalibacterium_prausnitzii","PWY_5347",0.54,"negative"
"Gemmiger_formicilis","PWY_5347",0.52,"negative"
"Blautia_obeum","PWY_5347",0.53,"negative"
"Firmicutes_bacterium_AF16_15","PWY_5347",0.57,"negative"
