term,estimate,std.error,statistic,p.value,metadata_var,arg_gene,fdr
factor(breast_fed)2,-1.5229657814194197,2.6888285851122387,-0.5664049355365832,0.5713883216535816,breast_fed,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5713883216535816
factor(baby_food)2,2.0482806269041274,3.1411600431444398,0.652077767057583,0.514670442553865,baby_food,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.514670442553865
factor(family_food)2,-3.191901975844824,5.103611251813776,-0.6254202795541004,0.5319988047506183,family_food,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5319988047506183
factor(age_4_12_months_3)2,0.8320237102494733,2.518290805233811,0.3303922281415088,0.7412502127032866,age_4_12_months_3,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7412502127032866
factor(age_1_5_years_3)2,2.234975039191898,2.4793598606721585,0.9014322909083446,0.3678182519589632,age_1_5_years_3,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3678182519589632
factor(age5_10_years_3)2,1.2998024849678205,2.4382755084519356,0.5330826973663312,0.5942272368203495,age5_10_years_3,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5942272368203495
factor(age_10_18_years_3)2,3.645603270733982,2.4006935415126924,1.5185625352400722,0.12954215477740935,age_10_18_years_3,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.12954215477740935
factor(age_1_5_years_5)2,6.549221881982647,2.6143504860390316,2.505104773425115,0.012578097187966611,age_1_5_years_5,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.012578097187966611
factor(age_5_10_years_5)2,4.998087216384814,2.2931806205137577,2.1795436310921974,0.029784901330494756,age_5_10_years_5,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.029784901330494756
factor(age_10_18_years_5)2,0.6559067164916649,2.2614245367784407,0.29004139020533065,0.7719122191908325,age_10_18_years_5,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7719122191908325
factor(age_1_5_years_6)2,5.608108761031587,2.405629572847321,2.331243689523565,0.020160632026247013,age_1_5_years_6,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.020160632026247013
factor(age_5_10_years_6)2,5.769164474912716,2.5046377842953245,2.3033927345050658,0.021690537238413823,age_5_10_years_6,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.021690537238413823
factor(age_10_18_years_6)2,3.740373603310298,2.6453743225283133,1.4139298062496655,0.1580417376259027,age_10_18_years_6,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.1580417376259027
factor(age_1_5_years_7)2,4.529421517113875,2.5158846032975735,1.800329598256278,0.07244694127408097,age_1_5_years_7,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.07244694127408097
factor(age_5_10_years_7)2,1.4589445334711393,2.811419962816951,0.5189351120667595,0.6040492072126069,age_5_10_years_7,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.6040492072126069
