term,estimate,std.error,statistic,p.value,metadata_var,arg_gene,fdr
p80,-1.839658594664124e-7,4.801914685441483e-7,-0.38310938764523006,0.7018129848194639,p80,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7018129848194639
cmc,-5.118316560125364e-8,1.6051944467680845e-7,-0.3188595980026368,0.7499755468215918,cmc,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7499755468215918
crn,-1.3003996975399825e-8,3.4554330921669876e-7,-0.037633479302140664,0.9699959957506806,crn,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9699959957506806
alsio,1.3048555805871546e-4,1.1780209565797706e-4,1.1076675447061923,0.2685755966490942,alsio,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.2685755966490942
so32,4.9741220059374765e-5,3.1286126481933696e-5,1.5898810639948682,0.11253832716972867,so32,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.11253832716972867
tio2,1.254962989424607e-5,1.5539060060758902e-5,0.8076183401811993,0.4197214879105754,tio2,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.4197214879105754
asp,1.617834713048748e-5,1.159663038384652e-5,1.3950903490916677,0.16365170504143906,asp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.16365170504143906
suc,3.2554246423482355e-5,1.8203770449299053e-5,1.7883243756644862,0.07437183300772032,suc,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.07437183300772032
sac,5.8839891364518475e-6,2.4335673975238232e-5,0.24178451529383815,0.8090532708688132,sac,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8090532708688132
totalad,-2.0389742948422533e-8,8.935661954888027e-8,-0.2281839112911925,0.819603145237327,totalad,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.819603145237327
totalas,7.83892881910354e-6,5.86126813110836e-6,1.3374117415818012,0.1817392752544139,totalas,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.1817392752544139
totalem,-2.3221202070449902e-8,8.959342172957095e-8,-0.25918423051795975,0.7956073061670498,totalem,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7956073061670498
p80mgkgday,-0.005629078306992849,0.014178505522231906,-0.3970149250332801,0.6915382184835445,p80mgkgday,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.6915382184835445
cmcmgkgday,-0.0016217246125480283,0.004740543073264185,-0.34209679935074633,0.7324322754677629,cmcmgkgday,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7324322754677629
crnmgkgday,-5.163583512110568e-4,0.010199830308847156,-0.05062420996976553,0.959646662335109,crnmgkgday,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.959646662335109
alsiomgkgday,2.8577671563629146,2.7717521409442742,1.0310327226406821,0.30306028607240604,alsiomgkgday,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.30306028607240604
so32mgkgday,1.1466749082526688,0.8187872159921931,1.4004553147097525,0.16204249140446544,so32mgkgday,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.16204249140446544
tio2mgkgday,0.08820853046122286,0.2602874075088218,0.33888896626024156,0.7348460279337896,tio2mgkgday,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7348460279337896
aspmgkgday,0.41805022324064806,0.2958472088954772,1.4130612379322638,0.15830528912221561,aspmgkgday,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.15830528912221561
sucmgkgday,0.801575548120536,0.46633134236908075,1.718897005824936,0.08629724762437116,sucmgkgday,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.08629724762437116
sacmgkgday,0.0879215200348793,0.6272378301464971,0.14017254031751308,0.8885842324402647,sacmgkgday,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8885842324402647
