term,estimate,std.error,statistic,p.value,metadata_var,arg_gene,fdr
protein_g,4.1316476552208137e-4,0.0058031952502105855,0.07119608210788506,0.9432734705642869,protein_g,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9432734705642869
total_fat_g,0.015815572525321037,0.012227777915523416,1.2934134586499841,0.19653459724280856,total_fat_g,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.19653459724280856
sfa_g,0.039647406809750436,0.045286953753718245,0.875470825999093,0.3817869071123484,sfa_g,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3817869071123484
mufa_g,-0.01613919116619922,0.027199269267883488,-0.5933685573404779,0.5532339681678817,mufa_g,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5532339681678817
pufa_g,-0.029097994201654383,0.10762756884933472,-0.2703581852934723,0.787009208603576,pufa_g,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.787009208603576
omega3fa_g,-0.0023937702874149295,0.006174744013515642,-0.3876711782991011,0.6984451653214501,omega3fa_g,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.6984451653214501
omega6fa_g,-0.06172164240056378,0.0984617582898786,-0.6268590310854572,0.5310752849249805,omega6fa_g,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5310752849249805
cholesterol_mg,-9.256373183973964e-4,0.0011569506683964342,-0.8000663672897613,0.4240963780327439,cholesterol_mg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.4240963780327439
alcohol_g,0.1149516689361609,0.1242072366108012,0.9254828629378313,0.35521527972634437,alcohol_g,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.35521527972634437
fiber_g,0.023416035162926577,0.03556859014185624,0.6583346449644953,0.5106620420991047,fiber_g,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5106620420991047
b1_mg,-0.16825295716068686,0.2689467612515911,-0.6255994918016193,0.5318962287498139,b1_mg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5318962287498139
b2_mg,-0.12202336017135446,0.21749658486340628,-0.5610357525750964,0.5750536631665238,b2_mg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5750536631665238
b3_mg,-0.02079149436155065,0.04617293239249826,-0.45029616453228893,0.6527147291142705,b3_mg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.6527147291142705
b6_mg,-0.014260014362794305,0.04038349819629318,-0.3531148860230053,0.7241684023411752,b6_mg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7241684023411752
b12_mcg,-0.00920242079403825,0.02672117156947122,-0.3443868757817476,0.7307169558176208,b12_mcg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7307169558176208
vitaminc_mg,-1.337613122589892e-4,0.013672686450399877,-0.00978310390896715,0.9921986918444705,vitaminc_mg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9921986918444705
vitaminetocoa_mg,-0.08973790742815022,0.12530172603034503,-0.7161745513898019,0.4742583854559811,vitaminetocoa_mg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.4742583854559811
bcarotene_mcg,2.519054128743501e-5,4.416173719629966e-4,0.05704155426554584,0.9545375820979829,bcarotene_mcg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9545375820979829
folicacid_mcg_dfe,-0.003843768991285062,0.006690981414585874,-0.5744701342176669,0.5660731580802139,folicacid_mcg_dfe,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5660731580802139
folate_mcg,8.674964722495823e-4,0.0046324694748214375,0.1872643688133575,0.8515381369923705,folate_mcg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8515381369923705
iron_mg,-0.01332429724665823,0.02009120889902329,-0.6631904189352177,0.5075759205758876,iron_mg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5075759205758876
zinc_mg,-0.042350424867464216,0.048329537104155454,-0.8762845126406736,0.38138109618657645,zinc_mg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.38138109618657645
selenium_mcg,-0.001033129645696045,0.006738060162963907,-0.15332745934426278,0.8782145728484554,selenium_mcg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8782145728484554
magnesium_mg,9.640138187896482e-4,0.0023986609555924506,0.40189665677513153,0.6879526022636058,magnesium_mg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.6879526022636058
