term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
P80,-2.6066781733741843e-12,1.848844882699718e-12,-1.409895550332954,0.1592305096177949,P80,ASPASN_PWY,0.1592305096177949,-6.230414143465631e-12,1.0170577967172627e-12
CMC,-6.579921416769399e-13,6.19381132688416e-13,-1.0623380451079183,0.2886266321262316,CMC,ASPASN_PWY,0.2886266321262316,-1.8719791617462355e-12,5.559948783923555e-13
CRN,-2.2722042068895485e-12,1.3291833111835567e-12,-1.7094739211450747,0.08802186728417534,CRN,ASPASN_PWY,0.08802186728417534,-4.8774034968093194e-12,3.329950830302224e-13
AlSiO,-7.491417041458837e-10,4.472249348774623e-10,-1.6750893023242215,0.09458045218885883,AlSiO,ASPASN_PWY,0.09458045218885883,-1.6257025765057097e-9,1.274191682139424e-10
SO32,-1.7287023321320683e-10,1.113512992806559e-10,-1.5524761213382454,0.1212199907978408,SO32,ASPASN_PWY,0.1212199907978408,-3.9111877980329235e-10,4.537831337687872e-11
TiO2,-1.2809029006018744e-10,5.745869453575895e-11,-2.2292586195196535,0.02626757225429656,TiO2,ASPASN_PWY,0.02626757225429656,-2.4070933135027495e-10,-1.54712487700999e-11
Asp,-1.3639541421667936e-10,3.880958307049091e-11,-3.514477699204875,4.831842651687374e-4,Asp,ASPASN_PWY,4.831842651687374e-4,-2.1246219703484152e-10,-6.032863139851718e-11
Suc,-2.0439993951819043e-10,6.053428211319633e-11,-3.3765980595255414,7.946545460211819e-4,Suc,ASPASN_PWY,7.946545460211819e-4,-3.230471324600553e-10,-8.575274657632562e-11
Sac,-1.8525006261475875e-10,8.425520218342478e-11,-2.198678037843488,0.02838638018541333,Sac,ASPASN_PWY,0.02838638018541333,-3.503902588942713e-10,-2.0109866335246178e-11
TotalAd,-4.71068866216612e-13,3.436456115880613e-13,-1.3707984340021109,0.1710906577918032,TotalAd,ASPASN_PWY,0.1710906577918032,-1.1446142649292121e-12,2.0247653249598803e-13
TotalAs,-6.490930978223903e-11,1.9395712296472448e-11,-3.3465803570433588,8.836255667033533e-4,TotalAs,ASPASN_PWY,8.836255667033533e-4,-1.0292490588332503e-10,-2.689371368115303e-11
TotalEM,-4.485340875902423e-13,3.4529135569128823e-13,-1.2990017855855605,0.1945788581911879,TotalEM,ASPASN_PWY,0.1945788581911879,-1.1253051447451673e-12,2.2823696956468264e-13
P80.Annual.Intake,-7.330148331152685e-8,5.458215090856394e-8,-1.342957030665969,0.1799340468656825,P80.Annual.Intake,ASPASN_PWY,0.1799340468656825,-1.8028249909231217e-7,3.367953246925847e-8
CMC.Annual.Intake,-1.796387356343345e-8,1.8291672623648615e-8,-0.982079328284535,0.3265660273528589,CMC.Annual.Intake,ASPASN_PWY,0.3265660273528589,-5.381555190578474e-8,1.7887804778917838e-8
CRN.Annual.Intake,-6.69969480665657e-8,3.921247374966636e-8,-1.7085621400546234,0.08819230716599442,CRN.Annual.Intake,ASPASN_PWY,0.08819230716599442,-1.4385339661591177e-7,9.859500482780374e-9
AlSiO.Annual.Intake,-1.1044720703471655e-5,1.0544434860578457e-5,-1.0474454866010479,0.295432508942416,AlSiO.Annual.Intake,ASPASN_PWY,0.295432508942416,-3.171181303020543e-5,9.622371623262122e-6
SO32.Annual.Intake,-3.215236525037603e-6,2.945981303392339e-6,-1.0913974645172435,0.2756571919095629,SO32.Annual.Intake,ASPASN_PWY,0.2756571919095629,-8.989359879686588e-6,2.5588868296113818e-6
TiO2.Annual.Intake,-1.1694390031513804e-6,9.769997018659313e-7,-1.1969696622403438,0.23192176806913875,TiO2.Annual.Intake,ASPASN_PWY,0.23192176806913875,-3.084358418808606e-6,7.454804125058451e-7
Asp.Annual.Intake,-2.9092350127941717e-6,1.0123984550531253e-6,-2.8736067289252336,0.004241966365149235,Asp.Annual.Intake,ASPASN_PWY,0.004241966365149235,-4.893535984698297e-6,-9.249340408900462e-7
Suc.Annual.Intake,-4.288988005505823e-6,1.5888616855854232e-6,-2.699409296867478,0.007196640210079862,Suc.Annual.Intake,ASPASN_PWY,0.007196640210079862,-7.403156909253252e-6,-1.1748191017583938e-6
Sac.Annual.Intake,-3.586678803839485e-6,2.2028623408990855e-6,-1.628190167514327,0.10415466957578667,Sac.Annual.Intake,ASPASN_PWY,0.10415466957578667,-7.904288992001693e-6,7.309313843227229e-7
TotalAd.Annual.Intake,-1.327558684919123e-8,1.0154486038327983e-8,-1.3073617708550378,0.19172906346079777,TotalAd.Annual.Intake,ASPASN_PWY,0.19172906346079777,-3.3178379484314076e-8,6.627205785931616e-9
TotalAs.Annual.Intake,-1.372532308082012e-6,5.099726445537533e-7,-2.691384180582928,0.0073693413989205266,TotalAs.Annual.Intake,ASPASN_PWY,0.0073693413989205266,-2.3720786914073682e-6,-3.7298592475665563e-7
TotalEM.Annual.Intake,-1.2694211911174754e-8,1.0209218306853923e-8,-1.2434068436613348,0.2143378097230014,TotalEM.Annual.Intake,ASPASN_PWY,0.2143378097230014,-3.270427979260844e-8,7.315855970258934e-9
Protein.intake,2.233846081579611e-9,2.2068197836692186e-8,0.10122467172491342,0.9194168988518521,Protein.intake,ASPASN_PWY,0.9194168988518521,-4.101982167833707e-8,4.5487513841496294e-8
Total.Fat.intake,-6.992729519373451e-8,4.572261416362631e-8,-1.5293809523551638,0.12686799215014788,Total.Fat.intake,ASPASN_PWY,0.12686799215014788,-1.5954361895444208e-7,1.968902856697305e-8
Saturated.Fat.intake,-4.090543026750176e-7,1.6251273727501947e-7,-2.5170599519395034,0.012178038381353253,Saturated.Fat.intake,ASPASN_PWY,0.012178038381353253,-7.275792677340558e-7,-9.052933761597944e-8
Monounsaturated.Fat.intake,9.184613357342916e-10,9.963810278543755e-8,0.009217972944668792,0.9926492838956291,Monounsaturated.Fat.intake,ASPASN_PWY,0.9926492838956291,-1.9437222012372332e-7,1.9620914279519188e-7
Polyunsaturated.Fat.intake,-6.641950435366545e-7,3.788697829434511e-7,-1.7530958483321173,0.08026194174838504,Polyunsaturated.Fat.intake,ASPASN_PWY,0.08026194174838504,-1.4067798181058186e-6,7.838973103250963e-8
Omega.3.Fatty.Acid.intake,4.649511957980361e-8,2.368555950341762e-8,1.963015464046554,0.050261282524252625,Omega.3.Fatty.Acid.intake,ASPASN_PWY,0.050261282524252625,7.142295310507333e-11,9.291881620650214e-8
Omega.6.Fatty.Acid.intake,-1.2373441503759643e-6,3.606645886572224e-7,-3.430733676912049,6.57859015015541e-4,Omega.6.Fatty.Acid.intake,ASPASN_PWY,6.57859015015541e-4,-1.9442467441441202e-6,-5.304415566078084e-7
Cholesterol.Intake,-1.2435441426486626e-9,4.439189037277647e-9,-0.2801286749012319,0.779506659242721,Cholesterol.Intake,ASPASN_PWY,0.779506659242721,-9.944354655712851e-9,7.457266370415525e-9
Alcohol.Intake,-2.12753033530585e-6,4.2410687417959136e-7,-5.01649575810679,7.58216270116866e-7,Alcohol.Intake,ASPASN_PWY,7.58216270116866e-7,-2.9587798086978492e-6,-1.2962808619138508e-6
