term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
Age.at.enrolment,-1.980221958870434e-7,2.920977769644079e-7,-0.6779311980562331,0.4981447165126015,Age.at.enrolment,ASPASN_PWY,0.4981447165126015,-7.705338387372829e-7,3.744894469631961e-7
factor(Gender)2,-9.267720436681225e-6,7.8280394607957e-6,-1.1839133518802145,0.23703699744274176,Gender,ASPASN_PWY,0.23703699744274176,-2.4610677779840793e-5,6.0752369064783455e-6
factor(Smoking.status)2,-1.2952475751879699e-5,1.4177102085145584e-5,-0.9136194177123815,0.36139339538124515,Smoking.status,ASPASN_PWY,0.7227867907624903,-4.0739595838765043e-5,1.4834644335005646e-5
factor(Smoking.status)3,-1.2978267743403156e-6,1.2206659593480193e-5,-0.106321206420265,0.9153736560965189,Smoking.status,ASPASN_PWY,0.9153736560965189,-2.5222879577561495e-5,2.2627226028880863e-5
factor(Region)HK,3.5064694117647096e-5,8.97233942257257e-6,3.90808823275583,1.0651881521378007e-4,Region,ASPASN_PWY,1.0651881521378007e-4,1.747890884940486e-5,5.2650479385889335e-5
factor(Region)KM,7.168344449472096e-5,8.926817366207321e-6,8.030123341167519,7.699505207057622e-15,Region,ASPASN_PWY,1.5399010414115244e-14,5.418688245695461e-5,8.918000653248732e-5
BMI,-4.770251881049755e-6,8.506655422680317e-7,-5.607670281708344,3.480921881469314e-8,BMI,ASPASN_PWY,3.480921881469314e-8,-6.437556343895097e-6,-3.102947418204413e-6
factor(Alcohol.Consumption)2,1.9632695079232704e-5,1.2428631772905282e-5,1.5796344632264716,0.11485766038875893,Alcohol.Consumption,ASPASN_PWY,0.11485766038875893,-4.727423195661647e-6,4.399281335412706e-5
factor(Alcohol.Consumption)3,5.1942100872459066e-5,8.023511588679095e-6,6.473736629949862,2.3920563678521204e-10,Alcohol.Consumption,ASPASN_PWY,4.784112735704241e-10,3.621601815864804e-5,6.766818358627009e-5
Age.at.enrolment,-5.299877913142054e-7,3.749051671224379e-7,-1.4136582735898118,0.15811590759841776,Age.at.enrolment,FASYN_ELONG_PWY,0.15811590759841776,-1.2648019188741834e-6,2.0482633624577282e-7
factor(Gender)2,1.659458672489082e-6,1.008222734752952e-5,0.1645924670500219,0.8693344846394773,Gender,FASYN_ELONG_PWY,0.8693344846394773,-1.8101706928668776e-5,2.1420624273646938e-5
factor(Smoking.status)2,7.309787406015054e-6,1.8575610427665105e-5,0.3935153266957198,0.6941204439725657,Smoking.status,FASYN_ELONG_PWY,0.6941204439725657,-2.9098409032208554e-5,4.371798384423866e-5
factor(Smoking.status)3,2.310257449954505e-5,1.599382947726588e-5,1.4444679763769996,0.14928521621613886,Smoking.status,FASYN_ELONG_PWY,0.2985704324322777,-8.245331275896075e-6,5.445048027498617e-5
factor(Region)HK,2.1051924183006564e-5,1.2150428698476876e-5,1.7326075240164605,0.08381316243139296,Region,FASYN_ELONG_PWY,0.08381316243139296,-2.7629160660081128e-6,4.486676443202124e-5
factor(Region)KM,4.0962899547511314e-5,1.2088782290107339e-5,3.3885050259390184,7.610968602657275e-4,Region,FASYN_ELONG_PWY,0.001522193720531455,1.726888625890093e-5,6.46569128361217e-5
BMI,-5.2001844903447365e-6,1.104281950712473e-6,-4.709109378261252,3.2687104637048387e-6,BMI,FASYN_ELONG_PWY,3.2687104637048387e-6,-7.3645771137411835e-6,-3.0357918669482895e-6
factor(Alcohol.Consumption)2,2.4161840200166817e-5,1.638109074785511e-5,1.474983599814957,0.14088084391280697,Alcohol.Consumption,FASYN_ELONG_PWY,0.14088084391280697,-7.945097665629201e-6,5.626877806596284e-5
factor(Alcohol.Consumption)3,4.3180196528152554e-5,1.0575087737103001e-5,4.083199837354879,5.213713556164543e-5,Alcohol.Consumption,FASYN_ELONG_PWY,1.0427427112329086e-4,2.2453024563430672e-5,6.390736849287443e-5
Age.at.enrolment,-3.423353547633019e-7,2.6300751773004914e-7,-1.3016181351693332,0.19367654382276348,Age.at.enrolment,GLYCOLYSIS_E_D,0.19367654382276348,-8.578300895141982e-7,1.7315937998759443e-7
factor(Gender)2,-2.7972097816593875e-7,7.0761668290378505e-6,-0.03953001461441979,0.9684843631613376,Gender,GLYCOLYSIS_E_D,0.9684843631613376,-1.4149007963080126e-5,1.3589566006748247e-5
factor(Smoking.status)2,7.250712406015031e-6,1.3005819085067699e-5,0.5574975600221713,0.5774575324808187,Smoking.status,GLYCOLYSIS_E_D,0.5774575324808187,-1.8240693000717658e-5,3.274211781274772e-5
factor(Smoking.status)3,1.2817339626933572e-5,1.1198170497209843e-5,1.1445922912253537,0.25297071751588746,Smoking.status,GLYCOLYSIS_E_D,0.5059414350317749,-9.131074547597719e-6,3.476575380146486e-5
factor(Region)HK,1.7587471895424845e-5,8.586427834072806e-6,2.048287394396299,0.041079862522680956,Region,GLYCOLYSIS_E_D,0.08215972504536191,7.580733406421448e-7,3.441687045020755e-5
factor(Region)KM,1.4322809502262444e-5,8.542863738530962e-6,1.6765817576677637,0.09428087302900476,Region,GLYCOLYSIS_E_D,0.09428087302900476,-2.4212034252582407e-6,3.106682242978313e-5
BMI,-2.509921137058186e-6,7.841633679888714e-7,-3.200763054636602,0.0014622654591654122,BMI,GLYCOLYSIS_E_D,0.0014622654591654122,-4.046881338316374e-6,-9.72960935799998e-7
factor(Alcohol.Consumption)2,2.3536321934946524e-7,1.1617208100358091e-5,0.020259878046103897,0.9838445872538817,Alcohol.Consumption,GLYCOLYSIS_E_D,0.9838445872538817,-2.2534364657352394e-5,2.3005091096051323e-05
factor(Alcohol.Consumption)3,1.7597473736283506e-5,7.499683434545193e-6,2.346428871280842,0.019365201045728777,Alcohol.Consumption,GLYCOLYSIS_E_D,0.038730402091457554,2.8980942045749287e-6,3.229685326799209e-5
Age.at.enrolment,-3.3902669568283356e-7,2.910220271317433e-7,-1.1649520107608864,0.24462189498414977,Age.at.enrolment,HOMOSER_METSYN_PWY,0.24462189498414977,-9.094298688610503e-7,2.3137647749538328e-7
factor(Gender)2,-7.073813624454142e-7,7.830107181294887e-6,-0.09034121067145247,0.9280539945955604,Gender,HOMOSER_METSYN_PWY,0.9280539945955604,-1.6054391437783394e-5,1.4639628712892564e-5
factor(Smoking.status)2,-2.4024349624060117e-6,1.4369903450744576e-5,-0.16718518469110033,0.8672974919806153,Smoking.status,HOMOSER_METSYN_PWY,0.8672974919806153,-3.056744572586538e-5,2.5762575801053354e-5
factor(Smoking.status)3,2.920925614194721e-6,1.2372663945067031e-5,0.2360789581906725,0.81347602379095,Smoking.status,HOMOSER_METSYN_PWY,0.8672974919806153,-2.132949571813666e-5,2.71713469465261e-5
factor(Region)HK,2.275405228758341e-7,9.293040998964176e-6,0.024485044551207327,0.9804759738596659,Region,HOMOSER_METSYN_PWY,0.9804759738596659,-1.798681983509395e-5,1.844190088084562e-5
factor(Region)KM,4.206480497737557e-5,9.24589183125713e-6,4.549567066658638,6.831074922298487e-6,Region,HOMOSER_METSYN_PWY,1.3662149844596974e-5,2.3942856988111594e-5,6.018675296663955e-5
BMI,-3.622812917561373e-6,8.613987266307016e-7,-4.205732845382465,3.11015268598771e-5,BMI,HOMOSER_METSYN_PWY,3.11015268598771e-5,-5.311154421757548e-6,-1.9344714133651976e-6
factor(Alcohol.Consumption)2,8.13794220183487e-6,1.2769016504681284e-5,0.6373194207127383,0.5242245092861761,Alcohol.Consumption,HOMOSER_METSYN_PWY,0.5242245092861761,-1.6889330147340446e-5,3.316521455101019e-5
factor(Alcohol.Consumption)3,2.8774897103795644e-5,8.243252658325072e-6,3.490721235474341,5.267539319037648e-4,Alcohol.Consumption,HOMOSER_METSYN_PWY,0.0010535078638075296,1.2618121893478503e-5,4.493167231411278e-5
Age.at.enrolment,-5.108269551776683e-7,3.688647232816638e-7,-1.3848625876527714,0.16674321774642634,Age.at.enrolment,MET_SAM_PWY,0.16674321774642634,-1.2338018128097294e-6,2.121479024543927e-7
factor(Gender)2,-3.7530853100436688e-6,9.93439670683379e-6,-0.37778693772737626,0.7057569246334696,Gender,MET_SAM_PWY,0.7057569246334696,-2.32245028554379e-5,1.571833223535056e-5
