term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
P80,-3.0636013564525605e-7,4.747220865482791e-7,-0.6453462864405811,0.5190170417958232,P80,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5190170417958232,-1.236815425279883e-6,6.240951539893709e-7
CMC,-9.423287497810731e-8,1.5890294599486853e-7,-0.5930215729364161,0.55345134463768,CMC,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.55345134463768,-4.056826491280496e-7,2.1721689917183502e-7
CRN,-1.0500861075063853e-7,3.417439547922613e-7,-0.3072727674567674,0.7587715744642444,CRN,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7587715744642444,-7.748267621434706e-7,5.648095406421936e-7
AlSiO,9.483869449707294e-5,1.148995408092568e-4,0.8254053395610466,0.40955936355414324,AlSiO,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.40955936355414324,-1.3036440548907038e-4,3.2004179448321627e-4
SO32,2.655227016957057e-5,2.859056395468823e-5,0.928707464870296,0.3535164034019349,SO32,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3535164034019349,-2.9485235181618358e-5,8.25897755207595e-5
TiO2,4.557573472481239e-6,1.480497188194716e-5,0.30784073815355495,0.7583396043341566,TiO2,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7583396043341566,-2.4460171416135192e-5,3.357531836109767e-5
Asp,5.768679395954187e-6,1.0074542723499953e-5,0.572599626035445,0.5671890355390312,Asp,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5671890355390312,-1.397742434210572e-5,2.5514783134014096e-5
Suc,1.3890699609890125e-5,1.5690998679444938e-5,0.8852654884285226,0.37646517481526254,Suc,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.37646517481526254,-1.6863657801821955e-5,4.4645057021602206e-5
Sac,-9.951128862047103e-6,2.170368913808683e-5,-0.45849941909572933,0.6468051630217397,Sac,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.6468051630217397,-5.2490359572697295e-5,3.2588101848603085e-5
TotalAd,-4.545142460640637e-8,8.824081016615802e-8,-0.5150839449549595,0.606736006451425,TotalAd,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.606736006451425,-2.184034125320761e-7,1.2750056331926334e-7
TotalAs,2.328439834705091e-6,5.029516994110002e-6,0.4629549591803536,0.643610475296295,TotalAs,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.643610475296295,-7.529413473750513e-6,1.2186293143160694e-5
TotalEM,-4.706737648699025e-8,8.864386709017201e-8,-0.5309716061812993,0.5956887360751113,TotalEM,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5956887360751113,-2.2080935598372738e-7,1.2667460300974686e-7
P80.Annual.Intake,-0.009353195479672897,0.01401211170004884,-0.6675079160010047,0.5047753624575795,P80.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5047753624575795,-0.03681693441176863,0.01811054345242283
CMC.Annual.Intake,-0.0029441120666383693,0.004691846182020273,-0.6274954362145472,0.5306392556474064,CMC.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5306392556474064,-0.012140130583398105,0.006251906450121367
CRN.Annual.Intake,-0.0033824228521759886,0.010081933352956528,-0.3354934746899604,0.7374025657587346,CRN.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7374025657587346,-0.023143012223970784,0.016378166519618806
AlSiO.Annual.Intake,2.070302463975119,2.70449438120898,0.7655044426639332,0.44435545687975886,AlSiO.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.44435545687975886,-3.230506523194481,7.371111451144719
SO32.Annual.Intake,0.5588255086360181,0.7557082566458806,0.7394725460805435,0.45998926970218923,SO32.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.45998926970218923,-0.9223626743899078,2.040013691661944
TiO2.Annual.Intake,-0.012960007365743313,0.2508309815558183,-0.051668287885957495,0.9588149577876728,TiO2.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9588149577876728,-0.5045887312151471,0.4786687164836605
Asp.Annual.Intake,0.1510131920823984,0.2617018216237485,0.5770429534858633,0.564186722310956,Asp.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.564186722310956,-0.3619223783001486,0.6639487624649454
Suc.Annual.Intake,0.3436177991229175,0.410137860518894,0.8378104832560025,0.40256298905860444,Suc.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.40256298905860444,-0.4602524074941147,1.1474880057399497
Sac.Annual.Intake,-0.31115543263357104,0.5661040061450623,-0.5496435800771183,0.582824932433681,Sac.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.582824932433681,-1.420719284677893,0.798408419410751
TotalAd.Annual.Intake,-0.001429241323144569,0.002606960234578338,-0.5482405539552625,0.5837870363713635,TotalAd.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5837870363713635,-0.006538883382918111,0.0036804007366289734
TotalAs.Annual.Intake,0.05679509797513466,0.13170708238858514,0.43122280856216894,0.6665040848947106,TotalAs.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.6665040848947106,-0.20135078350649221,0.3149409794567615
TotalEM.Annual.Intake,-0.0014739235589195567,0.0026205143975042483,-0.5624558141421802,0.5740736619260651,TotalEM.Annual.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5740736619260651,-0.006610131778027883,0.00366228466018877
Protein.intake,0.001474109258752238,0.005744787300424461,0.2565994494945569,0.7976044949515426,Protein.intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7976044949515426,-0.009785673850079704,0.01273389236758418
Total.Fat.intake,0.013499406283770419,0.011917053242110459,1.132780563240962,0.25790561720491395,Total.Fat.intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.25790561720491395,-0.00985801807076608,0.036856830638306914
Saturated.Fat.intake,0.023603117718324795,0.042588260304212255,0.5542165270364494,0.5797041544171526,Saturated.Fat.intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5797041544171526,-0.05986987247793123,0.10707610791458082
Monounsaturated.Fat.intake,-0.026826082115326215,0.02590871838963459,-1.0354075300790888,0.3010310327934976,Monounsaturated.Fat.intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3010310327934976,-0.07760717015901,0.02395500592835758
Polyunsaturated.Fat.intake,-0.07780923476716022,0.09889980666690049,-0.7867480977917948,0.43184072811476326,Polyunsaturated.Fat.intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.43184072811476326,-0.27165285583428517,0.11603438629996472
Omega.3.Fatty.Acid.intake,-0.002488054564285694,0.006156802234228629,-0.40411474490010424,0.6863207549759145,Omega.3.Fatty.Acid.intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.6863207549759145,-0.014555386943373808,0.009579277814802419
Omega.6.Fatty.Acid.intake,-0.08791616309903726,0.0942910232028431,-0.9323916541865076,0.3516374870921244,Omega.6.Fatty.Acid.intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3516374870921244,-0.27272656857660976,0.09689424237853524
Cholesterol.Intake,-7.702870694825042e-4,0.0011552127227566805,-0.6667924048173315,0.5052442151838568,Cholesterol.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5052442151838568,-0.003034504006085598,0.00149392986712059
Alcohol.Intake,0.02868110248812237,0.11335562296364711,0.2530187893486354,0.800368979941674,Alcohol.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.800368979941674,-0.19349591852062598,0.2508581234968707
Fibre.Intake,0.009645915047471811,0.03458223321880776,0.27892689828445844,0.7804284955428774,Fibre.Intake,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7804284955428774,-0.0581352620613914,0.07742709215633502
Vitamin.B1,-0.202171124117697,0.26446100204490003,-0.7644647889648868,0.444988335867716,Vitamin.B1,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.444988335867716,-0.7205146881257011,0.3161724398903071
Vitamin.B2,-0.15190635578765044,0.21335346171230732,-0.7119938648686462,0.476835087686276,Vitamin.B2,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.476835087686276,-0.5700791407437727,0.2662664291684719
Vitamin.B3,-0.03406741338038329,0.04427924168441369,-0.769376621740454,0.44207073457533563,Vitamin.B3,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.44207073457533563,-0.12085472708183412,0.05271990032106754
Vitamin.B6,-0.020868335625936117,0.04028835988812409,-0.5179743152584261,0.6047290615356895,Vitamin.B6,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.6047290615356895,-0.09983352100665932,0.05809684975478709
Vitamin.B12,-0.00851779489546676,0.026650976513929073,-0.319605358213233,0.7494148533083689,Vitamin.B12,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7494148533083689,-0.06075370886276774,0.043718119071834226
Vitamin.C,-0.0018962936045566633,0.01290717197530293,-0.14691782275661183,0.883262245505023,Vitamin.C,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.883262245505023,-0.027194350676150406,0.02340176346703708
Vitamin.E.Tocopherol.Acetate,-0.1431708667558791,0.10796527503005905,-1.3260825456705252,0.18548354568867187,Vitamin.E.Tocopherol.Acetate,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.18548354568867187,-0.3547828058147948,0.06844107230303664
Beta.Carotene,-2.3564221076960215e-4,3.9210624989213436e-4,-0.6009651996988715,0.5481644040025888,Beta.Carotene,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5481644040025888,-0.0010041704605581855,5.328860390189812e-4
Folic.Acid,-0.004815919148265953,0.006197414538794737,-0.7770852051479107,0.4377010706849017,Folic.Acid,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.4377010706849017,-0.016962851644303636,0.0073310133477717315
Folate,-0.002489220058279657,0.003385028627888101,-0.7353615971728624,0.4624998467856306,Folate,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.4624998467856306,-0.009123876168940335,0.00414543605238102
Iron,-0.014576080090808751,0.019992656937581635,-0.7290716854851366,0.4663632031077133,Iron,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.4663632031077133,-0.05376168768846876,0.02460952750685125
Zinc,-0.04634660148544384,0.048151080308182215,-0.9625246451130662,0.3363386396265683,Zinc,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3363386396265683,-0.14072271888948096,0.048029515918593293
Selenium,-0.0020058791878653013,0.006658879922065107,-0.3012337226893891,0.7633853541931988,Selenium,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7633853541931988,-0.01505728383511291,0.011045525459382307
Magnesium,2.0954202212698282e-4,0.0023162612157039387,0.09046562654778147,0.9279573711697063,Magnesium,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9279573711697063,-0.004330329960652737,0.004749414004906702
Caffeine,0.005077413660668828,0.005197990843826244,0.9768031174389952,0.3294258210058649,Caffeine,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3294258210058649,-0.00511064839323061,0.015265475714568266
Vitamin.D,0.03384696486059199,0.0440455793050813,0.7684531658932511,0.44318737752895865,Vitamin.D,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.44318737752895865,-0.05248237057736737,0.12017630029855134
factor(Breastfeeding.Status)2,-0.4323776776776796,2.4034173519635447,-0.17990120497567164,0.8573066880476019,Breastfeeding.Status,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8573066880476019,-5.143075687526228,4.278320332170868
factor(Baby.Foof.Origin)2,2.887453205128207,3.0372418758133404,0.9506826664422235,0.3422499742567543,Baby.Foof.Origin,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3422499742567543,-3.0655408714659402,8.840447281722355
factor(Child.Food.Origin)2,-4.923754266958423,5.005445377349033,-0.983679552121319,0.32577386778138817,Child.Food.Origin,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.32577386778138817,-14.734427206562529,4.886918672645682
factor(Age.4.12.months.Home.Grown.Fruit.Veg)2,0.1523414867554761,2.102033903859359,0.07247337280134984,0.942255573231771,Age.4.12.months.Home.Grown.Fruit.Veg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.942255573231771,-3.967644964808867,4.272327938319819
factor(Age.1.5.years.Home.Grown.Fruit.Veg)2,1.1164898550724638,2.0704882174402415,0.5392398979467692,0.5899729318625235,Age.1.5.years.Home.Grown.Fruit.Veg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5899729318625235,-2.941667051110409,5.174646761255337
factor(Age.5.10.years.Home.Grown.Fruit.Veg)2,0.45549533078307936,2.080546737198511,0.2189305929250169,0.8267977576227834,Age.5.10.years.Home.Grown.Fruit.Veg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8267977576227834,-3.622376274126003,4.533366935692161
factor(Age.10.18.years.Home.Grown.Fruit.Veg)2,2.438909580721003,2.1238415748139974,1.148348167605015,0.25140041319398854,Age.10.18.years.Home.Grown.Fruit.Veg,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.25140041319398854,-1.7238199059144317,6.601639067356437
factor(Age.4.12.months.Milk.Beverages)2,1.0472640901771277,3.408055607747569,0.3072907870975964,0.7587564421792827,Age.4.12.months.Milk.Beverages,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7587564421792827,-5.632524901008107,7.727053081362364
factor(Age.1.5.years.Milk.Beverages)2,5.982205661375655,2.4556847552513834,2.436064176634622,0.015213833523360221,Age.1.5.years.Milk.Beverages,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.015213833523360221,1.1690635410829433,10.795347781668367
factor(Age.5.10.years.Milk.Beverages)2,4.759571911159434,2.1058452349569836,2.2601717505876726,0.02426070784498409,Age.5.10.years.Milk.Beverages,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.02426070784498409,0.6321152506437464,8.887028571675122
factor(Age.10.18.years.Milk.Beverages)2,0.595201688968812,2.017246094330585,0.29505655786946866,0.7680793233304627,Age.10.18.years.Milk.Beverages,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.7680793233304627,-3.358600655919135,4.549004033856759
factor(Age.4.12.months.Processed.Meat.Seafood)2,5.672885593869735,4.197995512171407,1.3513319815188278,0.17722965375801494,Age.4.12.months.Processed.Meat.Seafood,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.17722965375801494,-2.555185609986223,13.900956797725692
factor(Age.1.5.years.Processed.Meat.Seafood)2,5.455255088393864,2.182183604504805,2.499906551003441,0.012757366694477815,Age.1.5.years.Processed.Meat.Seafood,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.012757366694477815,1.1781752235644465,9.732334953223281
factor(Age.5.10.years.Processed.Meat.Seafood)2,4.4927820083682,1.995617026599494,2.2513247524370166,0.024819344894973484,Age.5.10.years.Processed.Meat.Seafood,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.024819344894973484,0.5813726362331924,8.404191380503208
factor(Age.10.18.years.Processed.Meat.Seafood)2,2.9283120063776917,2.064503234460778,1.4184099872057259,0.15672410051046382,Age.10.18.years.Processed.Meat.Seafood,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.15672410051046382,-1.1181143331654328,6.974738345920816
