term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
Age.at.enrolment,0.00722408863751254,0.004520112174640568,1.5982100351496227,0.11065980256798393,Age.at.enrolment,Coprococcus_eutactus,0.11065980256798393,-0.001635331224782973,0.016083508499808052
factor(Gender)2,0.12381125572052412,0.12145151321292323,1.019429502730558,0.30851586530863206,Gender,Coprococcus_eutactus,0.30851586530863206,-0.11423371017680542,0.3618562216178537
factor(Smoking.status)2,0.043843481203007455,0.2273458343108869,0.1928492832776216,0.8471617511447718,Smoking.status,Coprococcus_eutactus,0.8633981278330771,-0.40175435404633086,0.4894413164523458
factor(Smoking.status)3,0.03369716105550498,0.19574756482401728,0.17214600388924226,0.8633981278330771,Smoking.status,Coprococcus_eutactus,0.8633981278330771,-0.3499680659995689,0.41736238811057885
factor(Region)HK,-0.5137549542483665,0.14455800951941125,-3.5539708657885156,4.1732592321444887e-4,Region,Coprococcus_eutactus,4.1732592321444887e-4,-0.7970886529064125,-0.23042125559032045
factor(Region)KM,-0.6850489411764711,0.1438245800817291,-4.763086676750166,2.53505433257836e-6,Region,Coprococcus_eutactus,5.07010866515672e-6,-0.9669451181366602,-0.40315276421628204
BMI,0.04260422613968433,0.013481456736452194,3.1602093877947004,0.0016769992352206513,BMI,Coprococcus_eutactus,0.0016769992352206513,0.01618057093623803,0.06902788134313062
factor(Alcohol.Consumption)2,-0.24639889574645552,0.19959859360681406,-1.234472103705463,0.21763867770412984,Alcohol.Consumption,Coprococcus_eutactus,0.21763867770412984,-0.6376121392158111,0.14481434772290003
factor(Alcohol.Consumption)3,-0.3495723066198957,0.12885421807890313,-2.7129287021542217,0.0069118445534777605,Alcohol.Consumption,Coprococcus_eutactus,0.013823689106955521,-0.6021265740545458,-0.09701803918524554
Age.at.enrolment,4.245764074530118e-4,4.577066287983263e-4,0.9276169072921331,0.3540764344253742,Age.at.enrolment,Lachnospiraceae_bacterium,0.3540764344253742,-4.7252858499170774e-4,0.0013216813998977314
factor(Gender)2,0.01197975580786027,0.012281045174520158,0.9754671233288041,0.32982303064439344,Gender,Lachnospiraceae_bacterium,0.32982303064439344,-0.012091092734199237,0.036050604349919774
factor(Smoking.status)2,0.006337958646616538,0.02283624398410456,0.2775394522421529,0.7814900642874224,Smoking.status,Lachnospiraceae_bacterium,0.7814900642874224,-0.0384210795622284,0.05109699685546147
factor(Smoking.status)3,0.02044661737943585,0.019662287471266506,1.0398900641298998,0.29893487692340587,Smoking.status,Lachnospiraceae_bacterium,0.5978697538468117,-0.018091466064246498,0.0589847008231182
factor(Region)HK,-0.02919737908496736,0.01488095258982131,-1.962063846970294,0.050337290140410974,Region,Lachnospiraceae_bacterium,0.050337290140410974,-0.05836404616101712,-3.071200891759454e-5
factor(Region)KM,-0.03753568099547515,0.01480545259693671,-2.5352606244027545,0.011555389013906452,Region,Lachnospiraceae_bacterium,0.023110778027812903,-0.0665543680854711,-0.008516993905479196
BMI,0.0030211302143637146,0.001368959364482241,2.206880856179648,0.027798948871380118,BMI,Lachnospiraceae_bacterium,0.027798948871380118,3.3796985997852245e-4,0.005704290568748906
factor(Alcohol.Consumption)2,-0.04833312093411177,0.02019247331698033,-2.393620641482651,0.01707088762876721,Alcohol.Consumption,Lachnospiraceae_bacterium,0.03414177525753442,-0.08791036863539321,-0.008755873232830322
factor(Alcohol.Consumption)3,-0.022463547850332787,0.013035589646808968,-1.723247544527587,0.08549591802354131,Alcohol.Consumption,Lachnospiraceae_bacterium,0.08549591802354131,-0.04801330355807837,0.0030862078574127906
Age.at.enrolment,4.8410665189156356e-4,0.001231853745900444,0.3929903639150748,0.6945025369378155,Age.at.enrolment,Blautia_SGB4815,0.6945025369378155,-0.0019303266900733067,0.0028985399938564337
