term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
P80,1.2732591840665256e-8,2.854508263431707e-8,0.4460520224719216,0.6557646472262779,P80,Coprococcus_eutactus,0.6557646472262779,-4.3215770122596195e-8,6.86809538039267e-8
CMC,3.8795708522771765e-9,9.554537665522072e-9,0.40604485408820584,0.6848940507804016,CMC,Coprococcus_eutactus,0.6848940507804016,-1.4847322972146083e-8,2.2606464676700438e-8
CRN,1.0270132122606278e-8,2.0540962916146276e-8,0.4999829932282977,0.6173205555007151,CRN,Coprococcus_eutactus,0.6173205555007151,-2.999015519304042e-8,5.053041943825298e-8
AlSiO,4.643129060063507e-6,6.909008042502038e-6,0.6720398979854187,0.5018878084232686,AlSiO,Coprococcus_eutactus,0.5018878084232686,-8.898526703240487e-6,1.8184784823367503e-5
SO32,5.120717255928365e-6,1.704071978338937e-6,3.00498882736153,0.0027975551727735114,SO32,Coprococcus_eutactus,0.0027975551727735114,1.780736178384048e-6,8.460698333472682e-6
TiO2,1.1190598973827596e-7,8.900935183338758e-7,0.1257238564636978,0.9000041631415183,TiO2,Coprococcus_eutactus,0.9000041631415183,-1.6326773061961204e-6,1.8564892856726724e-6
Asp,1.7090530696289052e-6,6.007144672670058e-7,2.845033976631804,0.0046341503554235405,Asp,Coprococcus_eutactus,0.0046341503554235405,5.316527137855737e-7,2.8864534254722367e-6
Suc,3.423173264354736e-6,9.307980701005377e-7,3.6776755069818643,2.6250271679460594e-4,Suc,Coprococcus_eutactus,2.6250271679460594e-4,1.598809046957682e-6,5.247537481751789e-6
Sac,2.7080165006388325e-6,1.2990558960676916e-6,2.0846035254034385,0.0376434310766335,Sac,Coprococcus_eutactus,0.0376434310766335,1.61866944346157e-7,5.2541660569315085e-6
TotalAd,2.6603169121422827e-9,5.304781562380511e-9,0.5014941484128652,0.616257709872423,TotalAd,Coprococcus_eutactus,0.616257709872423,-7.737054950123518e-9,1.3057688774408083e-8
TotalAs,9.225536553660317e-7,2.994218694922954e-7,3.0811164759953193,0.002183009835785048,TotalAs,Coprococcus_eutactus,0.002183009835785048,3.3568679116113273e-7,1.5094205195709306e-6
TotalEM,2.3422164626600844e-9,5.329436080783551e-9,0.4394867350235157,0.6605104598224555,TotalEM,Coprococcus_eutactus,0.6605104598224555,-8.103478255675674e-9,1.2787911180995843e-8
P80.Annual.Intake,2.9964735790219757e-4,8.426415939890511e-4,0.3556047553784665,0.7222961242866127,P80.Annual.Intake,Coprococcus_eutactus,0.7222961242866127,-0.0013519301663163425,0.0019512248821207377
CMC.Annual.Intake,9.334103095796438e-5,2.8214152159007546e-4,0.3308305365049386,0.740919929286814,CMC.Annual.Intake,Coprococcus_eutactus,0.740919929286814,-4.596563513585836e-4,6.463384132745124e-4
CRN.Annual.Intake,2.5624527264890573e-4,6.060454505287163e-4,0.422815273054779,0.6726234222524634,CRN.Annual.Intake,Coprococcus_eutactus,0.6726234222524634,-9.316038103873782e-4,0.0014440943556851896
AlSiO.Annual.Intake,0.050520500943738354,0.16266872104385702,0.3105729277241785,0.7562629894076274,AlSiO.Annual.Intake,Coprococcus_eutactus,0.7562629894076274,-0.2683101923022214,0.3693511941896981
SO32.Annual.Intake,0.12512533877412116,0.045088878539684546,2.775082078477363,0.005738753602278655,SO32.Annual.Intake,Coprococcus_eutactus,0.005738753602278655,0.036751136836339446,0.21349954071190286
TiO2.Annual.Intake,-0.0014978604192354937,0.015078905141590087,-0.0993348260480895,0.9209147814130443,TiO2.Annual.Intake,Coprococcus_eutactus,0.9209147814130443,-0.031052514496752063,0.028056793658281075
Asp.Annual.Intake,0.03826294220977037,0.015638829917706046,2.4466627242009737,0.014783899680061337,Asp.Annual.Intake,Coprococcus_eutactus,0.014783899680061337,0.007610835571066517,0.06891504884847421
Suc.Annual.Intake,0.08251250655411299,0.02437905275398258,3.384565732999355,7.726104171106524e-4,Suc.Annual.Intake,Coprococcus_eutactus,7.726104171106524e-4,0.03472956315630714,0.13029544995191883
Sac.Annual.Intake,0.06684205002721137,0.0339030854025128,1.9715624473003637,0.04924564981936749,Sac.Annual.Intake,Coprococcus_eutactus,0.04924564981936749,3.9200263828628734e-4,0.13329209741613646
TotalAd.Annual.Intake,6.62389877711536e-5,1.5674102756275477e-4,0.4226014643462341,0.6727793268406002,TotalAd.Annual.Intake,Coprococcus_eutactus,0.6727793268406002,-2.4097342625184573e-4,3.734514017941529e-4
TotalAs.Annual.Intake,0.021805128401624647,0.007855172932919773,2.7758941257986622,0.005724674893181284,TotalAs.Annual.Intake,Coprococcus_eutactus,0.005724674893181284,0.006408989453101891,0.0372012673501474
TotalEM.Annual.Intake,5.690973737661737e-5,1.5756667041601937e-4,0.36117877737950543,0.7181280992975356,TotalEM.Annual.Intake,Coprococcus_eutactus,0.7181280992975356,-2.5192093663878063e-4,3.657404113920153e-4
Protein.intake,-8.423110171094799e-5,3.483960632211477e-4,-0.24176823621994112,0.8090691568942254,Protein.intake,Coprococcus_eutactus,0.8090691568942254,-7.670873856243975e-4,5.986251822025015e-4
