term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
Age.at.enrolment,0.0013083441425837965,0.007519651132105153,0.17399000559983704,0.8619472874040714,Age.at.enrolment,kpsF.1,0.8619472874040714,-0.013430172076342303,0.016046860361509895
factor(Gender)2,-0.13176492576419202,0.20164455183531094,-0.6534514548739622,0.5137801323549522,Gender,kpsF.1,0.5137801323549522,-0.5269882473614014,0.2634583958330174
factor(Smoking.status)2,0.4904351503759394,0.37606948610181273,1.304107800554615,0.1928461801058626,Smoking.status,kpsF.1,0.1928461801058626,-0.24666104238361358,1.2275313431354924
factor(Smoking.status)3,0.4481921064604181,0.3238004616719044,1.3841614188757871,0.16697727616207955,Smoking.status,kpsF.1,0.1928461801058626,-0.18645679841651447,1.0828410113373508
factor(Region)HK,-0.5116156862745103,0.2448759884342716,-2.0892848234968353,0.037212511769068486,Region,kpsF.1,0.07442502353813697,-0.9915726236056825,-0.03165874894333792
factor(Region)KM,-0.16485588235294113,0.2436335857538785,-0.6766549933697584,0.49895355165897914,Region,kpsF.1,0.49895355165897914,-0.642377710430543,0.3126659457246607
BMI,-0.03964647604210144,0.02252767730196164,-1.759900743901776,0.07906691882047587,BMI,kpsF.1,0.07906691882047587,-0.08380072355394624,0.00450777146974337
factor(Alcohol.Consumption)2,0.14563502919099222,0.3334286057473433,0.4367802482470496,0.6624696243546151,Alcohol.Consumption,kpsF.1,0.6624696243546151,-0.5078850380738006,0.7991550964557851
factor(Alcohol.Consumption)3,0.2113777208130954,0.21525042587898302,0.9820083744314405,0.32659668298725775,Alcohol.Consumption,kpsF.1,0.6531933659745155,-0.2105131139097113,0.6332685555359021
Age.at.enrolment,0.014220463777227797,0.26349421873605594,0.0539687885580235,0.9569826739983169,Age.at.enrolment,katA.1,0.9569826739983169,-0.5022282049454418,0.5306691324998973
factor(Gender)2,0.09811112663754144,7.0709483216124545,0.013875243061480648,0.9889353143662101,Gender,katA.1,0.9889353143662101,-13.760947583722869,13.95716983699795
factor(Smoking.status)2,23.273484586466214,13.082429920137606,1.7789879042762275,0.0758991519342934,Smoking.status,katA.1,0.1517983038685868,-2.368078057003494,48.91504722993592
factor(Smoking.status)3,11.054738626023719,11.26413337024653,0.9814104878431292,0.3269040033522125,Smoking.status,katA.1,0.3269040033522125,-11.022962779659478,33.13244003170691
factor(Region)HK,-8.622116339869281,8.612183855089205,-1.0011533061703284,0.3172613572536669,Region,katA.1,0.3592402052984177,-25.50199669584412,8.25776401610556
factor(Region)KM,-7.863310407239813,8.568489083813281,-0.917700930738697,0.3592402052984177,Region,katA.1,0.3592402052984177,-24.657549011513844,8.93092819703422
