term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
P80,-5.881100956987007e-9,4.7743110643429674e-8,-0.12318219063919233,0.9020153734955146,P80,kpsF.1,0.9020153734955146,-9.945759781810918e-8,8.769539590413515e-8
CMC,-2.9920805596838656e-10,1.598012628671095e-8,-0.01872376041340847,0.9850694024033901,CMC,kpsF.1,0.9850694024033901,-3.1620255577921845e-8,3.1021839465985074e-8
CRN,-2.0105334715286572e-8,3.434573276590432e-8,-0.585380863827297,0.5585720039053468,CRN,kpsF.1,0.5585720039053468,-8.742297093645903e-8,4.7212301505885894e-8
AlSiO,8.263073390657967e-6,1.1552681015397236e-5,0.7152515835627306,0.47480799154102715,AlSiO,kpsF.1,0.47480799154102715,-1.4380181399520616e-5,3.090632818083655e-5
SO32,5.710809527911667e-6,2.864717921423521e-6,1.9934980282714467,0.04678324562163083,SO32,kpsF.1,0.04678324562163083,9.596240192156496e-8,1.1325656653901768e-5
TiO2,7.005052231649178e-7,1.4881115314660579e-6,0.4707343558280165,0.6380483704767248,TiO2,kpsF.1,0.6380483704767248,-2.2161933785085556e-6,3.617203824838391e-6
Asp,1.521255533976492e-6,1.0106966580950429e-6,1.5051554012692083,0.13295441787010087,Asp,kpsF.1,0.13295441787010087,-4.597099158897919e-7,3.5022209838427763e-6
Suc,2.4844258275254887e-6,1.5745379439131312e-6,1.5778761236779424,0.11526542377227643,Suc,kpsF.1,0.11526542377227643,-6.016685425442484e-7,5.570520197595226e-6
Sac,5.407587446785628e-6,2.1680405759684845e-6,2.494227970973286,0.01296488516484592,Sac,kpsF.1,0.01296488516484592,1.1582279178873989e-6,9.656946975683857e-6
TotalAd,-1.267647585148655e-9,8.872963734377627e-9,-0.1428663097356355,0.886456862780503,TotalAd,kpsF.1,0.886456862780503,-1.8658656504528804e-8,1.6123361334231492e-8
TotalAs,9.243987765289456e-7,5.039245786182513e-7,1.8343990663516039,0.06722539631391318,TotalAs,kpsF.1,0.06722539631391318,-6.329339756282689e-8,1.912090950620718e-6
TotalEM,-1.6513538162881713e-9,8.913518242827139e-9,-0.1852639744824715,0.8531017437942692,TotalEM,kpsF.1,0.8531017437942692,-1.9121849572229362e-8,1.581914193965302e-8
P80.Annual.Intake,-8.170521604418984e-5,0.0014091809838351172,-0.05798064051490908,0.9537886912531615,P80.Annual.Intake,kpsF.1,0.9537886912531615,-0.00284369994436102,0.00268028951227264
CMC.Annual.Intake,3.468727142949463e-5,4.718262362788353e-4,0.07351704666333028,0.9414259562334155,CMC.Annual.Intake,kpsF.1,0.9414259562334155,-8.900921516770226e-4,9.594666945360118e-4
CRN.Annual.Intake,-5.359647389385575e-4,0.001013270894756463,-0.5289451633438806,0.5970931961945409,CRN.Annual.Intake,kpsF.1,0.5970931961945409,-0.002521975692661225,0.0014500462147841102
AlSiO.Annual.Intake,0.16349658466352018,0.2719247080094175,0.6012568179639559,0.5479588166598008,AlSiO.Annual.Intake,kpsF.1,0.5479588166598008,-0.369475843034938,0.6964690123619783
SO32.Annual.Intake,0.17096660738037958,0.075598901237114,2.2614959289440892,0.024184753870258747,SO32.Annual.Intake,kpsF.1,0.024184753870258747,0.02279276095563612,0.319140453805123
TiO2.Annual.Intake,0.013630347263285214,0.025206139040327757,0.5407550613554014,0.5889325974708625,TiO2.Annual.Intake,kpsF.1,0.5889325974708625,-0.03577368525575719,0.06303437978232762
Asp.Annual.Intake,0.044620711563259245,0.026235367132960992,1.7007847207596227,0.08964488775841041,Asp.Annual.Intake,kpsF.1,0.08964488775841041,-0.006800608017344299,0.09604203114386278
Suc.Annual.Intake,0.07547078375657604,0.04111132192577367,1.8357664074348725,0.06702378643857422,Suc.Annual.Intake,kpsF.1,0.06702378643857422,-0.005107407217940355,0.15604897473109242
Sac.Annual.Intake,0.160872887547684,0.05643817612402025,2.850426760676556,0.004558031287753194,Sac.Annual.Intake,kpsF.1,0.004558031287753194,0.050254062344604306,0.27149171275076367
TotalAd.Annual.Intake,-1.342619681588655e-5,2.621386101183466e-4,-0.05121792936120735,0.9591736249031352,TotalAd.Annual.Intake,kpsF.1,0.9591736249031352,-5.27217872647846e-4,5.003654790160728e-4
TotalAs.Annual.Intake,0.027778051222108233,0.013179876929733447,2.1076108199039174,0.0355936715198336,TotalAs.Annual.Intake,kpsF.1,0.0355936715198336,0.0019454924398306789,0.053610610004385786
TotalEM.Annual.Intake,-2.8263108145396715e-5,2.6350346023159627e-4,-0.10725896396410103,0.9146293074070433,TotalEM.Annual.Intake,kpsF.1,0.9146293074070433,-5.447298901993254e-4,4.88203673908532e-4
Protein.intake,-5.417322227092609e-4,5.811763973404897e-4,-0.9321304601980939,0.35176562808555945,Protein.intake,kpsF.1,0.35176562808555945,-0.0016808379614966207,5.973735160780988e-4
Total.Fat.intake,-6.658251955210532e-4,0.0012079698030097443,-0.5511935760828636,0.5817727356456456,Total.Fat.intake,kpsF.1,0.5817727356456456,-0.0030334460094201517,0.0017017956183780455
Saturated.Fat.intake,-0.0024877060857692156,0.004312172825599537,-0.5769031498461198,0.5642914489097843,Saturated.Fat.intake,kpsF.1,0.5642914489097843,-0.010939564823944307,0.005964152652405876
Monounsaturated.Fat.intake,2.485513350558643e-4,0.0026264762709931567,0.09463300232363375,0.9246481791743798,Monounsaturated.Fat.intake,kpsF.1,0.9246481791743798,-0.004899342156090722,0.005396444826202451
Polyunsaturated.Fat.intake,0.004166112727339937,0.010019075076095743,0.4158180965506247,0.6777400238442592,Polyunsaturated.Fat.intake,kpsF.1,0.6777400238442592,-0.015471274421807717,0.023803499876487593
Omega.3.Fatty.Acid.intake,0.0021000349600126733,6.216781056710055e-4,3.3780101645143343,7.937252707764723e-4,Omega.3.Fatty.Acid.intake,kpsF.1,7.937252707764723e-4,8.815458728975024e-4,0.003318524047127844
Omega.6.Fatty.Acid.intake,4.6977014371790156e-4,0.009675000611311687,0.04855505054631852,0.9612955789620591,Omega.6.Fatty.Acid.intake,kpsF.1,0.9612955789620591,-0.018493231054453007,0.019432771341888807
Cholesterol.Intake,-6.146101322518626e-5,1.1699337899370759e-4,-0.5253375340880777,0.5996055992551921,Cholesterol.Intake,kpsF.1,0.5996055992551921,-2.9076803605285315e-4,1.678460096024806e-4
Alcohol.Intake,-0.016455095609936396,0.011468157670878968,-1.4348508349968656,0.1520226803564829,Alcohol.Intake,kpsF.1,0.1520226803564829,-0.038932684644859175,0.006022493424986383
Fibre.Intake,9.430916814560046e-4,0.00350176929521162,0.26931862208786983,0.7878074000075806,Fibre.Intake,kpsF.1,0.7878074000075806,-0.00592037613715877,0.007806559500070779
Vitamin.B1,-0.005273476532618462,0.026794248410911433,-0.19681375091196596,0.8440615587601816,Vitamin.B1,kpsF.1,0.8440615587601816,-0.05779020341800487,0.04724325035276795
Vitamin.B2,-0.00586697981998058,0.021613534405832465,-0.2714493478862653,0.7861691094693851,Vitamin.B2,kpsF.1,0.7861691094693851,-0.04822950725541221,0.036495547615451054
Vitamin.B3,-7.021140100924331e-4,0.004486323109297603,-0.15650099045192467,0.8757078601437402,Vitamin.B3,kpsF.1,0.8757078601437402,-0.009495307304315734,0.00809107928413087
Vitamin.B6,6.987594650259113e-4,0.00408049315409055,0.17124387632544602,0.8641084729916158,Vitamin.B6,kpsF.1,0.8641084729916158,-0.007299007116991568,0.008696526047043391
Vitamin.B12,-0.001317412139781805,0.0026981518486427227,-0.4882646395326177,0.6255986607956583,Vitamin.B12,kpsF.1,0.6255986607956583,-0.006605789763121541,0.0039709654835579315
Vitamin.C,2.9324331714382644e-4,0.0013068804479271835,0.22438419490392844,0.822559537355696,Vitamin.C,kpsF.1,0.822559537355696,-0.0022682423607934534,0.002854728995081106
Vitamin.E.Tocopherol.Acetate,0.005543617059118303,0.010965157565529229,0.5055665662795008,0.6134079476757539,Vitamin.E.Tocopherol.Acetate,kpsF.1,0.6134079476757539,-0.015948091769318988,0.02703532588755559
Beta.Carotene,-1.878648289529204e-5,3.981299633793983e-5,-0.4718680989451037,0.6372486446125785,Beta.Carotene,kpsF.1,0.6372486446125785,-9.68199557176541e-5,5.9246989927070026e-5
Folic.Acid,1.9562961912146124e-4,7.102083048929359e-4,0.27545386018958545,0.783151082344137,Folic.Acid,kpsF.1,0.783151082344137,-0.001196378658468693,0.0015876378967116156
Folate,4.959262702999263e-4,3.4216478133291937e-4,1.449378478895524,0.147923823495213,Folate,kpsF.1,0.147923823495213,-1.747167011125957e-4,0.0011665692417124483
Iron,-0.0014609812909295015,0.002046277535881944,-0.7139702534533371,0.47564120785579145,Iron,kpsF.1,0.47564120785579145,-0.005471685261258111,0.0025497226793991085
Zinc,-0.0031439102465145295,0.004931245345895398,-0.6375489406811636,0.524113915069891,Zinc,kpsF.1,0.524113915069891,-0.012809151124469509,0.006521330631440451
Selenium,-1.6919019368177109e-4,6.815725522182816e-4,-0.2482350457498851,0.8040738761831835,Selenium,kpsF.1,0.8040738761831835,-0.0015050723960296029,0.001166692008666061
Magnesium,-4.0863772414329734e-5,2.3514933974039444e-4,-0.17377795939994328,0.8621179386176399,Magnesium,kpsF.1,0.8621179386176399,-5.017564783055027e-4,4.200289334768433e-4
Caffeine,2.4737765711157177e-4,5.960284204055122e-4,0.4150433916276452,0.678396312135375,Caffeine,kpsF.1,0.678396312135375,-9.208380468832321e-4,0.0014155933611063756
Vitamin.D,-0.003406217418237565,0.003372756645760888,-1.0099208973522393,0.31383816379404983,Vitamin.D,kpsF.1,0.31383816379404983,-0.010016820443928905,0.0032043856074537753
