term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
factor(Disease.location)2,-4.065803977272734,3.3689305795464106,-1.2068530001648623,0.2286970442357794,Disease.location,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3430455663536691,-10.668907913183698,2.537299958638231
factor(Disease.location)3,-5.440108616843286,2.4634946617014855,-2.2082891842298187,0.028186176511928767,Disease.location,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.0845585295357863,-10.268558153778198,-0.6116590799083745
factor(Disease.location)4,2.8899772727272754,14.664474742381671,0.19707335745036794,0.843939750433533,Disease.location,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.843939750433533,-25.852393222340798,31.63234776779535
factor(Isolated.upper.disease)1,-0.14829813664596098,3.2005801523171113,-0.046334767319793,0.9630822836268396,Isolated.upper.disease,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9630822836268396,-6.421435235187499,6.124838961895577
factor(Inflammatory)1,1.7352075075285385,1.88889127189774,0.9186381097442429,0.3592149382777454,Inflammatory,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3592149382777454,-1.9670193853910318,5.437434400448109
factor(Stricturing)1,1.492955789473683,2.3178453005426976,0.64411364689616,0.5201219940527531,Stricturing,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5201219940527531,-3.0500209995900036,6.03593257853737
factor(Penetrating)1,-2.5159701704545454,2.124232080074582,-1.1844139790818944,0.23743068540984832,Penetrating,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.23743068540984832,-6.6794650474007256,1.6475247064916352
factor(Perianal.disease.modifier)1,1.7223092436974794,2.069760609567859,0.8321296848223799,0.40616990692177624,Perianal.disease.modifier,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.40616990692177624,-2.3344215510555246,5.779040038450483
CDAI,0.001178329115663313,0.013310738116711471,0.08852470128489232,0.9295366837923593,CDAI,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9295366837923593,-0.02491071759309117,0.027267375824417798
factor(Any.treatment.for.CD)1,-2.511751695357328,2.9771747164779203,-0.8436695641190987,0.39970123064925034,Any.treatment.for.CD,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.39970123064925034,-8.347014139654052,3.323510748939396
factor(Any.Topical.Treatment)1,0.7671053391053351,4.958786083608901,0.15469619503067006,0.8771919361474378,Any.Topical.Treatment,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8771919361474378,-8.952115384768112,10.486326062978781
factor(Any.ORAL.aminosalicilate)1,2.5720727762803217,2.9300537043506365,0.8778244482212822,0.3809242782387915,Any.ORAL.aminosalicilate,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3809242782387915,-3.1708324842469255,8.314978036807569
factor(Any.systemic.steroids)1,0.7542570123940001,3.3338499633314203,0.2262420386909952,0.8212073552904562,Any.systemic.steroids,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8212073552904562,-5.7800889157355835,7.288602940523584
factor(Any.ORAL.immunosuppression)1,2.324344322344324,1.9694975361769913,1.1801712262388147,0.23911032519311942,Any.ORAL.immunosuppression,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.23911032519311942,-1.535870848562579,6.184559493251227
factor(Any.Biological.therapy)1,-4.475512605042022,10.35978548325603,-0.43200823147115885,0.6661265567697104,Any.Biological.therapy,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.6661265567697104,-24.780692152223843,15.829666942139797
Haemoglobin,-0.002235673448756839,0.04787414962146338,-0.04669896941113543,0.9627933249254189,Haemoglobin,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.9627933249254189,-0.09606900670682507,0.09159765980931138
White.Blood.Cell.Count,-0.28062976792091326,0.38668806909545006,-0.7257264714098087,0.46874107696707323,White.Blood.Cell.Count,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.46874107696707323,-1.0385383833479953,0.47727884750616884
factor(C.Reactive.Protein)>=10,-4.050629401088927,2.657384092906199,-1.5242920328686964,0.1287746839335856,C.Reactive.Protein,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3863240518007568,-9.259102223185078,1.1578434210072226
factor(C.Reactive.Protein)5-10,-0.0950335718932988,2.340535565224366,-0.040603344510250494,0.967646446394361,C.Reactive.Protein,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.967646446394361,-4.682483279733056,4.492416135946458
factor(C.Reactive.Protein)Unknown,-1.7982741379310327,7.390668500746422,-0.24331684444369486,0.807971316131745,C.Reactive.Protein,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.967646446394361,-16.28398439939402,12.687436123531954
factor(CRP.Elevated.over.reference.range)1,-2.6844005684602563,2.228725383210687,-1.2044555101683845,0.22963039595399154,CRP.Elevated.over.reference.range,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.22963039595399154,-7.0527023195532035,1.6839011826326904
Haematocrit.revised,-0.031287559894923836,0.21075831282818358,-0.14845231713555412,0.8821176031358271,Haematocrit.revised,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8821176031358271,-0.4443738530381636,0.381798733248316
Erythrocyte.Sedimentation.Rate,-0.02552801837556768,0.042395949959893243,-0.6021334207564001,0.5480322627159079,Erythrocyte.Sedimentation.Rate,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5480322627159079,-0.10862408029695844,0.057568043545823074
factor(History.of.bowel.resection.surgery)1,-1.3071066034615801,2.3725759366493366,-0.5509229792271845,0.5822032539465467,History.of.bowel.resection.surgery,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.5822032539465467,-5.95735543929428,3.343142232371119
factor(History.of.Cancer.in.last.5.years)1,-4.532646808510635,6.589831285726583,-0.6878244088476498,0.49223315282821833,History.of.Cancer.in.last.5.years,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.49223315282821833,-17.448716128534738,8.383422511513466
factor(Disease.location)2,0.34578409090909135,0.531484182683242,0.6506009062459237,0.5159370337545293,Disease.location,oleC,0.8403988679690564,-0.6959249071500629,1.3874930889682457
factor(Disease.location)3,0.14746430563301755,0.38864215688149556,0.3794346625087876,0.7047063055712719,Disease.location,oleC,0.8403988679690564,-0.6142743218547138,0.9092029331207487
