term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
factor(Disease.location)2,0.16947511363636386,0.1330142008496808,1.2741129334595447,0.2038766404997463,Disease.location,Coprococcus_eutactus,0.30581496074961945,-0.0912327200290105,0.43018294730173823
factor(Disease.location)3,-0.17100803820412702,0.09726521992263679,-1.758162253065835,0.0800161751837496,Disease.location,Coprococcus_eutactus,0.24004852555124878,-0.36164786925249515,0.019631792844241075
factor(Disease.location)4,-0.18117613636363625,0.5789918618628381,-0.3129165508142435,0.7546204095548903,Disease.location,Coprococcus_eutactus,0.7546204095548903,-1.316000185614799,0.9536479128875265
factor(Isolated.upper.disease)1,0.04751797836105008,0.12784433858335098,0.37168621534280666,0.7104571818414805,Isolated.upper.disease,Coprococcus_eutactus,0.7104571818414805,-0.20305692526231783,0.298092881984418
factor(Inflammatory)1,0.032674732824427455,0.07557565521129732,0.43234468471459736,0.6658823846067785,Inflammatory,Coprococcus_eutactus,0.6658823846067785,-0.11545355138971528,0.18080301703857019
factor(Stricturing)1,0.011562494736841893,0.09268838072934318,0.12474589205097043,0.9008300236407316,Stricturing,Coprococcus_eutactus,0.9008300236407316,-0.17010673149267075,0.19323172096635455
factor(Penetrating)1,-0.01797330965909084,0.08511660562499375,-0.21116102465689884,0.8329423165671559,Penetrating,Coprococcus_eutactus,0.8329423165671559,-0.18480185668407859,0.14885523736589693
factor(Perianal.disease.modifier)1,0.039278781512604936,0.0827794409503005,0.47449923630418467,0.6355790134072717,Perianal.disease.modifier,Coprococcus_eutactus,0.6355790134072717,-0.12296892274998403,0.20152648577519391
CDAI,-0.0010862021756398456,5.274921180800825e-4,-2.0591818122198773,0.04060299915434963,CDAI,Coprococcus_eutactus,0.04060299915434963,-0.002120086727076807,-5.231762420288412e-5
factor(Any.treatment.for.CD)1,0.23231950443401161,0.11817671460609674,1.965865316262788,0.050476754978490294,Any.treatment.for.CD,Coprococcus_eutactus,0.050476754978490294,6.931438060620021e-4,0.4639458650619612
factor(Any.Topical.Treatment)1,-0.1242533477633473,0.19797710061666723,-0.6276147462323565,0.5308580355862533,Any.Topical.Treatment,Coprococcus_eutactus,0.5308580355862533,-0.5122884649720151,0.2637817694453205
factor(Any.ORAL.aminosalicilate)1,0.15757282345013465,0.11681551962504305,1.3489031590658096,0.1786500777932626,Any.ORAL.aminosalicilate,Coprococcus_eutactus,0.1786500777932626,-0.07138559501494973,0.38653124191521904
factor(Any.systemic.steroids)1,-0.0815584670580562,0.1331151114929934,-0.6126912725633639,0.5406654722777979,Any.systemic.steroids,Coprococcus_eutactus,0.5406654722777979,-0.3424640855843233,0.1793471514682109
factor(Any.ORAL.immunosuppression)1,-0.2563872435897435,0.07715259877795898,-3.323118697888741,0.0010304652041903822,Any.ORAL.immunosuppression,Coprococcus_eutactus,0.0010304652041903822,-0.4076063371945431,-0.10516814998494392
factor(Any.Biological.therapy)1,-0.13219659663865546,0.41400426203926277,-0.3193121635692687,0.7497698988611674,Any.Biological.therapy,Coprococcus_eutactus,0.7497698988611674,-0.9436449502356105,0.6792517569582995
Haemoglobin,0.0026452126403170148,0.0019050646185316271,1.3885159666425773,0.1663116596529727,Haemoglobin,Coprococcus_eutactus,0.1663116596529727,-0.0010887140120049744,0.006379139292639004
White.Blood.Cell.Count,-0.012770810098957606,0.015447415806318086,-0.8267279303593464,0.40924441801336264,White.Blood.Cell.Count,Coprococcus_eutactus,0.40924441801336264,-0.04304774507934105,0.01750612488142584
factor(C.Reactive.Protein)>=10,-0.1383277168784028,0.10627883580540745,-1.3015546870655947,0.1943377543168676,C.Reactive.Protein,Coprococcus_eutactus,0.5830132629506027,-0.3466342350570014,0.06997880130019579
factor(C.Reactive.Protein)5-10,-1.163266102797923e-4,0.09360686537457094,-0.001242714514734657,0.9990095073350069,C.Reactive.Protein,Coprococcus_eutactus,0.9990095073350069,-0.18358578274443885,0.18335312952387925
factor(C.Reactive.Protein)Unknown,-0.15561613793103451,0.29558077290362994,-0.5264758475402289,0.5990520722173878,C.Reactive.Protein,Coprococcus_eutactus,0.8985781083260816,-0.7349544528221492,0.42372217696008013
factor(CRP.Elevated.over.reference.range)1,0.0025107252768791872,0.08940872867753406,0.0280814335917301,0.9776211364058036,CRP.Elevated.over.reference.range,Coprococcus_eutactus,0.9776211364058036,-0.17273038293108758,0.17775183348484594
Haematocrit.revised,0.013810633267009443,0.008234992157631512,1.6770669604355224,0.09490583503062687,Haematocrit.revised,Coprococcus_eutactus,0.09490583503062687,-0.0023299513619483205,0.029951217895967205
Erythrocyte.Sedimentation.Rate,-2.5235567914935243e-4,0.0015580408348406386,-0.1619698749263938,0.8715566231269953,Erythrocyte.Sedimentation.Rate,Coprococcus_eutactus,0.8715566231269953,-0.003306115715437004,0.0028014043571382994
factor(History.of.bowel.resection.surgery)1,-0.11697487928563535,0.09455441617835436,-1.2371170381401344,0.2172628723555135,History.of.bowel.resection.surgery,Coprococcus_eutactus,0.2172628723555135,-0.3023015349952099,0.06835177642393919
factor(History.of.Cancer.in.last.5.years)1,-0.09960608510638308,0.26348264283516437,-0.37803661005744876,0.7057403430695905,History.of.Cancer.in.last.5.years,Coprococcus_eutactus,0.7057403430695905,-0.6160320650633053,0.4168198948505391
factor(Disease.location)2,0.029932130681818197,0.02955084460416504,1.0129027133660815,0.31214396419478463,Disease.location,Lachnospiraceae_bacterium,0.39466660934791287,-0.02798752474234528,0.08785178610598167
factor(Disease.location)3,0.018426695482431706,0.02160874087851707,0.8527426741810356,0.39466660934791287,Disease.location,Lachnospiraceae_bacterium,0.39466660934791287,-0.02392643663946175,0.06077982760432516
factor(Disease.location)4,0.37232681818181823,0.12863061558607997,2.894542768728772,0.004152926346004102,Disease.location,Lachnospiraceae_bacterium,0.012458779038012305,0.12021081163310149,0.6244428247305349
factor(Isolated.upper.disease)1,0.005074732518533355,0.028292733423562266,0.17936522578292505,0.8578035407695908,Isolated.upper.disease,Lachnospiraceae_bacterium,0.8578035407695908,-0.05037902499164869,0.060528490028715395
factor(Inflammatory)1,0.044167156663631905,0.016481389930701425,2.679819896825426,0.007880605056272071,Inflammatory,Lachnospiraceae_bacterium,0.007880605056272071,0.011863632399457112,0.0764706809278067
factor(Stricturing)1,-0.024932326315789483,0.020444834552641133,-1.2194926914959379,0.22386440053463472,Stricturing,Lachnospiraceae_bacterium,0.22386440053463472,-0.0650042020389661,0.01513954940738714
factor(Penetrating)1,-0.03839507102272728,0.018669238719047982,-2.056595429547606,0.04081556375576115,Penetrating,Lachnospiraceae_bacterium,0.04081556375576115,-0.07498677891206132,-0.0018033631333932362
factor(Perianal.disease.modifier)1,-3.422605042016876e-4,0.018324167149643897,-0.018678093329242466,0.9851135530314779,Perianal.disease.modifier,Lachnospiraceae_bacterium,0.9851135530314779,-0.03625762811750372,0.03557310710910035
CDAI,-2.4842887461628925e-4,1.1636334188655212e-4,-2.1349410440488534,0.03382331863453503,CDAI,Lachnospiraceae_bacterium,0.03382331863453503,-0.00047650102471393137,-2.035672451864711e-5
factor(Any.treatment.for.CD)1,0.01198965571205007,0.02634738427009181,0.45506057030716734,0.6494804926086981,Any.treatment.for.CD,Lachnospiraceae_bacterium,0.6494804926086981,-0.039651217457329885,0.06363052888143002
factor(Any.Topical.Treatment)1,0.008042409812409832,0.04383692596202963,0.18346199319213105,0.8545917381910099,Any.Topical.Treatment,Lachnospiraceae_bacterium,0.8545917381910099,-0.07787796507316824,0.09396278469798791
factor(Any.ORAL.aminosalicilate)1,-0.017258820754716978,0.02592071552668306,-0.6658311857537483,0.5061638175086625,Any.ORAL.aminosalicilate,Lachnospiraceae_bacterium,0.5061638175086625,-0.06806342318701578,0.033545781677581814
factor(Any.systemic.steroids)1,-0.030364311806914547,0.029410063313788717,-1.0324463256996266,0.302911067534589,Any.systemic.steroids,Lachnospiraceae_bacterium,0.302911067534589,-0.08800803590194042,0.027279412288111336
factor(Any.ORAL.immunosuppression)1,-0.008840393772893754,0.017452680179510117,-0.5065350239599645,0.6129500322670945,Any.ORAL.immunosuppression,Lachnospiraceae_bacterium,0.6129500322670945,-0.043047646924733576,0.02536685937894607
