term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
factor(Disease.location)2,-4.4566394886363646e-5,2.0283146980844663e-5,-2.197213032496979,0.0289778026176885,Disease.location,ASPASN_PWY,0.0869334078530655,-8.43213629688192e-5,-4.811426803908105e-6
factor(Disease.location)3,5.515871026213071e-6,1.4831835542466117e-5,0.37189402555200773,0.7103054526764516,Disease.location,ASPASN_PWY,0.7103054526764516,-2.3554526637020517e-5,3.458626868944666e-5
factor(Disease.location)4,4.851438636363637e-5,8.828964847256034e-5,0.5494912167275672,0.5831879737465597,Disease.location,ASPASN_PWY,0.7103054526764516,-1.2453332464258188e-4,2.2156209736985466e-4
factor(Isolated.upper.disease)1,2.501158084552259e-7,1.9430747158210375e-5,0.012872166284637212,0.9897405644147608,Isolated.upper.disease,ASPASN_PWY,0.9897405644147608,-3.783414862163711e-5,3.833438023854756e-5
factor(Inflammatory)1,-8.423706422018355e-6,1.147475441244373e-5,-0.7341077742703858,0.4636056494456471,Inflammatory,ASPASN_PWY,0.4636056494456471,-3.091422507040807e-5,1.4066812226371356e-5
factor(Stricturing)1,-1.194854736842097e-6,1.408364491903151e-5,-0.08483987942833364,0.9324600107754408,Stricturing,ASPASN_PWY,0.9324600107754408,-2.8798798778143857e-5,2.640908930445966e-5
factor(Penetrating)1,1.5658038352272738e-5,1.2894242657440869e-5,1.2143433909425434,0.22582013835526638,Penetrating,ASPASN_PWY,0.22582013835526638,-9.614677256311365e-6,4.0930753960856844e-5
factor(Perianal.disease.modifier)1,-3.3464484033613446e-5,1.2395375315112992e-5,-2.69975560907882,0.007436985631471847,Perianal.disease.modifier,ASPASN_PWY,0.007436985631471847,-5.7759419651234905e-5,-9.169548415991984e-6
CDAI,3.6700538864224124e-7,7.615049243777961e-8,4.8194749225306825,2.6148574566429374e-6,CDAI,ASPASN_PWY,2.6148574566429374e-6,2.1775042346419322e-7,5.162603538202893e-7
factor(Any.treatment.for.CD)1,2.725896713615028e-6,1.810052040250375e-5,0.15059769846385018,0.8804206337443699,Any.treatment.for.CD,ASPASN_PWY,0.8804206337443699,-3.275112327529232e-5,3.820291670252238e-5
factor(Any.Topical.Treatment)1,-6.867935353535351e-5,2.9775251598883904e-5,-2.3065918790734212,0.02193733139547429,Any.Topical.Treatment,ASPASN_PWY,0.02193733139547429,-1.2703884666916596e-4,-1.0319860401541057e-5
factor(Any.ORAL.aminosalicilate)1,-3.2574851752021472e-6,1.7815827151972714e-5,-0.18284220807797025,0.8550774859192625,Any.ORAL.aminosalicilate,ASPASN_PWY,0.8550774859192625,-3.817650639306866e-5,3.166153604266437e-5
factor(Any.systemic.steroids)1,4.477802478799741e-5,2.0032740889010326e-5,2.235242048808308,0.026329832250957644,Any.systemic.steroids,ASPASN_PWY,0.026329832250957644,5.513852645537169e-6,8.404219693045765e-5
factor(Any.ORAL.immunosuppression)1,2.079839560439562e-5,1.1915696530995918e-5,1.7454620088967039,0.0821949990894311,Any.ORAL.immunosuppression,ASPASN_PWY,0.0821949990894311,-2.556369596356379e-6,4.415316080514762e-5
factor(Any.Biological.therapy)1,-9.858631932773114e-5,6.259336685557196e-5,-1.575028222322812,0.11657824302806376,Any.Biological.therapy,ASPASN_PWY,0.11657824302806376,-2.212693183646522e-4,2.4096679709189914e-5
Haemoglobin,-8.359761090491407e-7,2.81192145208709e-7,-2.972971056601367,0.0032603337967925927,Haemoglobin,ASPASN_PWY,0.0032603337967925927,-1.3871127136582103e-6,-2.8483950444007105e-7
White.Blood.Cell.Count,7.002493088290226e-6,2.2577001666240625e-6,3.101604540677804,0.002164270522761031,White.Blood.Cell.Count,ASPASN_PWY,0.002164270522761031,2.577400761707064e-6,1.1427585414873388e-5
factor(C.Reactive.Protein)>=10,5.7862903085299456e-5,1.5650593421881114e-5,3.697169910784422,2.711482945821004e-4,C.Reactive.Protein,ASPASN_PWY,8.134448837463012e-4,2.718773997841247e-5,8.853806619218644e-5
