term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
factor(Disease.location)2,-1.8102017045454546,0.5909635981896738,-3.063135716126559,0.002444505417279048,Disease.location,kpsF.1,0.0036667581259185724,-2.968490356997215,-0.651913052093694
factor(Disease.location)3,-0.8638061907417729,0.43213584697734414,-1.9989227850080675,0.04676370387341639,Disease.location,kpsF.1,0.04676370387341639,-1.7107924508173675,-0.016819930666178373
factor(Disease.location)4,17.689954545454547,2.5723803309969857,6.876881436345921,5.4341552394015226e-11,Disease.location,kpsF.1,1.6302465718204567e-10,12.648089096700456,22.73181999420864
factor(Isolated.upper.disease)1,0.11936645962732895,0.624375854805595,0.1911772511838959,0.8485497144242322,Isolated.upper.disease,kpsF.1,0.8485497144242322,-1.1044102157916371,1.343143135046295
factor(Inflammatory)1,-0.957579242243854,0.363912661768254,-2.631343569061242,0.009060438785311641,Inflammatory,kpsF.1,0.009060438785311641,-1.6708480593096318,-0.24431042517807622
factor(Stricturing)1,1.2452652631578942,0.4453406876174258,2.7962081565465478,0.005592930074592501,Stricturing,kpsF.1,0.005592930074592501,0.3723975154277397,2.118133010888049
factor(Penetrating)1,0.19264772727272722,0.4154615353458186,0.4636956995606648,0.6432895711777165,Penetrating,kpsF.1,0.6432895711777165,-0.6216568820050772,1.0069523365505317
factor(Perianal.disease.modifier)1,-0.6192554621848739,0.4023922543184661,-1.5389348466304607,0.12514863368407972,Perianal.disease.modifier,kpsF.1,0.12514863368407972,-1.4079442806490674,0.16943335627931955
CDAI,0.005569580316479095,0.002566377917294875,2.1702105052204415,0.03101499685434247,CDAI,kpsF.1,0.03101499685434247,5.394795985811402e-4,0.01059968103437705
factor(Any.treatment.for.CD)1,-0.01191757955138217,0.5817028106669172,-0.02048740238631264,0.983671726720043,Any.treatment.for.CD,kpsF.1,0.983671726720043,-1.1520550884585399,1.1282199293557755
factor(Any.Topical.Treatment)1,-1.2334227994227989,0.964179750939846,-1.2792456989689993,0.20205632530465462,Any.Topical.Treatment,kpsF.1,0.20205632530465462,-3.123215111264897,0.6563695124192992
factor(Any.ORAL.aminosalicilate)1,-0.44216846361185963,0.57184914078797,-0.7732257199907321,0.4401560822090088,Any.ORAL.aminosalicilate,kpsF.1,0.4401560822090088,-1.5629927795562808,0.6786558523325614
factor(Any.systemic.steroids)1,0.730060013046314,0.6487677160707048,1.125302623669316,0.26159434147780636,Any.systemic.steroids,kpsF.1,0.26159434147780636,-0.5415247104522676,2.0016447365448955
factor(Any.ORAL.immunosuppression)1,0.030456043956044076,0.38535907240379386,0.0790328972043276,0.9370728659626143,Any.ORAL.immunosuppression,kpsF.1,0.9370728659626143,-0.7248477379553919,0.78575982586748
factor(Any.Biological.therapy)1,-1.3570336134453778,2.020032630003463,-0.6717879668325216,0.502370254776247,Any.Biological.therapy,kpsF.1,0.502370254776247,-5.316297568252165,2.602230341361409
Haemoglobin,-0.013605976706849432,0.009290156298315219,-1.4645584282922013,0.1443951789963605,Haemoglobin,kpsF.1,0.1443951789963605,-0.03181468305154726,0.0046027296378483955
White.Blood.Cell.Count,0.15775642607925372,0.07473078603829805,2.110996477387601,0.035847620882509326,White.Blood.Cell.Count,kpsF.1,0.035847620882509326,0.011284085444189546,0.30422876671431787
factor(C.Reactive.Protein)>=10,0.8787894736842109,0.5177977687424179,1.6971673628848154,0.09098334645867608,C.Reactive.Protein,kpsF.1,0.27295003937602824,-0.1360941530509282,1.8936731004193499
factor(C.Reactive.Protein)5-10,-3.584905660375598e-4,0.4560590607020803,-7.860617120196699e-4,0.9993734775996537,C.Reactive.Protein,kpsF.1,0.9993734775996537,-0.894234249542115,0.8935172684100399
factor(C.Reactive.Protein)Unknown,0.09975000000000009,1.4400897745331882,0.06926651502149199,0.9448361326483478,C.Reactive.Protein,kpsF.1,0.9993734775996537,-2.7228259580850485,2.922325958085049
factor(CRP.Elevated.over.reference.range)1,0.6226044300695868,0.4340038270069576,1.434559769583796,0.15274766936059148,CRP.Elevated.over.reference.range,kpsF.1,0.15274766936059148,-0.22804307086405018,1.4732519310032237
Haematocrit.revised,-0.013645098161824262,0.040181196046298585,-0.33958914876754204,0.7344799317683774,Haematocrit.revised,kpsF.1,0.7344799317683774,-0.09240024241256949,0.06511004608892097
Erythrocyte.Sedimentation.Rate,0.026716711965155324,0.006974474992126167,3.8306413020789596,1.9021772716587874e-4,Erythrocyte.Sedimentation.Rate,kpsF.1,1.9021772716587874e-4,0.013046740980588037,0.04038668294972261
factor(History.of.bowel.resection.surgery)1,1.2526493220152122,0.4560028782195665,2.7470206479970036,0.006473942012244197,History.of.bowel.resection.surgery,kpsF.1,0.006473942012244197,0.3588836807048619,2.1464149633255625
factor(History.of.Cancer.in.last.5.years)1,-0.7744595744680849,1.285948641753933,-0.6022476709581362,0.5475826202502444,History.of.Cancer.in.last.5.years,kpsF.1,0.5475826202502444,-3.2949189123057936,1.7459997633696238
factor(Disease.location)2,-29.956991477272762,24.22095595480139,-1.236821186297327,0.2173828328513182,Disease.location,katA.1,0.6521484985539546,-77.43006514868348,17.51608219413796
