term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
Age.at.enrolment,0.15099336846263875,0.07449550684470119,2.0268788663645263,0.043231692116921,Age.at.enrolment,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.043231692116921,0.0049821750470244175,0.2970045618782531
Gender,-0.9814213275109175,2.007615016394599,-0.4888493657879764,0.6251730266275823,Gender,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.6251730266275823,-4.916346759644331,2.953504104622496
Smoking.status,-3.7121995620271897,1.4666731321005189,-2.53103399849611,0.011702715825287811,Smoking.status,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.011702715825287811,-6.586878900944207,-0.8375202231101726
factor(Region)HK,3.8800660130718994,2.4425183380472997,1.5885514358814863,0.11282566924693463,Region,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.22565133849386926,-0.9072699295008082,8.667401955644607
factor(Region)KM,2.1550804675716435,2.4301259783492237,0.8868184146714823,0.3756245029544242,Region,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.3756245029544242,-2.6079664499928352,6.918127385136122
BMI,0.05603543352944861,0.22497314260796117,0.24907610250658282,0.8034093515656263,BMI,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.8034093515656263,-0.3849119259821553,0.49698279304105253
Alcohol.Consumption,-1.604778749664343,1.0620385600449267,-1.5110362373249961,0.1314441681645779,Alcohol.Consumption,Enterococcus_faecium_liaR_mutant_conferring_daptomycin_resistance,0.1314441681645779,-3.6863743273523992,0.47681682802371306
Age.at.enrolment,-0.005136922048989666,0.014056111348594958,-0.36545826378240454,0.7149316962204815,Age.at.enrolment,oleC,0.7149316962204815,-0.03268690029223578,0.022413056194256452
Gender,-0.0563098340611357,0.3771441146121583,-0.14930588037690246,0.8813753794411487,Gender,oleC,0.8813753794411487,-0.795512298700966,0.6828926305786946
Smoking.status,-0.535098373243843,0.2749401907712577,-1.9462355494218355,0.052231019181654494,Smoking.status,oleC,0.052231019181654494,-1.073981147155508,0.003784400667822041
factor(Region)HK,-0.3753248366013062,0.4567861478073004,-0.8216642260343686,0.4116793801536377,Region,oleC,0.4116793801536377,-1.2706256863036152,0.5199760131010026
factor(Region)KM,0.7988722473604836,0.4544685978587289,1.7578161640307923,0.07942151533782277,Region,oleC,0.15884303067564554,-0.09188620444262507,1.689630699163592
BMI,0.009997142108171295,0.04225079366132748,0.23661430335027686,0.8130578106592321,BMI,oleC,0.8130578106592321,-0.07281441346803057,0.09280869768437315
Alcohol.Consumption,0.01801834926254861,0.20118156912330437,0.08956262415621755,0.9286725373850173,Alcohol.Consumption,oleC,0.9286725373850173,-0.37629752621912793,0.4123342247442252
Age.at.enrolment,-0.02698187810903759,0.10864805747374771,-0.2483420204319542,0.8039768926812638,Age.at.enrolment,basS,0.8039768926812638,-0.2399320707575831,0.1859683145395079
Gender,1.3899875109170265,2.9141601124306007,0.47697705592356276,0.63359690504677,Gender,basS,0.63359690504677,-4.321766309446951,7.101741331281004
Smoking.status,1.3689730390762822,2.1434862677415243,0.6386665777517181,0.5233556533227403,Smoking.status,basS,0.5233556533227403,-2.8322600456971054,5.57020612384967
factor(Region)HK,-4.757022875816989,3.5421981624739,-1.3429578633439991,0.17992561173766,Region,basS,0.17992561173766,-11.699731274265833,2.1856855226318554
factor(Region)KM,-6.183628959276003,3.5242264678227424,-1.7546060151736596,0.07997011206247068,Region,basS,0.15994022412494135,-13.091112836208577,0.7238549176565714
BMI,-0.5678208642160683,0.32551836716642574,-1.7443589102477957,0.08174198572590621,BMI,basS,0.08174198572590621,-1.2058368638622627,0.07019513543012623
Alcohol.Consumption,0.25085024217048696,1.5550724825227047,0.16131096459474803,0.8719170745013449,Alcohol.Consumption,basS,0.8719170745013449,-2.7970918235740143,3.2987923079149883
Age.at.enrolment,-0.22631649655271188,0.16124605623996677,-1.4035474840755617,0.16110566373752708,Age.at.enrolment,Escherichia_coli_UhpT_with_mutation_conferring_resistance_to_fosfomycin,0.16110566373752708,-0.5423587667830467,0.089725773677623
