term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
Age.at.enrolment,-1.980221958870434e-7,2.920977769644079e-7,-0.6779311980562331,0.4981447165126015,Age.at.enrolment,ASPASN_PWY,0.4981447165126015,-7.705338387372829e-7,3.744894469631961e-7
Gender,-9.267720436681228e-6,7.8280394607957e-6,-1.183913351880215,0.23703699744274154,Gender,ASPASN_PWY,0.23703699744274154,-2.46106777798408e-5,6.075236906478342e-6
Smoking.status,2.209857573516856e-6,5.589203141122784e-6,0.3953797200995865,0.6927447752773398,Smoking.status,ASPASN_PWY,0.6927447752773398,-8.7449805830838e-6,1.3164695730117514e-5
factor(Region)HK,3.5064694117647096e-5,8.97233942257257e-6,3.90808823275583,1.0651881521378007e-4,Region,ASPASN_PWY,1.0651881521378007e-4,1.747890884940486e-5,5.2650479385889335e-5
factor(Region)KM,7.168344449472096e-5,8.926817366207321e-6,8.030123341167519,7.699505207057622e-15,Region,ASPASN_PWY,1.5399010414115244e-14,5.418688245695461e-5,8.918000653248732e-5
BMI,-4.770251881049755e-6,8.506655422680317e-7,-5.607670281708344,3.480921881469314e-8,BMI,ASPASN_PWY,3.480921881469314e-8,-6.437556343895097e-6,-3.102947418204413e-6
Alcohol.Consumption,2.5946781007270082e-5,4.008493788108908e-6,6.472950284777921,2.3991426787568143e-10,Alcohol.Consumption,ASPASN_PWY,2.3991426787568143e-10,1.8090133182576625e-5,3.380342883196354e-5
Age.at.enrolment,-5.299877913142054e-7,3.749051671224379e-7,-1.4136582735898118,0.15811590759841776,Age.at.enrolment,FASYN_ELONG_PWY,0.15811590759841776,-1.2648019188741834e-6,2.0482633624577282e-7
Gender,1.6594586724890785e-6,1.008222734752952e-5,0.16459246705002153,0.8693344846394776,Gender,FASYN_ELONG_PWY,0.8693344846394776,-1.810170692866878e-5,2.1420624273646935e-5
Smoking.status,1.2536812923041921e-5,7.313311099229151e-6,1.7142458119091017,0.08715282742324952,Smoking.status,FASYN_ELONG_PWY,0.08715282742324952,-1.797276831447214e-6,2.6870902677531056e-5
factor(Region)HK,2.1051924183006564e-5,1.2150428698476876e-5,1.7326075240164605,0.08381316243139296,Region,FASYN_ELONG_PWY,0.08381316243139296,-2.7629160660081128e-6,4.486676443202124e-5
factor(Region)KM,4.0962899547511314e-5,1.2088782290107339e-5,3.3885050259390184,7.610968602657275e-4,Region,FASYN_ELONG_PWY,0.001522193720531455,1.726888625890093e-5,6.46569128361217e-5
BMI,-5.2001844903447365e-6,1.104281950712473e-6,-4.709109378261252,3.2687104637048387e-6,BMI,FASYN_ELONG_PWY,3.2687104637048387e-6,-7.3645771137411835e-6,-3.0357918669482895e-6
Alcohol.Consumption,2.159994540970074e-5,5.28179172481461e-6,4.089511009724431,5.0769058601449046e-5,Alcohol.Consumption,FASYN_ELONG_PWY,5.0769058601449046e-5,1.1247633629064103e-5,3.1952257190337375e-5
Age.at.enrolment,-3.423353547633019e-7,2.6300751773004914e-7,-1.3016181351693332,0.19367654382276348,Age.at.enrolment,GLYCOLYSIS_E_D,0.19367654382276348,-8.578300895141982e-7,1.7315937998759443e-7
Gender,-2.7972097816593944e-7,7.0761668290378505e-6,-0.039530014614419885,0.9684843631613375,Gender,GLYCOLYSIS_E_D,0.9684843631613375,-1.4149007963080126e-5,1.3589566006748247e-5
