term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
Age.at.enrolment,0.00722408863751254,0.004520112174640568,1.5982100351496227,0.11065980256798393,Age.at.enrolment,Coprococcus_eutactus,0.11065980256798393,-0.001635331224782973,0.016083508499808052
Gender,0.12381125572052405,0.12145151321292323,1.0194295027305573,0.3085158653086325,Gender,Coprococcus_eutactus,0.3085158653086325,-0.11423371017680549,0.3618562216178536
Smoking.status,0.010576231443035084,0.08950057266682514,0.11816942761256029,0.9059846612972957,Smoking.status,Coprococcus_eutactus,0.9059846612972957,-0.1648448909839422,0.18599735387001234
factor(Region)HK,-0.5137549542483665,0.14455800951941125,-3.5539708657885156,4.1732592321444887e-4,Region,Coprococcus_eutactus,4.1732592321444887e-4,-0.7970886529064125,-0.23042125559032045
factor(Region)KM,-0.6850489411764711,0.1438245800817291,-4.763086676750166,2.53505433257836e-6,Region,Coprococcus_eutactus,5.07010866515672e-6,-0.9669451181366602,-0.40315276421628204
BMI,0.04260422613968433,0.013481456736452194,3.1602093877947004,0.0016769992352206513,BMI,Coprococcus_eutactus,0.0016769992352206513,0.01618057093623803,0.06902788134313062
Alcohol.Consumption,-0.1750603569901243,0.0643648469683564,-2.719813147014689,0.0067712747538666365,Alcohol.Consumption,Coprococcus_eutactus,0.0067712747538666365,-0.3012154570481028,-0.04890525693214576
Age.at.enrolment,4.245764074530118e-4,4.577066287983263e-4,0.9276169072921331,0.3540764344253742,Age.at.enrolment,Lachnospiraceae_bacterium,0.3540764344253742,-4.7252858499170774e-4,0.0013216813998977314
Gender,0.011979755807860261,0.012281045174520158,0.9754671233288035,0.32982303064439367,Gender,Lachnospiraceae_bacterium,0.32982303064439367,-0.012091092734199246,0.03605060434991977
Smoking.status,0.011126081849724129,0.008990338300342475,1.2375598646049053,0.21650653573800152,Smoking.status,Lachnospiraceae_bacterium,0.21650653573800152,-0.006494981218947123,0.028747144918395383
factor(Region)HK,-0.02919737908496736,0.01488095258982131,-1.962063846970294,0.050337290140410974,Region,Lachnospiraceae_bacterium,0.050337290140410974,-0.05836404616101712,-3.071200891759454e-5
factor(Region)KM,-0.03753568099547515,0.01480545259693671,-2.5352606244027545,0.011555389013906452,Region,Lachnospiraceae_bacterium,0.023110778027812903,-0.0665543680854711,-0.008516993905479196
BMI,0.0030211302143637146,0.001368959364482241,2.206880856179648,0.027798948871380118,BMI,Lachnospiraceae_bacterium,0.027798948871380118,3.3796985997852245e-4,0.005704290568748906
Alcohol.Consumption,-0.011373834200240672,0.006536149763202473,-1.7401428382613913,0.08248158373130017,Alcohol.Consumption,Lachnospiraceae_bacterium,0.08248158373130017,-0.024184687736117517,0.0014370193356361746
Age.at.enrolment,4.8410665189156356e-4,0.001231853745900444,0.3929903639150748,0.6945025369378155,Age.at.enrolment,Blautia_SGB4815,0.6945025369378155,-0.0019303266900733067,0.0028985399938564337
Gender,0.005162930829694307,0.03318701971011388,0.15557078866352322,0.8764371636488281,Gender,Blautia_SGB4815,0.8764371636488281,-0.0598836278021289,0.07020948946151752
Smoking.status,-0.0443003409931176,0.024129689318967834,-1.8359267045470846,0.06700957791507588,Smoking.status,Blautia_SGB4815,0.06700957791507588,-0.09159453205829456,0.002993850072059351
factor(Region)HK,-0.10446797385620908,0.03956030165614777,-2.6407274333807944,0.008544721307302154,Region,Blautia_SGB4815,0.017089442614604308,-0.1820061651022587,-0.026929782610159464
factor(Region)KM,0.08586271870286576,0.039359588531398294,2.1814943170549292,0.029635399392044844,Region,Blautia_SGB4815,0.029635399392044844,0.008717925181325095,0.1630075122244064
BMI,0.002405047639137876,0.003716914513645462,0.6470548704600316,0.5179083349536595,BMI,Blautia_SGB4815,0.5179083349536595,-0.00488010480760723,0.00969020008588298
Alcohol.Consumption,0.004946841291310702,0.017629025792107476,0.28060775165042895,0.7791334451233816,Alcohol.Consumption,Blautia_SGB4815,0.7791334451233816,-0.029606049261219954,0.039499731843841354
Age.at.enrolment,0.0013637056209518412,0.0023473025554296887,0.5809671266268469,0.5615375765559618,Age.at.enrolment,Collinsella_SGB14861,0.5615375765559618,-0.0032370073876903487,0.0059644186295940305
Gender,0.030588525589519668,0.0629786348084845,0.4856968666046533,0.627405126798999,Gender,Collinsella_SGB14861,0.627405126798999,-0.09284959863510994,0.15402664981414926
Smoking.status,-0.010314027643478786,0.04634792640207832,-0.22253482397469862,0.8239956997529886,Smoking.status,Collinsella_SGB14861,0.8239956997529886,-0.10115596339155229,0.08052790810459472
factor(Region)HK,-0.14764111764705906,0.07614264899830604,-1.9390068455635638,0.0530911458899754,Region,Collinsella_SGB14861,0.0530911458899754,-0.2968807096837389,0.0015984743896207687
factor(Region)KM,-0.2162036855203622,0.07575633169617856,-2.8539355150860395,0.004506423924163405,Region,Collinsella_SGB14861,0.00901284784832681,-0.3646860956448722,-0.06772127539585224
BMI,0.01449007301655407,0.007026284841538619,2.0622666662886138,0.03972445493854953,BMI,Collinsella_SGB14861,0.03972445493854953,7.18554727138377e-4,0.028261591305969763
Alcohol.Consumption,-0.1067971914688361,0.03324570961115757,-3.212360112566043,0.0014058983973329069,Alcohol.Consumption,Collinsella_SGB14861,0.0014058983973329069,-0.17195878230670492,-0.04163560063096726
Age.at.enrolment,7.734512635808472e-4,4.438971177262322e-4,1.7424110963880222,0.08208237838925322,Age.at.enrolment,GGB9760_SGB15373,0.08208237838925322,-9.658708716256783e-5,0.0016434896143242622
Gender,-0.008874065327510908,0.011940478806923968,-0.7431917489242619,0.45773147001976533,Gender,GGB9760_SGB15373,0.45773147001976533,-0.03227740378908188,0.014529273134060067
Smoking.status,-0.021414327114498612,0.00864393879498077,-2.4773806967413,0.013590912270072033,Smoking.status,GGB9760_SGB15373,0.013590912270072033,-0.03835644715266093,-0.004472207076336301
factor(Region)HK,-0.05281704575163404,0.014355766674576267,-3.679151866209404,2.607363372190773e-4,Region,GGB9760_SGB15373,5.214726744381546e-4,-0.08095434843380353,-0.024679743069464556
factor(Region)KM,-0.03640954072398192,0.014282931264662733,-2.5491644571631054,0.011110768269644428,Region,GGB9760_SGB15373,0.011110768269644428,-0.06440408600272088,-0.008414995445242962
BMI,0.0027024585537976874,0.0013326907822545728,2.027821149348551,0.04313500906656079,BMI,GGB9760_SGB15373,0.04313500906656079,9.03846205787249e-5,0.0053145324870166495
Alcohol.Consumption,-0.024530002386895948,0.006272318111814062,-3.910835188778627,1.0538146301992843e-4,Alcohol.Consumption,GGB9760_SGB15373,1.0538146301992843e-4,-0.03682374588605151,-0.012236258887740386
Age.at.enrolment,0.001251313529597037,0.004507082868335012,0.27763268751685766,0.7814148776265153,Age.at.enrolment,GGB79734_SGB15291,0.7814148776265153,-0.007582568892339587,0.01008519595153366
Gender,0.0800112111790394,0.12086731033513563,0.6619756074424737,0.5083065261322175,Gender,GGB79734_SGB15291,0.5083065261322175,-0.15688871707782645,0.3169111394359052
Smoking.status,-0.05210251350890176,0.08868414950590782,-0.5875064912860316,0.5571499949882952,Smoking.status,GGB79734_SGB15291,0.5571499949882952,-0.22592344654048108,0.12171841952267758
factor(Region)HK,0.030680908496732634,0.14256238924709,0.21521039776877124,0.8296954618091078,Region,GGB79734_SGB15291,0.8296954618091078,-0.24874137442756375,0.31010319142102905
factor(Region)KM,0.7344904132730018,0.14183908478732515,5.1783358188915525,3.3100258414394344e-7,Region,GGB79734_SGB15291,6.620051682878869e-7,0.4564858070898445,1.012495019456159
BMI,-0.021035372304903523,0.013513330541920788,-1.5566386272908816,0.12022090392597538,BMI,GGB79734_SGB15291,0.12022090392597538,-0.04752150016706827,0.005450755557261221
Alcohol.Consumption,0.15641150394335093,0.06410706405925982,2.4398481858218615,0.015058173412189175,Alcohol.Consumption,GGB79734_SGB15291,0.015058173412189175,0.030761658387201685,0.2820613494995002
Age.at.enrolment,0.003932693831171789,0.004055996008406066,0.969600025005268,0.33273831001292664,Age.at.enrolment,Oscillibacter_sp_ER4,0.33273831001292664,-0.0040170583453041,0.011882446007647677
Gender,0.047090765589519516,0.10889651300168345,0.43243593657394275,0.6656200356109737,Gender,Oscillibacter_sp_ER4,0.6656200356109737,-0.16634639989378003,0.2605279310728191
Smoking.status,0.0599320917467721,0.08009846060316539,0.7482302568047564,0.4547011755051681,Smoking.status,Oscillibacter_sp_ER4,0.4547011755051681,-0.09706089103543206,0.21692507452897627
factor(Region)HK,-0.6249744248366014,0.12732877238812013,-4.908351923252439,1.2638436153904055e-6,Region,Oscillibacter_sp_ER4,1.2638436153904055e-6,-0.8745388187173169,-0.37541003095588593
factor(Region)KM,-0.7680403800904975,0.1266827571984821,-6.062706536195441,2.7274003470068966e-9,Region,Oscillibacter_sp_ER4,5.454800694013793e-9,-1.0163385841995223,-0.5197421759814725
BMI,0.02756506162028173,0.0121382931526277,2.2709174406711736,0.023597848591742843,BMI,Oscillibacter_sp_ER4,0.023597848591742843,0.003774007041131438,0.05135611619943202
