term,estimate,std.error,statistic,p.value,metadata_var,feature_name,fdr,conf.low,conf.high
Age.at.enrolment,0.0013083441425837965,0.007519651132105153,0.17399000559983704,0.8619472874040714,Age.at.enrolment,kpsF.1,0.8619472874040714,-0.013430172076342303,0.016046860361509895
Gender,-0.13176492576419221,0.20164455183531094,-0.6534514548739632,0.5137801323549517,Gender,kpsF.1,0.5137801323549517,-0.5269882473614016,0.2634583958330172
Smoking.status,0.16221133610147323,0.1481898430269166,1.0946184487961825,0.274252940081826,Smoking.status,kpsF.1,0.274252940081826,-0.1282407562312833,0.4526634284342298
factor(Region)HK,-0.5116156862745103,0.2448759884342716,-2.0892848234968353,0.037212511769068486,Region,kpsF.1,0.07442502353813697,-0.9915726236056825,-0.03165874894333792
factor(Region)KM,-0.16485588235294113,0.2436335857538785,-0.6766549933697584,0.49895355165897914,Region,kpsF.1,0.49895355165897914,-0.642377710430543,0.3126659457246607
BMI,-0.03964647604210144,0.02252767730196164,-1.759900743901776,0.07906691882047587,BMI,kpsF.1,0.07906691882047587,-0.08380072355394624,0.00450777146974337
Alcohol.Consumption,0.10584181344419138,0.10750683788591363,0.9845123856820236,0.32536484605129734,Alcohol.Consumption,kpsF.1,0.32536484605129734,-0.10487158881219932,0.3165552157005821
Age.at.enrolment,0.014220463777227797,0.26349421873605594,0.0539687885580235,0.9569826739983169,Age.at.enrolment,katA.1,0.9569826739983169,-0.5022282049454418,0.5306691324998973
Gender,0.0981111266375455,7.0709483216124545,0.013875243061481222,0.9889353143662096,Gender,katA.1,0.9889353143662096,-13.760947583722864,13.957169836997956
Smoking.status,1.4040042659689624,5.168502325587907,0.271646248279333,0.7860151158064063,Smoking.status,katA.1,0.7860151158064063,-8.726260292183335,11.534268824121261
factor(Region)HK,-8.622116339869281,8.612183855089205,-1.0011533061703284,0.3172613572536669,Region,katA.1,0.3592402052984177,-25.50199669584412,8.25776401610556
factor(Region)KM,-7.863310407239813,8.568489083813281,-0.917700930738697,0.3592402052984177,Region,katA.1,0.3592402052984177,-24.657549011513844,8.93092819703422
BMI,-0.7337325156681176,0.7914970238372792,-0.9270186666159377,0.35438662996823234,BMI,katA.1,0.35438662996823234,-2.2850666823891848,0.8176016510529496
Alcohol.Consumption,2.0056060577430017,3.7701804490741853,0.5319655344972953,0.5949985783329952,Alcohol.Consumption,katA.1,0.5949985783329952,-5.383947622442402,9.395159737928406
Age.at.enrolment,0.010930854360648065,0.024425838489784378,0.44751193967075803,0.6547090481120901,Age.at.enrolment,flhB,0.6547090481120901,-0.03694378907932932,0.058805497800625446
Gender,-0.21920040174672437,0.6553251404877336,-0.33449106131283446,0.73815605809406315,Gender,flhB,0.73815605809406315,-1.5036376771026823,1.0652368736092335
