term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
hb,-4.7597258250076804e-7,2.980423811064782e-7,-1.596996308826035,0.11165154412157809,hb,ASPASN_PWY,0.11165154412157809
wbc,5.443379468881304e-6,2.20828902564851e-6,2.4649760088730877,0.014444036069730857,wbc,ASPASN_PWY,0.014444036069730857
factor(crp).52,-9.295036446316192e-5,7.966691009148662e-5,-1.1667374115102627,0.24407193547722478,crp,ASPASN_PWY,0.7205784460436814
factor(crp).6,9.675247626219262e-5,8.008599079742878e-5,1.208107376818505,0.22778174432894052,crp,ASPASN_PWY,0.7034436221923164
factor(crp).7,-4.176623030044681e-5,8.016241156316495e-5,-0.5210201325784293,0.602666115855801,crp,ASPASN_PWY,0.948300259806324
factor(crp).72,4.6814081888974954e-05,7.951588877225531e-5,0.5887387113669454,0.5563977522830295,crp,ASPASN_PWY,0.9203647818134106
factor(crp).8,8.372840308662523e-5,3.738367669826304e-5,2.2397048787476677,0.025706702121298077,crp,ASPASN_PWY,0.2866824167198293
factor(crp).9,1.580759373156943e-5,5.6945774859681665e-5,0.27759028251912343,0.7814827707487461,crp,ASPASN_PWY,0.9592165662123945
factor(crp)<0.6,3.0266034649297908e-5,2.002456847241266e-5,1.5114450376793216,0.13153331641584035,crp,ASPASN_PWY,0.6273597292262622
factor(crp)<1,3.0095611398605953e-4,7.960086256320032e-5,3.780814733598029,1.8233123451572134e-4,crp,ASPASN_PWY,0.00957238981207537
factor(crp)<5,4.4675993591480625e-5,1.9281637623301374e-5,2.3170227790968756,0.02105078126774812,crp,ASPASN_PWY,0.28182707455583655
factor(crp)0,5.327805166404676e-5,1.5830136491860453e-5,3.365609114706073,8.442306592416737e-4,crp,ASPASN_PWY,0.02954807307345858
factor(crp)1,4.7483499006560756e-5,3.6141192150226244e-5,1.3138332241279846,0.18972077103219281,crp,ASPASN_PWY,0.7028216201253593
factor(crp)1.1,5.2945898129631195e-5,4.680354496667094e-5,1.1312369216334843,0.25869204330575485,crp,ASPASN_PWY,0.7205784460436814
factor(crp)1.2,1.319192189338929e-4,7.978705061097774e-5,1.653391345133171,0.09910400729007351,crp,ASPASN_PWY,0.6027957419090556
factor(crp)1.3,-3.320087521684703e-5,7.988683192736176e-5,-0.41559884671650765,0.6779457991222301,crp,ASPASN_PWY,0.9592165662123945
factor(crp)1.4,8.223301638706546e-5,7.979008950288959e-5,1.0306169212166054,0.3033973684667905,crp,ASPASN_PWY,0.7769932607076342
factor(crp)1.5,1.243946341577214e-4,7.98168024392101e-5,1.5585018486860904,0.11997387613790932,crp,ASPASN_PWY,0.6153790290875208
factor(crp)1.6,8.966850371162456e-5,7.992517305188758e-5,1.1219056560992566,0.2626340497268808,crp,ASPASN_PWY,0.7205784460436814
factor(crp)1.7,2.8435403174687664e-5,5.672919253284072e-5,0.5012481564624124,0.61649618725887,crp,ASPASN_PWY,0.9519426420909023
factor(crp)1.8,-1.0808942888104417e-5,7.978716232217148e-5,-0.135472205972925,0.8923126086138742,crp,ASPASN_PWY,0.9592165662123945
factor(crp)10,9.64597375883802e-5,5.6939879484123086e-5,1.6940629039314474,0.09109943168409172,crp,ASPASN_PWY,0.6027957419090556
factor(crp)10.25,3.1172962566039895e-5,7.955806378205894e-5,0.39182656143360894,0.6954131707990054,crp,ASPASN_PWY,0.9592165662123945
factor(crp)10.8,7.165194448857601e-5,7.979263967027313e-5,0.8979768658445579,0.3697850074670973,crp,ASPASN_PWY,0.9029633903266329
factor(crp)11,-1.5437077433368846e-8,4.60543228548373e-5,-3.3519280007712494e-4,0.9997327364713083,crp,ASPASN_PWY,0.9997327364713083
factor(crp)11.4,-9.936272015856035e-6,7.978146051719053e-5,-0.12454362143088449,0.9009528661381345,crp,ASPASN_PWY,0.9592165662123945
factor(crp)113.2,4.799771773657898e-5,8.009013822168159e-5,0.5992962280040776,0.549344129584109,crp,ASPASN_PWY,0.9203647818134106
factor(crp)12,9.830419723936423e-5,7.983266381840528e-5,1.23137814194671,0.21896780569073832,crp,ASPASN_PWY,0.7034436221923164
factor(crp)12.31,1.353328650837795e-4,7.954920230187388e-5,1.7012472930931146,0.08974125882296992,crp,ASPASN_PWY,0.6027957419090556
factor(crp)13,3.860467144749668e-5,5.6578484634181404e-5,0.6823207036579768,0.4954654336937182,crp,ASPASN_PWY,0.9203647818134106
factor(crp)13.5,8.256089121539044e-5,7.993231860745504e-5,1.0328849788637338,0.3023360391520813,crp,ASPASN_PWY,0.7769932607076342
factor(crp)14,1.3404795564121323e-4,7.988980585130141e-5,1.677910644703733,0.09421355365952569,crp,ASPASN_PWY,0.6027957419090556
factor(crp)14.3,1.0038085965370925e-4,7.957363459506574e-5,1.2614839093944534,0.20793359284915977,crp,ASPASN_PWY,0.7034436221923164
factor(crp)15,-2.671060963164342e-5,7.967941366759567e-5,-0.3352259812437123,0.7376456353280553,crp,ASPASN_PWY,0.9592165662123945
factor(crp)16,1.6296328882367309e-4,4.037898619809184e-5,4.035843991332653,6.62058020644656e-5,crp,ASPASN_PWY,0.0069516092167688885
factor(crp)19,1.1890395141983934e-4,7.987075770056195e-5,1.4887044375566598,0.13742165497337172,crp,ASPASN_PWY,0.6273597292262622
factor(crp)2,2.603572662909687e-5,7.951065716194402e-5,0.3274495213398674,0.7435141112129817,crp,ASPASN_PWY,0.9592165662123945
factor(crp)2.1,3.4117513184350015e-5,5.689196348603552e-5,0.599689500833002,0.5490822364161703,crp,ASPASN_PWY,0.9203647818134106
