term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
factor(cd_site1)2,-4.4259774917940625e-5,1.936726968595476e-5,-2.285287272580194,0.023199227296662073,cd_site1,ASPASN_PWY,0.06959768188998622
factor(cd_site1)3,-1.3587736312071556e-5,1.4614935197693816e-5,-0.929715809770792,0.35348459588173076,cd_site1,ASPASN_PWY,0.46524806735896684
factor(cd_site1)4,6.141545733374387e-5,8.396503722361533e-5,0.731440839717399,0.46524806735896684,cd_site1,ASPASN_PWY,0.46524806735896684
factor(cd_site_l4)1,2.398118313196757e-6,1.8562437670402202e-5,0.12919199276399757,0.8973167077733515,cd_site_l4,ASPASN_PWY,0.8973167077733515
factor(cd_perianal)1,-1.8664405523103083e-5,1.2204807374437702e-5,-1.5292667020861512,0.12754900132697214,cd_perianal,ASPASN_PWY,0.12754900132697214
cdai,2.562940357362238e-7,7.82995898578923e-8,3.2732487641554395,0.001229887064207343,cdai,ASPASN_PWY,0.001229887064207343
factor(cd_act)Mild Act,6.049613892123845e-5,1.5564150958702904e-5,3.886889755936942,1.1613646790087474e-4,cd_act,ASPASN_PWY,1.1613646790087474e-4
factor(cd_act)Moderate,9.093028698105143e-5,2.086289290044292e-5,4.358469720137468,1.6099472979709566e-5,cd_act,ASPASN_PWY,2.4653184805499062e-5
factor(cd_act)Remission,3.511706023756246e-5,8.065909985101498e-6,4.353762973108677,1.6435456536999375e-5,cd_act,ASPASN_PWY,2.4653184805499062e-5
factor(cd_behaviour___1)1,-2.9773686659757325e-5,1.1542195831304925e-5,-2.5795513345047105,0.010504576964392378,cd_behaviour___1,ASPASN_PWY,0.010504576964392378
factor(cd_behaviour___2)1,1.7312184837724804e-5,1.3630015906949337e-5,1.270151477145239,0.20529219098795057,cd_behaviour___2,ASPASN_PWY,0.20529219098795057
factor(cd_behaviour___3)1,3.0137199220860813e-5,1.2657874006740905e-5,2.380905293006658,0.01807150002125512,cd_behaviour___3,ASPASN_PWY,0.01807150002125512
factor(cd_site1)2,-7.779938560207786e-5,2.8078721101458457e-5,-2.7707595841335104,0.00604578335788376,cd_site1,FASYN_ELONG_PWY,0.01813735007365128
factor(cd_site1)3,-4.0838458531416176e-5,2.1188773429924128e-5,-1.9273630286565582,0.0551554924888358,cd_site1,FASYN_ELONG_PWY,0.0827332387332537
factor(cd_site1)4,1.4068836408547998e-4,1.2173274295783869e-4,1.155715057979154,0.2489865439952127,cd_site1,FASYN_ELONG_PWY,0.2489865439952127
factor(cd_site_l4)1,8.137267253054726e-6,2.712441168128184e-5,0.29999792617327564,0.7644450647525473,cd_site_l4,FASYN_ELONG_PWY,0.7644450647525473
factor(cd_perianal)1,-1.8675168968792324e-5,1.7884393103883883e-5,-1.0442159742472172,0.29746300821492333,cd_perianal,FASYN_ELONG_PWY,0.29746300821492333
cdai,3.968519364650861e-7,1.1428170282519328e-7,3.472576332469562,6.175797253257215e-4,cdai,FASYN_ELONG_PWY,6.175797253257215e-4
factor(cd_act)Mild Act,1.2045706106106385e-4,2.0197658871939104e-5,5.963912046678666,4.8456902278315634e-9,cd_act,FASYN_ELONG_PWY,4.8456902278315634e-9
factor(cd_act)Moderate,1.6322978085063242e-4,2.7073856775292013e-5,6.029055343145578,3.3389686716915887e-9,cd_act,FASYN_ELONG_PWY,4.8456902278315634e-9
factor(cd_act)Remission,6.582320386832013e-5,1.0467162571418826e-5,6.2885431862933014,7.333687864561653e-10,cd_act,FASYN_ELONG_PWY,2.200106359368496e-9
factor(cd_behaviour___1)1,-6.773175690007561e-5,1.6523915543117496e-5,-4.099013743040286,5.724528855946434e-5,cd_behaviour___1,FASYN_ELONG_PWY,5.724528855946434e-5
factor(cd_behaviour___2)1,5.624101921079127e-5,1.9647531139256278e-5,2.8624980315425104,0.0045842610718847335,cd_behaviour___2,FASYN_ELONG_PWY,0.0045842610718847335
factor(cd_behaviour___3)1,4.186107730783327e-5,1.8520906131623025e-5,2.2602067636614547,0.024728449146039697,cd_behaviour___3,FASYN_ELONG_PWY,0.024728449146039697
factor(cd_site1)2,-3.503749996194895e-5,1.87944188378742e-5,-1.8642502470649402,0.06354958507458075,cd_site1,GLYCOLYSIS_E_D,0.19064875522374225
factor(cd_site1)3,-1.6706144377865602e-5,1.4182650308889232e-5,-1.1779282442996373,0.2400320780301552,cd_site1,GLYCOLYSIS_E_D,0.2400320780301552
factor(cd_site1)4,1.12891127099957e-4,8.148149444434861e-5,1.3854817939926345,0.1672357221321845,cd_site1,GLYCOLYSIS_E_D,0.2400320780301552
factor(cd_site_l4)1,-1.1047830162943184e-5,1.7992339533435357e-5,-0.6140296620354948,0.5397922175433604,cd_site_l4,GLYCOLYSIS_E_D,0.5397922175433604
factor(cd_perianal)1,-1.703839233249101e-5,1.1845836150873301e-5,-1.4383444203923843,0.15167244457808382,cd_perianal,GLYCOLYSIS_E_D,0.15167244457808382
cdai,1.0974720038807447e-7,7.594820984522964e-8,1.4450268230379857,0.14983544991255177,cdai,GLYCOLYSIS_E_D,0.14983544991255177
factor(cd_act)Mild Act,5.798363424589025e-5,1.4777240791485076e-5,3.923847155505614,1.0015922194517376e-4,cd_act,GLYCOLYSIS_E_D,1.5023883291776064e-4
factor(cd_act)Moderate,7.542030929035187e-5,1.980808287036189e-5,3.807552188869349,1.5894106671476772e-4,cd_act,GLYCOLYSIS_E_D,1.5894106671476772e-4
factor(cd_act)Remission,4.2614085674240165e-5,7.658104471522162e-6,5.564573561604858,4.420848211007814e-8,cd_act,GLYCOLYSIS_E_D,1.3262544633023442e-7
factor(cd_behaviour___1)1,-4.462034634748824e-5,1.0973320670967285e-5,-4.066257396955758,6.529537928630767e-5,cd_behaviour___1,GLYCOLYSIS_E_D,6.529537928630767e-5
factor(cd_behaviour___2)1,4.1144815792113595e-5,1.2991558038419097e-5,3.167042449445916,0.0017448773462262934,cd_behaviour___2,GLYCOLYSIS_E_D,0.0017448773462262934
factor(cd_behaviour___3)1,2.4668149424626083e-5,1.2321317151141339e-5,2.00207081126396,0.046431421246683216,cd_behaviour___3,GLYCOLYSIS_E_D,0.046431421246683216
factor(cd_site1)2,-6.620695071437999e-5,2.1484918712582914e-5,-3.0815546290898954,0.0023080904191511123,cd_site1,HOMOSER_METSYN_PWY,0.006924271257453337
factor(cd_site1)3,-3.388694680727945e-5,1.6212956178321477e-5,-2.090115240833751,0.03769665088180453,cd_site1,HOMOSER_METSYN_PWY,0.056544976322706796
factor(cd_site1)4,9.939646844107203e-5,9.314591208262207e-5,1.0671049992285826,0.28703358998682815,cd_site1,HOMOSER_METSYN_PWY,0.28703358998682815
factor(cd_site_l4)1,-1.5501273946208026e-5,2.0804229982707245e-5,-0.7451020277651657,0.45695775614235135,cd_site_l4,HOMOSER_METSYN_PWY,0.45695775614235135
factor(cd_perianal)1,-1.845613939098404e-5,1.3709791654742437e-5,-1.3462013031102311,0.17954025864793974,cd_perianal,HOMOSER_METSYN_PWY,0.17954025864793974
cdai,1.8684502679895223e-7,8.814488805145919e-8,2.1197488694962283,0.035117889113878364,cdai,HOMOSER_METSYN_PWY,0.035117889113878364
factor(cd_act)Mild Act,7.490608737981679e-5,1.5853436189060764e-5,4.7249117785268355,3.045470529084633e-6,cd_act,HOMOSER_METSYN_PWY,4.568205793626949e-6
factor(cd_act)Moderate,8.811164784110377e-5,2.1250663925964958e-5,4.146300941376483,4.0093632050360316e-5,cd_act,HOMOSER_METSYN_PWY,4.0093632050360316e-5
factor(cd_act)Remission,4.931169079043903e-5,8.215828129321316e-6,6.002035341325052,3.8982741063146746e-9,cd_act,HOMOSER_METSYN_PWY,1.1694822318944024e-8
factor(cd_behaviour___1)1,-6.333618964251063e-5,1.2464173146223973e-5,-5.08145938759671,7.65972224055226e-7,cd_behaviour___1,HOMOSER_METSYN_PWY,7.65972224055226e-7
factor(cd_behaviour___2)1,5.371820597884981e-5,1.4939126667994153e-5,3.595806312690061,3.944093285272968e-4,cd_behaviour___2,HOMOSER_METSYN_PWY,3.944093285272968e-4
factor(cd_behaviour___3)1,4.304950883545301e-5,1.4095698865559825e-5,3.0540882893459327,0.002518791379349216,cd_behaviour___3,HOMOSER_METSYN_PWY,0.002518791379349216
factor(cd_site1)2,-7.992910129421417e-5,2.6410430548549964e-5,-3.026421744518004,0.0027538552978380497,cd_site1,MET_SAM_PWY,0.00826156589351415
factor(cd_site1)3,-4.2663585846864965e-5,1.9929847483363663e-5,-2.14068802495745,0.03334220598169345,cd_site1,MET_SAM_PWY,0.05001330897254017
