term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
factor(breast_fed)2,-2.5519885387016623e-5,9.832554913675928e-6,-2.5954480408262417,0.009741619200802432,breast_fed,ASPASN_PWY,0.009741619200802432
factor(baby_food)2,1.3377536137247254e-5,1.1568708665366244e-5,1.1563551753443475,0.2481245868498314,baby_food,ASPASN_PWY,0.2481245868498314
factor(family_food)2,-1.6494700488212057e-5,1.8882632245246852e-5,-0.8735381949920734,0.3828158908302034,family_food,ASPASN_PWY,0.3828158908302034
factor(age_4_12_months_3)2,9.771176279583416e-7,9.295042419618867e-6,0.10512244956472262,0.9163233029352325,age_4_12_months_3,ASPASN_PWY,0.9163233029352325
factor(age_1_5_years_3)2,4.654563319390096e-6,9.155763745535591e-6,0.5083752102777543,0.6114277500811562,age_1_5_years_3,ASPASN_PWY,0.6114277500811562
factor(age5_10_years_3)2,5.969987085596273e-6,8.997283062716431e-6,0.6635322067764124,0.5073137058261368,age5_10_years_3,ASPASN_PWY,0.5073137058261368
factor(age_10_18_years_3)2,-3.3440093820011016e-6,8.880352173887037e-6,-0.3765626989247419,0.7066678297082278,age_10_18_years_3,ASPASN_PWY,0.7066678297082278
factor(age_1_5_years_5)2,-5.7550640446836926e-6,9.702961672245002e-6,-0.5931244746792993,0.5533825395962766,age_1_5_years_5,ASPASN_PWY,0.5533825395962766
factor(age_5_10_years_5)2,4.228777238933804e-6,8.50353343735705e-6,0.49729647917373665,0.6192115641250242,age_5_10_years_5,ASPASN_PWY,0.6192115641250242
factor(age_10_18_years_5)2,1.9276709844298673e-5,8.287159415580788e-6,2.3260937647773856,0.020437095573324033,age_10_18_years_5,ASPASN_PWY,0.020437095573324033
factor(age_1_5_years_6)2,2.1742541947342367e-6,8.92869177454047e-6,0.24351318755721507,0.8077136694357929,age_1_5_years_6,ASPASN_PWY,0.8077136694357929
factor(age_5_10_years_6)2,-3.2063726092710196e-6,9.294324315086266e-6,-0.34498178679503716,0.7302617367947354,age_5_10_years_6,ASPASN_PWY,0.7302617367947354
factor(age_10_18_years_6)2,-6.745219244385564e-8,9.78374854662471e-6,-0.006894309693509644,0.9945020932036077,age_10_18_years_6,ASPASN_PWY,0.9945020932036077
factor(age_1_5_years_7)2,-7.4772044680296714e-6,9.310663151803143e-6,-0.8030796889673324,0.42233288486126863,age_1_5_years_7,ASPASN_PWY,0.42233288486126863
factor(age_5_10_years_7)2,-6.3812572662763496e-6,1.0374710009669033e-5,-0.6150781333000285,0.5387995422913017,age_5_10_years_7,ASPASN_PWY,0.5387995422913017
factor(age_10_18_years_7)2,4.750797856035796e-6,1.171277506888139e-5,0.4056082207757715,0.6852142829120855,age_10_18_years_7,ASPASN_PWY,0.6852142829120855
factor(age_1_5_years_8)2,9.866630116605693e-6,9.472622372970441e-6,1.0415943682880813,0.2981341275822784,age_1_5_years_8,ASPASN_PWY,0.2981341275822784
factor(age_5_10_years_8)2,1.2373237945136086e-5,8.597481667285065e-6,1.4391700295469592,0.15076657720879144,age_5_10_years_8,ASPASN_PWY,0.15076657720879144
factor(age_10_18_years_8)2,1.519226653163684e-5,8.512601454136011e-6,1.7846796438772996,0.07495954783233655,age_10_18_years_8,ASPASN_PWY,0.07495954783233655
factor(age_1_5_yers_9)2,9.371857001310824e-6,8.97141762454253e-6,1.0446350168420249,0.2967263889440673,age_1_5_yers_9,ASPASN_PWY,0.2967263889440673
factor(age_5_10_years_9)2,1.6403724026225708e-5,8.673117550750641e-6,1.8913296090176939,0.0591923671725424,age_5_10_years_9,ASPASN_PWY,0.0591923671725424
factor(age_10_18_years_9)2,2.009379012117426e-5,8.97469698513758e-6,2.2389380002968675,0.025625146704757667,age_10_18_years_9,ASPASN_PWY,0.025625146704757667
factor(age_1_5_years_10)2,1.6254291402101408e-6,1.1596101301598739e-5,0.14017031223985987,0.8885852221538333,age_1_5_years_10,ASPASN_PWY,0.8885852221538333
factor(age_5_10_years_10)2,5.048209861774428e-6,9.129846381463808e-6,0.5529348086320197,0.5805698258107961,age_5_10_years_10,ASPASN_PWY,0.5805698258107961
factor(age_10_18_years_10)2,1.549714542958692e-5,9.34137730979971e-6,1.6589786404762186,0.09778438433064733,age_10_18_years_10,ASPASN_PWY,0.09778438433064733
factor(age_1_5_years_11)2,7.585343251362036e-6,1.005901348072445e-5,0.754084211726868,0.45117548112825046,age_1_5_years_11,ASPASN_PWY,0.45117548112825046
factor(age_5_10_years_11)2,1.543312192782655e-5,8.839227945906026e-6,1.7459807601154294,0.08146490204994888,age_5_10_years_11,ASPASN_PWY,0.08146490204994888
factor(age_10_18_years_11)2,1.8201133974502767e-5,9.425432463055147e-6,1.9310661920124859,0.05407335349558124,age_10_18_years_11,ASPASN_PWY,0.05407335349558124
factor(age_1_5_years_12)2,7.59320034514001e-6,8.171063308267093e-6,0.9292793432964314,0.3532193332635346,age_1_5_years_12,ASPASN_PWY,0.3532193332635346
factor(age_5_10_years_12)2,7.842591673385085e-6,8.929896600292678e-6,0.8782399197240474,0.3802603693231753,age_5_10_years_12,ASPASN_PWY,0.3802603693231753
factor(age_10_18_years_12)2,1.2240224828740702e-5,9.697938921960807e-6,1.2621470321928854,0.20751917197769637,age_10_18_years_12,ASPASN_PWY,0.20751917197769637
factor(breast_fed)2,-1.8369893981704927e-5,1.3358830023288126e-5,-1.3751124873721077,0.16975029938866196,breast_fed,FASYN_ELONG_PWY,0.16975029938866196
factor(baby_food)2,1.526058158824801e-5,1.5644190502931895e-5,0.9754791457818164,0.3298255054748296,baby_food,FASYN_ELONG_PWY,0.3298255054748296
factor(family_food)2,-3.0956169479242875e-5,2.549606758042329e-5,-1.2141546684247115,0.22529837978355843,family_food,FASYN_ELONG_PWY,0.22529837978355843
factor(age_4_12_months_3)2,1.4142658972274716e-5,1.2556879183388375e-5,1.1262877316669724,0.26061605645742586,age_4_12_months_3,FASYN_ELONG_PWY,0.26061605645742586
factor(age_1_5_years_3)2,1.5037366699562917e-5,1.2369229122305037e-5,1.2157076686732653,0.2247039883662578,age_1_5_years_3,FASYN_ELONG_PWY,0.2247039883662578
factor(age5_10_years_3)2,1.1108800055294891e-5,1.2165743488662312e-5,0.9131213448358151,0.3616448967860273,age5_10_years_3,FASYN_ELONG_PWY,0.3616448967860273
