term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
p80,-5.366066181852036e-13,1.7693528707963315e-12,-0.303278462449208,0.761812716350491,p80,ASPASN_PWY,0.761812716350491
cmc,-3.26278041558844e-14,5.914908723428337e-13,-0.05516197405827932,0.956033014014166,cmc,ASPASN_PWY,0.956033014014166
crn,-7.894928802199029e-13,1.2726201973458878e-12,-0.6203680264280178,0.5353181287013168,crn,ASPASN_PWY,0.5353181287013168
alsio,2.1991755924561796e-11,4.346064041995099e-10,0.050601545932273666,0.959664666322694,alsio,ASPASN_PWY,0.959664666322694
so32,1.6772948628449019e-10,1.1532331877824682e-10,1.4544281942407005,0.14649938684187958,so32,ASPASN_PWY,0.14649938684187958
tio2,-1.6534845561754984e-11,5.728799578534105e-11,-0.2886267067835867,0.7729951227300166,tio2,ASPASN_PWY,0.7729951227300166
asp,5.595432894063384e-12,4.281554956422244e-11,0.13068693385963318,0.8960792449903683,asp,ASPASN_PWY,0.8960792449903683
suc,2.4248657387036426e-11,6.729108295119511e-11,0.36035469074889903,0.7187448308029039,suc,ASPASN_PWY,0.7187448308029039
sac,1.152290045315222e-10,8.951089543511032e-11,1.2873181970909437,0.1986210377123299,sac,ASPASN_PWY,0.1986210377123299
totalad,-7.819631536302926e-14,3.2922988764616645e-13,-0.23751280882211173,0.8123631462069241,totalad,ASPASN_PWY,0.8123631462069241
totalas,1.0644380665438658e-11,2.1631352857911005e-11,0.49208113497837935,0.6228932198604932,totalas,ASPASN_PWY,0.6228932198604932
totalem,-8.192379265957062e-14,3.301058824161982e-13,-0.24817428898852803,0.8041086475452689,totalem,ASPASN_PWY,0.8041086475452689
p80mgkgday,-1.0131132157500147e-8,5.224038990528719e-8,-0.19393293533735256,0.8463129016253736,p80mgkgday,ASPASN_PWY,0.8463129016253736
cmcmgkgday,9.523105015878614e-10,1.7466314696875393e-8,0.054522692285981965,0.9565420963801907,cmcmgkgday,ASPASN_PWY,0.9565420963801907
crnmgkgday,-2.1642163846369702e-8,3.756293787199481e-8,-0.5761573793860544,0.5647869652223135,crnmgkgday,ASPASN_PWY,0.5647869652223135
alsiomgkgday,5.37011656158496e-6,1.0219757613379065e-5,0.5254641807311301,0.5995104790253485,alsiomgkgday,ASPASN_PWY,0.5995104790253485
so32mgkgday,5.530776524758949e-6,3.011878362791009e-6,1.836321344542533,0.06694698415329976,so32mgkgday,ASPASN_PWY,0.06694698415329976
tio2mgkgday,1.054224107095542e-7,9.590054562384355e-7,0.10992889563220926,0.9125130899503945,tio2mgkgday,ASPASN_PWY,0.9125130899503945
aspmgkgday,7.386437509259003e-7,1.0916986138903028e-6,0.6766004293929803,0.4989951985115676,aspmgkgday,ASPASN_PWY,0.4989951985115676
sucmgkgday,1.6821781973309762e-6,1.7216413456543866e-6,0.9770781827335758,0.32903739607360527,sucmgkgday,ASPASN_PWY,0.32903739607360527
sacmgkgday,4.084170617103686e-6,2.3030369339266365e-6,1.7733847672778087,0.07681803309433656,sacmgkgday,ASPASN_PWY,0.07681803309433656
totaladmgkgday,-1.2496510654697222e-9,9.731079636611108e-9,-0.12841854266284874,0.8978731598457776,totaladmgkgday,ASPASN_PWY,0.8978731598457776
totalasmgkgday,6.037824776079654e-7,5.55687456333763e-7,1.086550489355144,0.27779722539919804,totalasmgkgday,ASPASN_PWY,0.27779722539919804
totalemmgkgday,-1.516726573405636e-9,9.761091419818339e-9,-0.15538493680390747,0.8765851411952565,totalemmgkgday,ASPASN_PWY,0.8765851411952565
p80,-1.1654936937209253e-12,2.3940181518118306e-12,-0.4868357797700328,0.6266031197702104,p80,FASYN_ELONG_PWY,0.6266031197702104
cmc,-2.195026475074699e-13,8.003775336012979e-13,-0.27424888667204084,0.7840146297402927,cmc,FASYN_ELONG_PWY,0.7840146297402927
crn,-1.6576405543778626e-12,1.7211837229688155e-12,-0.9630817049086722,0.33600493616312377,crn,FASYN_ELONG_PWY,0.33600493616312377
alsio,5.880456917692498e-11,5.88129631819857e-10,0.09998572762770896,0.9203985638551754,alsio,FASYN_ELONG_PWY,0.9203985638551754
so32,2.271238446936614e-10,1.5606168523114015e-10,1.4553466109075546,0.14624519075046305,so32,FASYN_ELONG_PWY,0.14624519075046305
tio2,2.343786563590532e-10,7.676997944897207e-11,3.052998815960885,0.0023949734240918613,tio2,FASYN_ELONG_PWY,0.0023949734240918613
asp,9.841546425814787e-11,5.776226571827212e-11,1.703802006973833,0.08908332028357516,asp,FASYN_ELONG_PWY,0.08908332028357516
suc,1.7004031278524324e-10,9.073427029142708e-11,1.87404728377817,0.06154804682138224,suc,FASYN_ELONG_PWY,0.06154804682138224
sac,4.192801209554346e-10,1.1978488068671534e-10,3.5002758157101423,5.093671789150054e-4,sac,FASYN_ELONG_PWY,5.093671789150054e-4
totalad,-1.9406676962885247e-13,4.454691674575897e-13,-0.4356457950534328,0.6632950271615479,totalad,FASYN_ELONG_PWY,0.6632950271615479
totalas,6.712028740771324e-11,2.911517519758898e-11,2.305336888828732,0.02158518982041815,totalas,FASYN_ELONG_PWY,0.02158518982041815
totalem,-2.2039668409166078e-13,4.4663124327445495e-13,-0.49346454689518215,0.6219163626529958,totalem,FASYN_ELONG_PWY,0.6219163626529958
p80mgkgday,-2.3375887587244535e-8,7.069834777442433e-8,-0.33064262918603793,0.7410630510646282,p80mgkgday,FASYN_ELONG_PWY,0.7410630510646282
cmcmgkgday,-3.2324053060862164e-9,2.363906094797392e-8,-0.13674000474047016,0.891295362290816,cmcmgkgday,FASYN_ELONG_PWY,0.891295362290816
crnmgkgday,-4.550318429737644e-8,5.081326399686812e-8,-0.8954981577286795,0.3709831722768968,crnmgkgday,FASYN_ELONG_PWY,0.3709831722768968
alsiomgkgday,1.1533150439106796e-5,1.3825519647346026e-5,0.8341929079910368,0.404599696477993,alsiomgkgday,FASYN_ELONG_PWY,0.404599696477993
so32mgkgday,7.137980640224838e-6,4.077708457597532e-6,1.7504882250533256,0.08069216369250104,so32mgkgday,FASYN_ELONG_PWY,0.08069216369250104
tio2mgkgday,4.313886279832593e-6,1.2824891041451305e-6,3.3636825965146135,8.325506676666922e-4,tio2mgkgday,FASYN_ELONG_PWY,8.325506676666922e-4
aspmgkgday,3.161064437997762e-6,1.470994261198067e-6,2.148930503252405,0.032154367274233916,aspmgkgday,FASYN_ELONG_PWY,0.032154367274233916
sucmgkgday,5.3612610609824816e-6,2.3192495568977198e-6,2.311636126020791,0.021233034414047943,sucmgkgday,FASYN_ELONG_PWY,0.021233034414047943
sacmgkgday,1.1772912481351072e-5,3.0795853247628445e-6,3.8228888762020876,1.4980932710295495e-4,sacmgkgday,FASYN_ELONG_PWY,1.4980932710295495e-4
totaladmgkgday,-3.706950714447078e-9,1.3169462837160405e-8,-0.2814807832546623,0.778466613029444,totaladmgkgday,FASYN_ELONG_PWY,0.778466613029444
totalasmgkgday,2.0616031543737475e-6,7.46956532794918e-7,2.760004182117214,0.006007873805696113,totalasmgkgday,FASYN_ELONG_PWY,0.006007873805696113
totalemmgkgday,-4.896337259324553e-9,1.3209363235523598e-8,-0.37067171006070604,0.7110504977923974,totalemmgkgday,FASYN_ELONG_PWY,0.7110504977923974
p80,-5.645923502210132e-14,1.6868911518192874e-12,-0.03346940018104361,0.9733145673187265,p80,GLYCOLYSIS_E_D,0.9733145673187265
cmc,3.6893166399082175e-14,5.638684997441945e-13,0.06542867071989159,0.9478606958853084,cmc,GLYCOLYSIS_E_D,0.9478606958853084
crn,-4.4859568962465406e-13,1.2135132410782567e-12,-0.3696669096301399,0.7117982608301829,crn,GLYCOLYSIS_E_D,0.7117982608301829
alsio,-1.1310227240453637e-10,4.1427909597670203e-10,-0.2730098465091199,0.7849663316650108,alsio,GLYCOLYSIS_E_D,0.7849663316650108
so32,1.0283017109870668e-10,1.1008383098680934e-10,0.9341078537776195,0.3507309867311824,so32,GLYCOLYSIS_E_D,0.3507309867311824
tio2,8.585937195210783e-12,5.461616879067272e-11,0.15720504358550097,0.8751511968840664,tio2,GLYCOLYSIS_E_D,0.8751511968840664
asp,4.518740231420774e-11,4.0763285926196406e-11,1.1085318881314274,0.26820274008945255,asp,GLYCOLYSIS_E_D,0.26820274008945255
suc,9.944115848831958e-11,6.39923880409645e-11,1.5539529236612122,0.1208730482923964,suc,GLYCOLYSIS_E_D,0.1208730482923964
sac,2.113399491986842e-10,8.492088921374447e-11,2.488668585025588,0.013169593274570034,sac,GLYCOLYSIS_E_D,0.013169593274570034
totalad,-1.1570865073671335e-14,3.138739068795999e-13,-0.03686469254072097,0.9706086444560427,totalad,GLYCOLYSIS_E_D,0.9706086444560427
totalas,3.4123006914983965e-11,2.0566022305213598e-11,1.6591933242401278,0.09774821678058442,totalas,GLYCOLYSIS_E_D,0.09774821678058442
totalem,-2.0634934121091018e-14,3.1470979725887003e-13,-0.06556813388341194,0.947749718747214,totalem,GLYCOLYSIS_E_D,0.947749718747214
p80mgkgday,4.243294164815282e-9,4.9791552198328195e-8,0.08522116659294977,0.9321221640289106,p80mgkgday,GLYCOLYSIS_E_D,0.9321221640289106
cmcmgkgday,2.893051868113801e-9,1.6646529576390736e-8,0.17379309331939843,0.8621035420936266,cmcmgkgday,GLYCOLYSIS_E_D,0.8621035420936266
crnmgkgday,-1.1330873058797381e-8,3.5809862092464714e-8,-0.31641766811444044,0.7518271944648363,crnmgkgday,GLYCOLYSIS_E_D,0.7518271944648363
alsiomgkgday,-6.542418721153341e-7,9.743213843299313e-6,-0.06714846688552104,0.9464923096259679,alsiomgkgday,GLYCOLYSIS_E_D,0.9464923096259679
so32mgkgday,3.2867616487719746e-6,2.8769403957441392e-6,1.1424503801448527,0.2538534987316434,so32mgkgday,GLYCOLYSIS_E_D,0.2538534987316434
tio2mgkgday,2.56240291608217e-8,9.140321203568603e-7,0.028034057655235856,0.9776469891846864,tio2mgkgday,GLYCOLYSIS_E_D,0.9776469891846864
aspmgkgday,1.4575955998235676e-6,1.0388087419276808e-6,1.403141445574244,0.16124060097509266,aspmgkgday,GLYCOLYSIS_E_D,0.16124060097509266
