term,estimate,std.error,statistic,p.value,metadata_var,pathway,fdr
protein_g,3.3517918898460485e-9,2.098330658400283e-8,0.15973611577506924,0.8731609417086728,protein_g,ASPASN_PWY,0.8731609417086728
total_fat_g,4.921656960130908e-9,4.4296312243576826e-8,0.11110760040401718,0.9115807807497062,total_fat_g,ASPASN_PWY,0.9115807807497062
sfa_g,-6.816108539279663e-9,1.638928876484787e-7,-0.04158880008203292,0.9668450298931528,sfa_g,ASPASN_PWY,0.9668450298931528
mufa_g,2.1548260974566633e-7,9.786040403112722e-8,2.2019386888810115,0.028178545815189183,mufa_g,ASPASN_PWY,0.028178545815189183
pufa_g,3.875904276986976e-7,3.8877146411191415e-7,0.9969621319406391,0.31932106115364745,pufa_g,ASPASN_PWY,0.31932106115364745
omega3fa_g,5.727602688267209e-8,2.2268773931032228e-8,2.5720332452994263,0.010434472682679306,omega3fa_g,ASPASN_PWY,0.010434472682679306
omega6fa_g,-4.89447821028912e-7,3.5782811509423073e-7,-1.3678294141309169,0.1720604988023899,omega6fa_g,ASPASN_PWY,0.1720604988023899
cholesterol_mg,-5.935515111994634e-10,4.186313919218317e-9,-0.14178380375982252,0.8873145134400962,cholesterol_mg,ASPASN_PWY,0.8873145134400962
alcohol_g,-1.1364073017255533e-6,4.4635553219723276e-7,-2.5459688964343448,0.011232839621455512,alcohol_g,ASPASN_PWY,0.011232839621455512
fiber_g,-2.047972993083183e-7,1.2832471648508985e-7,-1.595930269069512,0.11121107291272633,fiber_g,ASPASN_PWY,0.11121107291272633
b1_mg,1.4942386240790478e-6,9.703451537861224e-7,1.5399042477295648,0.12428968860914207,b1_mg,ASPASN_PWY,0.12428968860914207
b2_mg,9.672126464235202e-7,7.853943129822145e-7,1.2314994270214725,0.21878217901610542,b2_mg,ASPASN_PWY,0.21878217901610542
b3_mg,2.6952641727907526e-7,1.6650836654462382e-7,1.6186959422657172,0.10621645045978799,b3_mg,ASPASN_PWY,0.10621645045978799
b6_mg,3.906538976087854e-7,1.4487213811994503e-7,2.696542638760177,0.007270363526597128,b6_mg,ASPASN_PWY,0.007270363526597128
b12_mcg,2.3590667203009227e-7,9.598902394292932e-8,2.4576421588613253,0.01436302960397074,b12_mcg,ASPASN_PWY,0.01436302960397074
vitaminc_mg,-3.4365523492137824e-8,4.941243216518074e-8,-0.6954833426789714,0.4871130397138935,vitaminc_mg,ASPASN_PWY,0.4871130397138935
vitaminetocoa_mg,-3.78315244509365e-7,4.530206135987503e-7,-0.8350949893958834,0.40411133707793256,vitaminetocoa_mg,ASPASN_PWY,0.40411133707793256
bcarotene_mcg,-1.8577436246402707e-9,1.5975049072409553e-9,-1.1629032350509474,0.2454892028149574,bcarotene_mcg,ASPASN_PWY,0.2454892028149574
folicacid_mcg_dfe,6.038991271079913e-8,2.6437697340990908e-8,2.284234966907132,0.02304461436531219,folicacid_mcg_dfe,ASPASN_PWY,0.02304461436531219
folate_mcg,3.0502009617733063e-9,1.6750591411208947e-8,0.18209512051808582,0.8555904429698861,folate_mcg,ASPASN_PWY,0.8555904429698861
iron_mg,-5.4989291088516836e-8,7.2184732469153975e-08,-0.7617856187527591,0.4466196212580559,iron_mg,ASPASN_PWY,0.4466196212580559
zinc_mg,2.639403633188405e-7,1.7334800127820718e-7,1.5226040183482772,0.12861756995391949,zinc_mg,ASPASN_PWY,0.12861756995391949
selenium_mcg,1.391492146875278e-8,2.4200421848420827e-8,0.5749867318804933,0.5656118544065432,selenium_mcg,ASPASN_PWY,0.5656118544065432
magnesium_mg,6.9058220178686525e-9,8.686351959521998e-9,0.7950198253593069,0.4270248380227206,magnesium_mg,ASPASN_PWY,0.4270248380227206
caffeine_mg,-5.897907601318286e-9,2.275431867501874e-8,-0.2591994814502363,0.7956556145879781,caffeine_mg,ASPASN_PWY,0.7956556145879781
vitd_iu,-2.2314242104544127e-7,1.4976508097275423e-7,-1.4899495903590243,0.137958989944587,vitd_iu,ASPASN_PWY,0.137958989944587
protein_g,-1.8395796564043216e-8,2.857449514273348e-8,-0.6437837824309307,0.5200450794565881,protein_g,FASYN_ELONG_PWY,0.5200450794565881
total_fat_g,1.7485914195260428e-8,6.034286520173833e-8,0.2897760014676383,0.7721216744823739,total_fat_g,FASYN_ELONG_PWY,0.7721216744823739
sfa_g,3.3719702247674245e-8,2.2327647126213013e-7,0.15102219260750846,0.8800261863128,sfa_g,FASYN_ELONG_PWY,0.8800261863128
mufa_g,3.076104808779616e-7,1.3325076305555842e-7,2.308508212817547,0.021425339526909778,mufa_g,FASYN_ELONG_PWY,0.021425339526909778
pufa_g,9.444481843534584e-8,5.302165753333768e-7,0.17812498293921328,0.8587053374981574,pufa_g,FASYN_ELONG_PWY,0.8587053374981574
omega3fa_g,7.03325591691766e-8,3.046147175583481e-8,2.3089022005545283,0.021407364177665682,omega3fa_g,FASYN_ELONG_PWY,0.021407364177665682
omega6fa_g,-4.805166650336027e-7,4.894501875172547e-7,-0.9817478413299473,0.32676115371978753,omega6fa_g,FASYN_ELONG_PWY,0.32676115371978753
cholesterol_mg,-2.1088884682234987e-9,5.702539793036479e-9,-0.36981565140478595,0.7116946053713482,cholesterol_mg,FASYN_ELONG_PWY,0.7116946053713482
alcohol_g,-2.1988849194221454e-6,6.035220480317551e-7,-3.643421025948083,3.006752982741229e-4,alcohol_g,FASYN_ELONG_PWY,3.006752982741229e-4
fiber_g,-1.768281774904067e-7,1.7506701436031203e-7,-1.0100599369705932,0.3130130064995822,fiber_g,FASYN_ELONG_PWY,0.3130130064995822
b1_mg,3.669142514694948e-6,1.3140722688786686e-6,2.792192333398772,0.005459220268106635,b1_mg,FASYN_ELONG_PWY,0.005459220268106635
b2_mg,2.469658941053148e-6,1.0654322170865092e-6,2.317987856427492,0.02089953658833675,b2_mg,FASYN_ELONG_PWY,0.02089953658833675
b3_mg,5.270237170676974e-7,2.2614068501417135e-7,2.3305126056139382,0.02022215577587139,b3_mg,FASYN_ELONG_PWY,0.02022215577587139
b6_mg,6.262605587417802e-7,1.9675148318113883e-7,3.183002987404241,0.001559048476092776,b6_mg,FASYN_ELONG_PWY,0.001559048476092776
b12_mcg,3.6011489675360557e-7,1.305465376132381e-7,2.7585174094811693,0.006044084839385267,b12_mcg,FASYN_ELONG_PWY,0.006044084839385267
vitaminc_mg,-1.2639187286512746e-8,6.735138866144607e-8,-0.187660381436913,0.8512278532761087,vitaminc_mg,FASYN_ELONG_PWY,0.8512278532761087
vitaminetocoa_mg,6.84831821048486e-7,6.167448277235673e-7,1.1103973479213936,0.267426131383839,vitaminetocoa_mg,FASYN_ELONG_PWY,0.267426131383839
bcarotene_mcg,-3.357237039473228e-9,2.175404819366505e-9,-1.543270020175317,0.12347289814417532,bcarotene_mcg,FASYN_ELONG_PWY,0.12347289814417532
folicacid_mcg_dfe,6.254507433561417e-8,3.564464216619816e-8,1.7546837486539761,0.0803175323983729,folicacid_mcg_dfe,FASYN_ELONG_PWY,0.0803175323983729
folate_mcg,2.0544672413119082e-8,2.280059117821101e-8,0.9010587599479545,0.36804120954754393,folate_mcg,FASYN_ELONG_PWY,0.36804120954754393
iron_mg,-2.700431586919245e-8,9.815871184915537e-8,-0.27510870263549425,0.7833693106580757,iron_mg,FASYN_ELONG_PWY,0.7833693106580757
zinc_mg,1.0101506146167632e-7,2.36183986142061e-7,0.4276964882831528,0.6690934192624878,zinc_mg,FASYN_ELONG_PWY,0.6690934192624878
selenium_mcg,8.595997346506252e-9,3.2899171655717924e-8,0.26128309358245666,0.7940038200544496,selenium_mcg,FASYN_ELONG_PWY,0.7940038200544496
magnesium_mg,1.2272424682452003e-9,1.1846621539053131e-8,0.10359430021458173,0.9175378765298866,magnesium_mg,FASYN_ELONG_PWY,0.9175378765298866
caffeine_mg,-7.712055325862024e-9,3.0395536171267555e-8,-0.25372328628807395,0.7998797342915505,caffeine_mg,FASYN_ELONG_PWY,0.7998797342915505
vitd_iu,-1.4107683401933993e-7,2.108437024364404e-7,-0.6691062260295303,0.5042709548908542,vitd_iu,FASYN_ELONG_PWY,0.5042709548908542
protein_g,-1.0400541099136451e-08,2.020381849958606e-8,-0.5147809608044904,0.6069599654663583,protein_g,GLYCOLYSIS_E_D,0.6069599654663583
total_fat_g,3.0177871986014996e-8,4.2638946800234494e-8,0.7077536911828467,0.4794662581109014,total_fat_g,GLYCOLYSIS_E_D,0.4794662581109014
sfa_g,1.0466179836789092e-7,1.577695969787247e-7,0.6633838228160309,0.5074259680897772,sfa_g,GLYCOLYSIS_E_D,0.5074259680897772
mufa_g,2.754713335529607e-7,9.386088628198744e-8,2.9348895420117675,0.0035081779355925747,mufa_g,GLYCOLYSIS_E_D,0.0035081779355925747
pufa_g,2.850807613154847e-7,3.7460247807029814e-7,0.7610220914288406,0.447044246449249,pufa_g,GLYCOLYSIS_E_D,0.447044246449249
omega3fa_g,4.9429785903514144e-8,2.1537678517214332e-8,2.295037780604191,0.022196534184858594,omega3fa_g,GLYCOLYSIS_E_D,0.022196534184858594
omega6fa_g,-1.3989136748923427e-7,3.461166952426838e-7,-0.4041739951063262,0.6862802657562188,omega6fa_g,GLYCOLYSIS_E_D,0.6862802657562188
cholesterol_mg,-1.178760515158978e-9,4.031583663845679e-9,-0.29238150896627374,0.7701303024622924,cholesterol_mg,GLYCOLYSIS_E_D,0.7701303024622924
alcohol_g,-1.272029204633391e-6,4.2876915012129277e-7,-2.966699456510693,0.0031719219353759003,alcohol_g,GLYCOLYSIS_E_D,0.0031719219353759003
fiber_g,-1.827603324975077e-7,1.235258369984844e-7,-1.4795312214702911,0.1397027799341933,fiber_g,GLYCOLYSIS_E_D,0.1397027799341933
b1_mg,1.4805526830106174e-6,9.34403940418263e-7,1.584488912095003,0.11378810719624174,b1_mg,GLYCOLYSIS_E_D,0.11378810719624174
b2_mg,9.86308394717259e-7,7.562655431602196e-7,1.3041826427735361,0.19284096876847778,b2_mg,GLYCOLYSIS_E_D,0.19284096876847778
b3_mg,2.356146652298838e-7,1.6044833853480918e-7,1.4684768155375278,0.14267651913206478,b3_mg,GLYCOLYSIS_E_D,0.14267651913206478
b6_mg,4.372891393567174e-7,1.391298812527365e-7,3.1430281936513658,0.0017831039248362736,b6_mg,GLYCOLYSIS_E_D,0.0017831039248362736
b12_mcg,2.3349093828041253e-7,9.241294774017527e-8,2.5266041608897356,0.011860447667539638,b12_mcg,GLYCOLYSIS_E_D,0.011860447667539638
vitaminc_mg,-5.2887656398885205e-8,4.7549648905289365e-8,-1.1122617646289719,0.2666221097726629,vitaminc_mg,GLYCOLYSIS_E_D,0.2666221097726629
