term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
hb,0.0018689293070011034,0.002108556956397701,0.886354670823793,0.376360359473193,hb,Coprococcus_eutactus,0.376360359473193
wbc,-0.010799554292445869,0.015813602704961616,-0.6829281406606631,0.49534863120745065,wbc,Coprococcus_eutactus,0.49534863120745065
factor(crp).52,-0.12545289782776423,1.4285735575652376,-0.08781689760629302,0.9300699737880149,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp).6,-0.3131054705740586,1.4360884419043847,-0.21802659323603502,0.8275292381761844,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp).7,3.49439258361474,1.437458806150396,2.430951460079013,0.015536137676853369,crp,Coprococcus_eutactus,0.5437648186898679
factor(crp).72,-0.06295353183496145,1.4258654688112655,-0.04415110205834874,0.9648079057477157,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp).8,-0.35704052920854495,0.6703577677906366,-0.5326119071988652,0.5946237056175021,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp).9,-0.36173538082955004,1.0211420034514165,-0.35424591252431087,0.7233574905641944,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)<0.6,-0.3315047758449862,0.3590771750591619,-0.9232131666134645,0.3565010412694798,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)<1,-1.2176650592255565,1.4273892044587349,-0.8530715066514002,0.3941745416739134,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)<5,-1.0447867890483715,0.3457550647260126,-3.0217541133527406,0.0026889826697879585,crp,Coprococcus_eutactus,0.1846548878362826
factor(crp)0,-0.8338429300162422,0.283863330195067,-2.937480263629814,0.003517235958786335,crp,Coprococcus_eutactus,0.1846548878362826
factor(crp)1,-0.7965144119342453,0.6480777450186923,-1.2290414507464251,0.2198415713602042,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)1.1,-0.36157196143120673,0.8392732523819412,-0.4308155423814943,0.6668547218948131,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)1.2,-0.36016023564989463,1.4307278970411894,-0.251732168216418,0.8013886112744428,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)1.3,-0.46351088399043583,1.4325171587304093,-0.32356393161896196,0.7464519960375735,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)1.4,-0.34732711790194126,1.4307823899369796,-0.24275327984518993,0.8083317728734659,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)1.5,-0.3402875135887487,1.4312614017930765,-0.23775357398895713,0.8122045443224024,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)1.6,-0.21180029197973424,1.4332046852907092,-0.14778090956126966,0.8825966116357049,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)1.7,-0.3906574092197154,1.0172582857974293,-0.38402971464958763,0.7011782181938697,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)1.8,-0.3602141789779676,1.4307299002274212,-0.2517695191249654,0.8013597611612329,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)10,-0.3599040048415603,1.0210362885739945,-0.3524889456614823,0.7246733958080551,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)10.25,-0.16231237389829017,1.4266217439539355,-0.11377393803660622,0.9094790429478501,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)10.8,-0.11616862497643761,1.4308281191071872,-0.08118978333255351,0.9353351618308103,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)11,-0.4811514050803637,0.8258383281897065,-0.5826217900724954,0.5605047429149111,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)11.4,-0.35302353334617775,1.4306276564248588,-0.24676129512859007,0.8052305614028799,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)113.2,-0.31282496526809345,1.4361628128146255,-0.21781998703546135,0.8276900983654645,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)12,-0.11166498317296426,1.4315458253621431,-0.07800307974403542,0.9378679975855556,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)12.31,-0.1447106659489081,1.4264628413900138,-0.10144720335504505,0.9192507172332217,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)13,-0.5899100246987166,1.0145558172481446,-0.581446594332063,0.5612954718414247,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)13.5,-0.3253344230476259,1.4333328181846052,-0.2269775860289586,0.8205672061644581,crp,Coprococcus_eutactus,0.9877664029158907
factor(crp)14,-1.1839828451783814,1.4325704866315108,-0.8264744082243042,0.4090705566031849,crp,Coprococcus_eutactus,0.9877664029158907
