term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
factor(cd_site1)2,0.16979345894636402,0.13452942146398483,1.2621288124086656,0.2081697533813823,cd_site1,Coprococcus_eutactus,0.3254911413810816
factor(cd_site1)3,-0.12567274778453275,0.10151863472553549,-1.237927875254627,0.2169940942540544,cd_site1,Coprococcus_eutactus,0.3254911413810816
factor(cd_site1)4,-0.21902562355989072,0.5832400779283136,-0.3755325325685374,0.7076075779921263,cd_site1,Coprococcus_eutactus,0.7076075779921263
factor(cd_site_l4)1,0.0430716210394469,0.12913629339746638,0.3335361415932661,0.7390282927054002,cd_site_l4,Coprococcus_eutactus,0.7390282927054002
factor(cd_perianal)1,0.010466862378957787,0.08534487662280894,0.12264195336783057,0.9024958964703443,cd_perianal,Coprococcus_eutactus,0.9024958964703443
cdai,-8.296866308915446e-4,5.591406034098937e-4,-1.4838604562640203,0.13923923269400149,cdai,Coprococcus_eutactus,0.13923923269400149
factor(cd_act)Mild Act,-0.5149569684350388,0.25691537773070117,-2.0043835950326687,0.04560217626971409,cd_act,Coprococcus_eutactus,0.06840326440457115
factor(cd_act)Moderate,-0.45335709279397535,0.3443810089155774,-1.3164404571017234,0.18866785236661018,cd_act,Coprococcus_eutactus,0.18866785236661018
factor(cd_act)Remission,-0.47388417868939475,0.1331429074456166,-3.5592145896540295,4.097867124639957e-4,cd_act,Coprococcus_eutactus,0.0012293601373919872
factor(cd_behaviour___1)1,0.06585193034318346,0.08133372945305894,0.8096509380058531,0.4189633645056804,cd_behaviour___1,Coprococcus_eutactus,0.4189633645056804
factor(cd_behaviour___2)1,-0.042587946160746216,0.09512691971241925,-0.44769604954617453,0.6547867503483451,cd_behaviour___2,Coprococcus_eutactus,0.6547867503483451
factor(cd_behaviour___3)1,-0.024817481842390493,0.08912254773594927,-0.27846468119290413,0.7809015876050366,cd_behaviour___3,Coprococcus_eutactus,0.7809015876050366
factor(cd_site1)2,0.03318417011222084,0.030008988789761337,1.1058076746505645,0.2699551511065847,cd_site1,Lachnospiraceae_bacterium,0.32684513108074953
factor(cd_site1)3,0.0222505698826063,0.0226453926455489,0.9825649848901955,0.32684513108074953,cd_site1,Lachnospiraceae_bacterium,0.32684513108074953
factor(cd_site1)4,0.38030381263850205,0.13010124305764528,2.9231374251358764,0.0038080968303135345,cd_site1,Lachnospiraceae_bacterium,0.011424290490940604
factor(cd_site_l4)1,0.0055957872874644885,0.028938448306574216,0.1933686018055516,0.8468380423901766,cd_site_l4,Lachnospiraceae_bacterium,0.8468380423901766
factor(cd_perianal)1,-8.33153801078956e-4,0.01912264929435356,-0.043568952620229535,0.9652851555688672,cd_perianal,Lachnospiraceae_bacterium,0.9652851555688672
cdai,-2.5821634391183176e-4,1.2443968198706416e-4,-2.075032174533153,0.03911549886313152,cdai,Lachnospiraceae_bacterium,0.03911549886313152
factor(cd_act)Mild Act,-0.06881717422089952,0.02655092351760042,-2.591893806453892,0.009842008662603473,cd_act,Lachnospiraceae_bacterium,0.02952602598781042
factor(cd_act)Moderate,-0.06153208177856393,0.03559006046814343,-1.7289119762423877,0.08448151924417222,cd_act,Lachnospiraceae_bacterium,0.08448151924417222
factor(cd_act)Remission,-0.03211895602909345,0.01375965574238603,-2.334284856426486,0.020001224126556423,cd_act,Lachnospiraceae_bacterium,0.030001836189834635
