term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
factor(breast_fed)2,-0.11996242567973128,0.15951753680722916,-0.7520328365194184,0.4524069510681945,breast_fed,Coprococcus_eutactus,0.4524069510681945
factor(baby_food)2,0.26454740660269904,0.18616073702136268,1.421069828340555,0.15596099333339533,baby_food,Coprococcus_eutactus,0.15596099333339533
factor(family_food)2,-0.3159989713426793,0.3037345999775389,-1.0403785784235557,0.29869893542509923,family_food,Coprococcus_eutactus,0.29869893542509923
factor(age_4_12_months_3)2,0.16527210971095252,0.14932655725963243,1.1067830983580218,0.2689514622475171,age_4_12_months_3,Coprococcus_eutactus,0.2689514622475171
factor(age_1_5_years_3)2,0.10072234804285436,0.14724538835124198,0.6840441603684683,0.49428297584370195,age_1_5_years_3,Coprococcus_eutactus,0.49428297584370195
factor(age5_10_years_3)2,0.07633314217117836,0.14475359747201105,0.5273315724394194,0.5982111231314418,age5_10_years_3,Coprococcus_eutactus,0.5982111231314418
factor(age_10_18_years_3)2,0.14093633363131752,0.14272191974793857,0.9874890548012907,0.32390887670629,age_10_18_years_3,Coprococcus_eutactus,0.32390887670629
factor(age_1_5_years_5)2,-0.07092111196775819,0.1562237743170603,-0.45397131312307115,0.6500585859405773,age_1_5_years_5,Coprococcus_eutactus,0.6500585859405773
factor(age_5_10_years_5)2,0.09510969361879962,0.13675215164748467,0.6954895588331974,0.48709082110846713,age_5_10_years_5,Coprococcus_eutactus,0.48709082110846713
factor(age_10_18_years_5)2,-0.17359056004699452,0.13400314134466945,-1.2954215722488347,0.1958093793754405,age_10_18_years_5,Coprococcus_eutactus,0.1958093793754405
factor(age_1_5_years_6)2,0.10409419036846951,0.1435544851296888,0.7251197360669686,0.46873790475389965,age_1_5_years_6,Coprococcus_eutactus,0.46873790475389965
factor(age_5_10_years_6)2,0.30790452893241627,0.148852582117827,2.0685199044023888,0.0391351637001927,age_5_10_years_6,Coprococcus_eutactus,0.0391351637001927
factor(age_10_18_years_6)2,0.06738273193536957,0.1573491389868469,0.4282370553104979,0.6686738814272511,age_10_18_years_6,Coprococcus_eutactus,0.6686738814272511
factor(age_1_5_years_7)2,0.30651513713024153,0.14920646867280984,2.0543019338014687,0.04049658779270354,age_1_5_years_7,Coprococcus_eutactus,0.04049658779270354
factor(age_5_10_years_7)2,0.23104331781406964,0.16661361931415597,1.3867012718715939,0.16618743998823163,age_5_10_years_7,Coprococcus_eutactus,0.16618743998823163
factor(age_10_18_years_7)2,0.23415895046466023,0.18813403763929576,1.2446389468002956,0.2138821405888822,age_10_18_years_7,Coprococcus_eutactus,0.2138821405888822
factor(age_1_5_years_8)2,0.07540486015396257,0.15270692299680516,0.49378809207975555,0.6216860257318771,age_1_5_years_8,Coprococcus_eutactus,0.6216860257318771
factor(age_5_10_years_8)2,-0.035815757753963125,0.13876969416973434,-0.2580949534280558,0.7964463613858179,age_5_10_years_8,Coprococcus_eutactus,0.7964463613858179
factor(age_10_18_years_8)2,-0.10885819325973284,0.13797059318196248,-0.7889956167410633,0.4305132261726645,age_10_18_years_8,Coprococcus_eutactus,0.4305132261726645
