term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
p80,-6.197342789726452e-9,2.832290703512415e-8,-0.21881026485173036,0.8268934430471792,p80,Coprococcus_eutactus,0.8268934430471792
cmc,-1.910872227392821e-9,9.467458054511426e-9,-0.201835827144991,0.8401329613213842,cmc,Coprococcus_eutactus,0.8401329613213842
crn,-3.8435122930186705e-9,2.0378115448015405e-8,-0.18860980068659805,0.8504805848506729,crn,Coprococcus_eutactus,0.8504805848506729
alsio,-2.116640718537873e-6,6.955960886198114e-6,-0.3042916360754229,0.7610412606514684,alsio,Coprococcus_eutactus,0.7610412606514684
so32,2.3067767374047495e-6,1.8470444041556705e-6,1.2489016139594293,0.21232672966588298,so32,Coprococcus_eutactus,0.21232672966588298
tio2,-8.379290444369226e-7,9.162557124284055e-7,-0.9145144014612588,0.36091854651330313,tio2,Coprococcus_eutactus,0.36091854651330313
asp,5.601359866706932e-7,6.848595438371529e-7,0.8178844723873532,0.4138402552075999,asp,Coprococcus_eutactus,0.4138402552075999
suc,1.7650346236322112e-6,1.074159825292586e-6,1.6431769109884933,0.10101940368895662,suc,Coprococcus_eutactus,0.10101940368895662
sac,1.1156818576731707e-7,1.4353081878812304e-6,0.07773117070558311,0.9380751909048577,sac,Coprococcus_eutactus,0.9380751909048577
totalad,-9.969932214417243e-10,5.2700132979769084e-9,-0.18918229709675635,0.8500321329688477,totalad,Coprococcus_eutactus,0.8500321329688477
totalas,3.3197484966116304e-7,3.459963168627935e-7,0.9594750969352349,0.33781593952812694,totalas,Coprococcus_eutactus,0.33781593952812694
totalem,-1.0693746898015823e-9,5.28403548867713e-9,-0.20237840795980397,0.839709041700592,totalem,Coprococcus_eutactus,0.839709041700592
p80mgkgday,-2.627034294595897e-4,8.362228270499887e-4,-0.31415481730670997,0.7535440481427034,p80mgkgday,Coprococcus_eutactus,0.7535440481427034
cmcmgkgday,-7.894305501230913e-5,2.795822438046654e-4,-0.28236076060489723,0.7777922647160616,cmcmgkgday,Coprococcus_eutactus,0.7777922647160616
crnmgkgday,-1.6910283920678904e-4,6.014803200641458e-4,-0.28114442578728893,0.7787244162836275,crnmgkgday,Coprococcus_eutactus,0.7787244162836275
alsiomgkgday,-0.08261474662196916,0.16360421949648113,-0.5049670899456604,0.6138206673955833,alsiomgkgday,Coprococcus_eutactus,0.6138206673955833
so32mgkgday,0.05283047474821985,0.04832712993400705,1.0931846112186328,0.2748775397050549,so32mgkgday,Coprococcus_eutactus,0.2748775397050549
tio2mgkgday,-0.01007509922349426,0.015345109606727046,-0.6565674329936034,0.5117831814356664,tio2mgkgday,Coprococcus_eutactus,0.5117831814356664
aspmgkgday,0.009297540628929925,0.017479469311633685,0.5319120657022366,0.59504038429224,aspmgkgday,Coprococcus_eutactus,0.59504038429224
sucmgkgday,0.03947417541147969,0.027528027586304786,1.433963086811135,0.15225345068546584,sucmgkgday,Coprococcus_eutactus,0.15225345068546584
sacmgkgday,0.0036070422153195096,0.03699142647867743,0.09751022219699146,0.9223631416647848,sacmgkgday,Coprococcus_eutactus,0.9223631416647848
totaladmgkgday,-4.346482912517932e-5,1.5576737481563774e-4,-0.27903679558459,0.7803403774751538,totaladmgkgday,Coprococcus_eutactus,0.7803403774751538
totalasmgkgday,0.006736105563072089,0.00890138142854351,0.7567483336318828,0.4495830727012782,totalasmgkgday,Coprococcus_eutactus,0.4495830727012782
totalemmgkgday,-4.523920408525899e-5,1.5624806206020612e-4,-0.2895344971883699,0.7723011587044184,totalemmgkgday,Coprococcus_eutactus,0.7723011587044184
p80,1.8751498995768496e-9,2.9308765584337998e-9,0.6397914965681432,0.5226218974885843,p80,Lachnospiraceae_bacterium,0.5226218974885843
cmc,6.201401039217774e-10,9.797015448968886e-10,0.6329887986315728,0.5270507901148891,cmc,Lachnospiraceae_bacterium,0.5270507901148891
crn,1.2915464988379555e-9,2.108792753065916e-9,0.6124577661603832,0.5405330320489647,crn,Lachnospiraceae_bacterium,0.5405330320489647
alsio,-1.7773898870949087e-7,7.201111658019174e-7,-0.24682159803974202,0.8051547569577986,alsio,Lachnospiraceae_bacterium,0.8051547569577986
so32,-2.382064743395161e-9,1.915265585571753e-7,-0.01243725549782725,0.9900820730379278,so32,Lachnospiraceae_bacterium,0.9900820730379278
tio2,-8.432239632282126e-8,9.485621366097281e-8,-0.8889496330119117,0.3744878058912897,tio2,Lachnospiraceae_bacterium,0.3744878058912897
asp,-4.818120847956067e-8,7.091293699829023e-8,-0.6794417283932601,0.49719463723832047,asp,Lachnospiraceae_bacterium,0.49719463723832047
suc,7.72791547486979e-9,1.1151831921367854e-7,0.06929727357226799,0.944782657878568,suc,Lachnospiraceae_bacterium,0.944782657878568
sac,-4.261131460839708e-8,1.4857215263474562e-7,-0.2868055275012004,0.7743884327159174,sac,Lachnospiraceae_bacterium,0.7743884327159174
totalad,3.3730351725743344e-10,5.453536645460424e-10,0.6185041729539089,0.5365445947668781,totalad,Lachnospiraceae_bacterium,0.5365445947668781
totalas,-1.3986375432938128e-8,3.584726537976664e-8,-0.39016575699055955,0.6965918757746303,totalas,Lachnospiraceae_bacterium,0.6965918757746303
totalem,3.452821623893365e-10,5.467982652255214e-10,0.6314617004992296,0.52804764095645,totalem,Lachnospiraceae_bacterium,0.52804764095645
p80mgkgday,3.949559682682581e-5,8.644992327173981e-5,0.45686098185048113,0.6479838541133551,p80mgkgday,Lachnospiraceae_bacterium,0.6479838541133551
cmcmgkgday,1.3438482655546526e-5,2.8902796734915936e-5,0.464954404890244,0.6421812886102647,cmcmgkgday,Lachnospiraceae_bacterium,0.6421812886102647
crnmgkgday,2.8294475207161053e-5,6.218070409222462e-5,0.4550362627800983,0.6492950684686738,crnmgkgday,Lachnospiraceae_bacterium,0.6492950684686738
alsiomgkgday,-0.01539136388357154,0.016905235293751125,-0.9104495510488887,0.36305615967924587,alsiomgkgday,Lachnospiraceae_bacterium,0.36305615967924587
so32mgkgday,-0.0026016242656665056,0.005001669291912765,-0.5201511962962226,0.603205210838407,so32mgkgday,Lachnospiraceae_bacterium,0.603205210838407
tio2mgkgday,-8.100902422012175e-4,0.0015868768444865253,-0.510493454495735,0.6099475275044868,tio2mgkgday,Lachnospiraceae_bacterium,0.6099475275044868
aspmgkgday,-0.002225802203365318,0.0018048718329301062,-1.2332189814009427,0.21811577934697565,aspmgkgday,Lachnospiraceae_bacterium,0.21811577934697565
sucmgkgday,-9.643826979398219e-4,0.0028521459163182625,-0.33812530152198894,0.7354210403217358,sucmgkgday,Lachnospiraceae_bacterium,0.7354210403217358
sacmgkgday,-0.001015701369645552,0.0038244280295969585,-0.26558255555735816,0.790678172374402,sacmgkgday,Lachnospiraceae_bacterium,0.790678172374402
totaladmgkgday,7.0896403859069446e-6,1.6103353487244814e-5,0.44025863255889686,0.6599539331541879,totaladmgkgday,Lachnospiraceae_bacterium,0.6599539331541879
totalasmgkgday,-7.369841641856892e-4,9.20278568250376e-4,-0.8008272599315617,0.42363975777148166,totalasmgkgday,Lachnospiraceae_bacterium,0.42363975777148166
totalemmgkgday,7.485483970667619e-6,1.615278818506358e-5,0.4634174536869998,0.6432815329483978,totalemmgkgday,Lachnospiraceae_bacterium,0.6432815329483978
p80,1.180161035356521e-9,7.77302261729111e-9,0.15182781441176427,0.8793883111316505,p80,Blautia_SGB4815,0.8793883111316505
cmc,2.4086701404198563e-10,2.5982976284845414e-9,0.0927018565546209,0.9261801763839368,cmc,Blautia_SGB4815,0.9261801763839368
crn,1.1258162090745774e-9,5.592452157863359e-9,0.20130994012914444,0.840543882437627,crn,Blautia_SGB4815,0.840543882437627
alsio,3.5046067908617143e-6,1.9022526022654737e-6,1.842345641524122,0.06605835143766214,alsio,Blautia_SGB4815,0.06605835143766214
so32,-1.2230030901760885e-7,5.077091262648379e-7,-0.24088656809728679,0.8097487511012924,so32,Blautia_SGB4815,0.8097487511012924
tio2,7.677707072526769e-8,2.516532335938725e-7,0.3050907378729471,0.7604329726222928,tio2,Blautia_SGB4815,0.7604329726222928
asp,-1.2478629687034777e-7,1.8799578973785947e-7,-0.6637717634227301,0.5071639522476079,asp,Blautia_SGB4815,0.5071639522476079
suc,-2.3112396253617616e-7,2.9544520592649145e-7,-0.782290448109966,0.4344403675913573,suc,Blautia_SGB4815,0.4344403675913573
sac,-1.39495913763613e-7,3.938494199397738e-7,-0.3541859063419321,0.7233594288968646,sac,Blautia_SGB4815,0.7233594288968646
totalad,1.7954841780236964e-10,1.4463111952314106e-9,0.12414231348989993,0.9012560106321819,totalad,Blautia_SGB4815,0.9012560106321819
totalas,-6.38781641129729e-8,9.500130114376559e-8,-0.6723925182488395,0.5016663814935598,totalas,Blautia_SGB4815,0.5016663814935598
totalem,1.918040122671181e-10,1.450164257419495e-9,0.13226364619441464,0.8948327272333557,totalem,Blautia_SGB4815,0.8948327272333557
p80mgkgday,3.403132829391339e-5,2.2951133260125514e-4,0.14827733301099433,0.8821880420797599,p80mgkgday,Blautia_SGB4815,0.8821880420797599
cmcmgkgday,6.497168560712767e-6,7.673434144550785e-5,0.08467093661482282,0.9325593649474468,cmcmgkgday,Blautia_SGB4815,0.9325593649474468
crnmgkgday,3.941018332233851e-5,1.6507376974573694e-4,0.23874285650010899,0.8114099370347427,crnmgkgday,Blautia_SGB4815,0.8114099370347427
alsiomgkgday,0.07988523427928108,0.04475899752595524,1.7847860473853672,0.07494641610115586,alsiomgkgday,Blautia_SGB4815,0.07494641610115586
so32mgkgday,-0.0030707047598209267,0.01327909944840368,-0.2312434492830058,0.8172271741507778,so32mgkgday,Blautia_SGB4815,0.8172271741507778
tio2mgkgday,5.335743416642769e-4,0.004213176764659806,0.12664418595960822,0.8992766478098959,tio2mgkgday,Blautia_SGB4815,0.8992766478098959
aspmgkgday,-0.003446979837053403,0.0047958526590938,-0.7187418134119088,0.4726602440439287,aspmgkgday,Blautia_SGB4815,0.4726602440439287
sucmgkgday,-0.005897432036215435,0.007566493172433705,-0.779414175340962,0.4361314192975002,sucmgkgday,Blautia_SGB4815,0.4361314192975002
sacmgkgday,-0.0014722564130509076,0.01015177738898534,-0.14502449735041503,0.8847542333131365,sacmgkgday,Blautia_SGB4815,0.8847542333131365
totaladmgkgday,5.448417125861105e-6,4.275152270815305e-5,0.12744381441230043,0.8986441150207911,totaladmgkgday,Blautia_SGB4815,0.8986441150207911
totalasmgkgday,-0.0015945051452223324,0.00244327361820217,-0.6526101429424079,0.5143294447428972,totalasmgkgday,Blautia_SGB4815,0.5143294447428972
totalemmgkgday,5.876850471777747e-6,4.28836087083749e-5,0.13704188263964912,0.8910568775546908,totalemmgkgday,Blautia_SGB4815,0.8910568775546908
p80,-1.1249440542778397e-8,1.496428810992594e-8,-0.7517524696224304,0.45257862189846565,p80,Collinsella_SGB14861,0.45257862189846565
cmc,-4.002618886924495e-9,5.001650527168573e-9,-0.8002596073401338,0.42396730058011,cmc,Collinsella_SGB14861,0.42396730058011
crn,-8.324634925127234e-9,1.0766172337203431e-8,-0.7732214072368825,0.43978255301725255,crn,Collinsella_SGB14861,0.43978255301725255
alsio,-1.3369844694204913e-6,3.677031128932676e-6,-0.3636043379944338,0.7163180303103708,alsio,Collinsella_SGB14861,0.7163180303103708
so32,-1.5133054882607515e-6,9.755373964050214e-7,-1.5512531798754956,0.12151841815660824,so32,Collinsella_SGB14861,0.12151841815660824
tio2,-3.6900639832575823e-7,4.845005409425337e-7,-0.7616222628109013,0.4466699250545463,tio2,Collinsella_SGB14861,0.4466699250545463
asp,-6.841260146991073e-7,3.6091640812406605e-7,-1.895524834282228,0.058640081580910566,asp,Collinsella_SGB14861,0.058640081580910566
suc,-1.1158312877867717e-6,5.671354796725828e-7,-1.9674863022693636,0.049718577989393234,suc,Collinsella_SGB14861,0.049718577989393234
sac,-1.4576456101177343e-6,7.557596531961589e-7,-1.9287158343968906,0.05437188773282622,sac,Collinsella_SGB14861,0.05437188773282622
totalad,-2.298474370282368e-9,2.7840064351637997e-9,-0.8255995177493672,0.4094528572113689,totalad,Collinsella_SGB14861,0.4094528572113689
totalas,-3.749101884798647e-7,1.822632711498488e-7,-2.056970590479692,0.04024391113099352,totalas,Collinsella_SGB14861,0.04024391113099352
totalem,-2.1981027153640326e-9,2.7916133460334786e-9,-0.7873951163355958,0.4314500394247659,totalem,Collinsella_SGB14861,0.4314500394247659
p80mgkgday,-3.3864497556352496e-4,4.418113112558599e-4,-0.7664923168239355,0.44377152974487355,p80mgkgday,Collinsella_SGB14861,0.44377152974487355
cmcmgkgday,-1.2118625164189528e-4,1.476983616878045e-4,-0.8204982794463973,0.4123516141417122,cmcmgkgday,Collinsella_SGB14861,0.4123516141417122
crnmgkgday,-2.504091570019703e-4,3.17768982135273e-4,-0.7880226550726467,0.4310841111532636,crnmgkgday,Collinsella_SGB14861,0.4310841111532636
alsiomgkgday,-0.02959293679562041,0.08649702620452529,-0.34212663826900663,0.7324098354188591,alsiomgkgday,Collinsella_SGB14861,0.7324098354188591
so32mgkgday,-0.043128821617209136,0.025501211240103423,-1.6912460044009354,0.09145843260985304,so32mgkgday,Collinsella_SGB14861,0.09145843260985304
tio2mgkgday,-0.006349649483241706,0.00811012883806962,-0.7829283122403583,0.4340669009866027,tio2mgkgday,Collinsella_SGB14861,0.4340669009866027
aspmgkgday,-0.01759767570643598,0.009206757200065115,-1.9113869654683104,0.05656799463695822,aspmgkgday,Collinsella_SGB14861,0.05656799463695822
sucmgkgday,-0.03088671794455128,0.01451354060066076,-2.1281311565797454,0.0338503544778505,sucmgkgday,Collinsella_SGB14861,0.0338503544778505
sacmgkgday,-0.0374865472775692,0.019477296417695873,-1.9246278576687486,0.05488442559557626,sacmgkgday,Collinsella_SGB14861,0.05488442559557626
totaladmgkgday,-7.033525285252151e-5,8.228392426426916e-5,-0.8547872926749044,0.39310814848995257,totaladmgkgday,Collinsella_SGB14861,0.39310814848995257
totalasmgkgday,-0.009959035999749859,0.004685669194209057,-2.125424477694258,0.03407660312378509,totalasmgkgday,Collinsella_SGB14861,0.03407660312378509
totalemmgkgday,-6.657102986567087e-5,8.254547251251657e-5,-0.806477058515554,0.4203792130439328,totalemmgkgday,Collinsella_SGB14861,0.4203792130439328
p80,3.6794580168974683e-9,2.8068613031526152e-9,1.3108798830796407,0.19054259214856656,p80,GGB9760_SGB15373,0.19054259214856656
cmc,1.2787722091118225e-9,9.380985143492357e-10,1.3631534317042535,0.17349100808305148,cmc,GGB9760_SGB15373,0.17349100808305148
crn,2.7028170759518263e-9,2.0193312257052396e-9,1.3384713916895348,0.18139407602864166,crn,GGB9760_SGB15373,0.18139407602864166
alsio,-9.01270662408273e-7,6.893905648507221e-7,-1.307344063525776,0.1917391735399648,alsio,GGB9760_SGB15373,0.1917391735399648
so32,-1.2907332122807374e-8,1.836781602380206e-7,-0.0702714580006753,0.9440076805437116,so32,GGB9760_SGB15373,0.9440076805437116
tio2,-9.304178120803474e-8,9.094472815508006e-8,-1.0230585444092894,0.30680982225992154,tio2,GGB9760_SGB15373,0.30680982225992154
asp,-8.764795177929746e-8,6.792002087851526e-8,-1.2904582573092613,0.1975301437293192,asp,GGB9760_SGB15373,0.1975301437293192
suc,-7.796844579904312e-8,1.0688873124629467e-7,-0.7294355998986181,0.4661009349816633,suc,GGB9760_SGB15373,0.4661009349816633
sac,-6.096412791041333e-8,1.4246929503081761e-7,-0.42791064486720554,0.6689134388516433,sac,GGB9760_SGB15373,0.6689134388516433
totalad,6.928121639056629e-10,5.222398272216885e-10,1.3266168679463184,0.18528379376448453,totalad,GGB9760_SGB15373,0.18528379376448453
totalas,-3.399132205410558e-8,3.434809426759278e-8,-0.9896130419723516,0.32287574936290797,totalas,GGB9760_SGB15373,0.32287574936290797
totalem,7.081389693452587e-10,5.235936090908093e-10,1.3524591535311175,0.17688298198195934,totalem,GGB9760_SGB15373,0.17688298198195934
p80mgkgday,9.633019628014235e-5,8.290074453402044e-5,1.1619943442198013,0.24583254690100248,p80mgkgday,GGB9760_SGB15373,0.24583254690100248
