term,estimate,std.error,statistic,p.value,metadata_var,species,fdr
protein_g,-4.738253143444665e-5,3.453122157293163e-4,-0.13721649358500804,0.8909213192140635,protein_g,Coprococcus_eutactus,0.8909213192140635
total_fat_g,1.9266399216107062e-4,7.28910942052226e-4,0.26431760184396624,0.7916567489399395,total_fat_g,Coprococcus_eutactus,0.7916567489399395
sfa_g,0.001307780604266177,0.002696383928811542,0.48501275737932253,0.6279043658782795,sfa_g,Coprococcus_eutactus,0.6279043658782795
mufa_g,8.499245743891042e-5,0.0016191158336024876,0.05249312969153329,0.9581591675410579,mufa_g,Coprococcus_eutactus,0.9581591675410579
pufa_g,0.0010291396431536546,0.006404686404237499,0.1606854072469107,0.8724136135129759,pufa_g,Coprococcus_eutactus,0.8724136135129759
omega3fa_g,-1.8405242494364064e-4,3.7090124108324975e-4,-0.4962302752239365,0.6199775150902966,omega3fa_g,Coprococcus_eutactus,0.6199775150902966
omega6fa_g,-4.638849781096987e-4,0.005935244362793033,-0.07815768816827648,0.9377379880813814,omega6fa_g,Coprococcus_eutactus,0.9377379880813814
cholesterol_mg,-2.3226493696537005e-5,6.888445249151579e-5,-0.3371804936592581,0.7361387506214083,cholesterol_mg,Coprococcus_eutactus,0.7361387506214083
alcohol_g,0.006757855268307183,0.007399398777205299,0.9132978870020542,0.3615793288584571,alcohol_g,Coprococcus_eutactus,0.3615793288584571
fiber_g,0.0016528224607136374,0.002116652390465153,0.7808662717407345,0.4352944855898142,fiber_g,Coprococcus_eutactus,0.4352944855898142
b1_mg,-0.013341327376997173,0.01599817880068257,-0.8339278828680149,0.40476603891677887,b1_mg,Coprococcus_eutactus,0.40476603891677887
b2_mg,-0.005385406202638501,0.012944119027164048,-0.41605042346542764,0.6775723362167825,b2_mg,Coprococcus_eutactus,0.6775723362167825
b3_mg,-0.001509912573075389,0.0027472031451445315,-0.5496181000462388,0.5828552134586991,b3_mg,Coprococcus_eutactus,0.5828552134586991
b6_mg,-0.0013164066703262305,0.002402538332843869,-0.5479232744511545,0.5840174780450944,b6_mg,Coprococcus_eutactus,0.5840174780450944
b12_mcg,-9.848286005290424e-4,0.0015895655002176978,-0.6195583638385244,0.535863543767219,b12_mcg,Coprococcus_eutactus,0.535863543767219
vitaminc_mg,6.548660922441384e-4,8.130009861547907e-4,0.8054923713456058,0.4209629156512871,vitaminc_mg,Coprococcus_eutactus,0.4209629156512871
vitaminetocoa_mg,0.0024896311396973778,0.007467774081759929,0.33338329633971026,0.7390016423812722,vitaminetocoa_mg,Coprococcus_eutactus,0.7390016423812722
bcarotene_mcg,4.494896788763604e-5,2.626177771304226e-5,1.7115736938597745,0.08766892390855593,bcarotene_mcg,Coprococcus_eutactus,0.08766892390855593
folicacid_mcg_dfe,-4.0296790409635237e-4,4.655597325019264e-4,-0.86555575141947,0.3874141415791569,folicacid_mcg_dfe,Coprococcus_eutactus,0.3874141415791569
folate_mcg,-6.520843923691403e-5,2.756473793880638e-4,-0.2365646986438853,0.8131026332167768,folate_mcg,Coprococcus_eutactus,0.8131026332167768
iron_mg,1.92867492322779e-5,0.0011980301878715858,0.016098717233947703,0.9871633548567518,iron_mg,Coprococcus_eutactus,0.9871633548567518
zinc_mg,-7.416362607509668e-4,0.0028827760789961426,-0.25726460898385967,0.7971017119399315,zinc_mg,Coprococcus_eutactus,0.7971017119399315
selenium_mcg,3.1358522130669226e-5,4.014750651931497e-4,0.0781082683567973,0.9377795756708222,selenium_mcg,Coprococcus_eutactus,0.9377795756708222
magnesium_mg,8.438191268650949e-5,1.4311470947369346e-4,0.5896103412208659,0.555750476332193,magnesium_mg,Coprococcus_eutactus,0.555750476332193
caffeine_mg,2.532507461687821e-4,3.9932170473412133e-4,0.6342023064771872,0.5264226183226233,caffeine_mg,Coprococcus_eutactus,0.5264226183226233
vitd_iu,-5.387571644310079e-4,7.330922803433899e-4,-0.7349104319836067,0.46333476915488647,vitd_iu,Coprococcus_eutactus,0.46333476915488647
protein_g,-1.6512446187696864e-5,3.5340214536169595e-5,-0.46724238673754787,0.6405536412108759,protein_g,Lachnospiraceae_bacterium,0.6405536412108759
total_fat_g,-2.7133244892478246e-6,7.462109117803987e-5,-0.036361361733160034,0.971010418644028,total_fat_g,Lachnospiraceae_bacterium,0.971010418644028
sfa_g,2.081366487332892e-4,2.7591415520546446e-4,0.7543529203070298,0.45103365775168225,sfa_g,Lachnospiraceae_bacterium,0.45103365775168225
mufa_g,-1.4682841090857217e-4,1.6559698939077222e-4,-0.8866611129148588,0.375737094718928,mufa_g,Lachnospiraceae_bacterium,0.375737094718928
pufa_g,-2.8550910152155454e-4,6.554994865764621e-4,-0.43555961120993303,0.6633660548942575,pufa_g,Lachnospiraceae_bacterium,0.6633660548942575
omega3fa_g,-2.8485768262636765e-5,3.7851561345685905e-5,-0.7525652113128327,0.45211002718049986,omega3fa_g,Lachnospiraceae_bacterium,0.45211002718049986
omega6fa_g,-7.965515932052264e-5,6.057886802169021e-4,-0.13149000950628886,0.8954475188200846,omega6fa_g,Lachnospiraceae_bacterium,0.8954475188200846
cholesterol_mg,-5.02219594697796e-6,7.048298117298819e-6,-0.7125402279242213,0.4765012427603085,cholesterol_mg,Lachnospiraceae_bacterium,0.4765012427603085
alcohol_g,7.402844110617025e-4,7.572211765178164e-4,0.9776330007911296,0.3287858454242183,alcohol_g,Lachnospiraceae_bacterium,0.3287858454242183
fiber_g,0.00026848131998257033,2.1640233945115385e-4,1.2406581216427732,0.21538283930882882,fiber_g,Lachnospiraceae_bacterium,0.21538283930882882
b1_mg,-0.0011771851103982414,0.0016379893269366885,-0.7186769114056272,0.4727146693213474,b1_mg,Lachnospiraceae_bacterium,0.4727146693213474
b2_mg,-8.23184479807177e-4,0.001324717289665509,-0.6214038921580248,0.5346499683835209,b2_mg,Lachnospiraceae_bacterium,0.5346499683835209
