term,estimate,std.error,statistic,p.value,metadata_var,vfg_gene,fdr
factor(cd_site1)2,-1.88299450159862,0.587883062639234,-3.2030085934864854,0.0015507110659598376,cd_site1,kpsF.1,0.002326066598939756
factor(cd_site1)3,-0.8581207297930766,0.4436285033261579,-1.9343228024331476,0.05428955772045636,cd_site1,kpsF.1,0.05428955772045636
factor(cd_site1)4,17.411708143858732,2.5487135790458657,6.831567221600854,7.312287025557949e-11,cd_site1,kpsF.1,2.1936861076673847e-10
factor(cd_site_l4)1,0.0768138935023282,0.6267130486715912,0.12256629037028405,0.9025557488833815,cd_site_l4,kpsF.1,0.9025557488833815
factor(cd_perianal)1,-0.5218821286001695,0.4127088103379104,-1.2645286834872076,0.20729834130280775,cd_perianal,kpsF.1,0.20729834130280775
cdai,0.0053397509514112925,0.0026965235629236675,1.9802352276209088,0.04889014105608852,cdai,kpsF.1,0.04889014105608852
factor(cd_act)Mild Act,1.8137118641150496,0.4202600346518169,4.3156896077869975,1.9410795864231877e-5,cd_act,kpsF.1,2.9116193796347815e-5
factor(cd_act)Moderate,2.253417433570183,0.5633355855093806,4.000133298045769,7.351984516450705e-5,cd_act,kpsF.1,7.351984516450705e-5
factor(cd_act)Remission,1.2508872218171183,0.2177940588491755,5.743440516361238,1.6678462689722608e-8,cd_act,kpsF.1,5.0035388069167826e-8
factor(cd_behaviour___1)1,-1.4634451645806137,0.3834385370325968,-3.8166355836481913,1.7322582117035252e-4,cd_behaviour___1,kpsF.1,1.7322582117035252e-4
factor(cd_behaviour___2)1,1.3475885574856417,0.4532833024792891,2.972949919211317,0.003257822766647237,cd_behaviour___2,kpsF.1,0.003257822766647237
factor(cd_behaviour___3)1,0.5646205079708599,0.4309266948379717,1.3102472293649783,0.19139689074565056,cd_behaviour___3,kpsF.1,0.19139689074565056
factor(cd_site1)2,-30.782458967828997,24.50441819223876,-1.2562003605365613,0.21030682924944374,cd_site1,katA.1,0.6309204877483312
factor(cd_site1)3,0.05678045225214037,18.491531834065224,0.0030706191764783403,0.9975526428851568,cd_site1,katA.1,0.9975526428851568
factor(cd_site1)4,27.079825537421037,106.23667760182445,0.2549009075652417,0.7990254471456572,cd_site1,katA.1,0.9975526428851568
factor(cd_site_l4)1,-26.174022394317316,23.23113396000554,-1.1266786390788421,0.2610324525527275,cd_site_l4,katA.1,0.2610324525527275
factor(cd_perianal)1,-12.388577150933195,15.370325690452042,-0.8060061576072463,0.42105763313543987,cd_perianal,katA.1,0.42105763313543987
cdai,0.1663730457921515,0.10069446180096663,1.6522561699669802,0.09987094983897629,cdai,katA.1,0.09987094983897629
factor(cd_act)Mild Act,66.69389876525445,15.095388054320757,4.418163913723611,1.2369231616287129e-5,cd_act,katA.1,3.710769484886139e-5
factor(cd_act)Moderate,28.713799533516642,20.234541871480637,1.4190486602509644,0.15654764653225264,cd_act,katA.1,0.15654764653225264
factor(cd_act)Remission,32.00695318248097,7.82297997233476,4.091401652013756,5.0455336350774866e-5,cd_act,katA.1,7.56830045261623e-5
factor(cd_behaviour___1)1,-45.81606971215853,14.379704290011114,-3.1861621621791443,0.0016380738472838545,cd_behaviour___1,katA.1,0.0016380738472838545
factor(cd_behaviour___2)1,40.07496212685921,16.961471446211984,2.3627055149044383,0.018961334644910035,cd_behaviour___2,katA.1,0.018961334644910035
