term,estimate,std.error,statistic,p.value,metadata_var,vfg_gene,fdr
factor(breast_fed)2,-0.30518432073926044,0.263623788342657,-1.157650918598375,0.24759323060163232,breast_fed,kpsF.1,0.24759323060163232
factor(baby_food)2,-0.27006925044815616,0.31620702457731187,-0.8540899773152411,0.3934911663280859,baby_food,kpsF.1,0.3934911663280859
factor(family_food)2,-0.4582322654951111,0.5151009142459616,-0.8895970727714616,0.37413737708130856,family_food,kpsF.1,0.37413737708130856
factor(age_4_12_months_3)2,0.3557184770463476,0.2530944246980617,1.4054773330969856,0.16053725006702257,age_4_12_months_3,kpsF.1,0.16053725006702257
factor(age_1_5_years_3)2,0.1882238027478395,0.2497383716385038,0.7536839513805007,0.45141481608835277,age_1_5_years_3,kpsF.1,0.45141481608835277
factor(age5_10_years_3)2,0.16489724313516005,0.2454931493001826,0.6716979418986883,0.5021046298149425,age5_10_years_3,kpsF.1,0.5021046298149425
factor(age_10_18_years_3)2,-0.22457670682512154,0.2421212906318367,-0.9275380378118296,0.35412130104401063,age_10_18_years_3,kpsF.1,0.35412130104401063
factor(age_1_5_years_5)2,-0.04141938984618331,0.26500178809129554,-0.15629852969865227,0.8758646842124175,age_1_5_years_5,kpsF.1,0.8758646842124175
factor(age_5_10_years_5)2,0.14796761928135488,0.2319845632543814,0.6378339024183337,0.5238911094840131,age_5_10_years_5,kpsF.1,0.5238911094840131
factor(age_10_18_years_5)2,0.5047068275687703,0.20816932130535357,2.4245014798719553,0.015704721072485137,age_10_18_years_5,kpsF.1,0.015704721072485137
factor(age_1_5_years_6)2,-0.03663689512375206,0.24363389681894235,-0.15037683837146412,0.8805315533770577,age_1_5_years_6,kpsF.1,0.8805315533770577
factor(age_5_10_years_6)2,-0.10328541767630797,0.2535883322283112,-0.4072956226681511,0.683975527978984,age_5_10_years_6,kpsF.1,0.683975527978984
factor(age_10_18_years_6)2,-0.28171141902244934,0.26664004845901257,-1.0565232816695709,0.2912696600260547,age_10_18_years_6,kpsF.1,0.2912696600260547
factor(age_1_5_years_7)2,-0.08914237601338147,0.25418712614591565,-0.35069587262342095,0.7259729847676428,age_1_5_years_7,kpsF.1,0.7259729847676428
factor(age_5_10_years_7)2,0.1585658119892178,0.28309921786992237,0.5601068529340663,0.5756722843908063,age_5_10_years_7,kpsF.1,0.5756722843908063
factor(age_10_18_years_7)2,0.03309165881665875,0.3196417882063723,0.10352732351532704,0.917588437301813,age_10_18_years_7,kpsF.1,0.917588437301813
factor(age_1_5_years_8)2,0.26046041646056645,0.23803595200535993,1.09420620820632,0.2744238107205155,age_1_5_years_8,kpsF.1,0.2744238107205155
factor(age_5_10_years_8)2,0.0625356464513746,0.2165257858547195,0.2888138528375259,0.7728508983506122,age_5_10_years_8,kpsF.1,0.7728508983506122
factor(age_10_18_years_8)2,0.24551848073035232,0.21511349432269797,1.1413439287171958,0.25430924922234355,age_10_18_years_8,kpsF.1,0.25430924922234355
factor(age_1_5_yers_9)2,-0.10506858348628652,0.2450253203807699,-0.42880704460669494,0.6682592855097406,age_1_5_yers_9,kpsF.1,0.6682592855097406
factor(age_5_10_years_9)2,0.1701187055313059,0.2374169048316473,0.7165399854401158,0.4740123700106187,age_5_10_years_9,kpsF.1,0.4740123700106187
factor(age_10_18_years_9)2,0.16348629748843002,0.24606159864630361,0.66441207562595,0.5067510554612246,age_10_18_years_9,kpsF.1,0.5067510554612246
factor(age_1_5_years_10)2,-0.2379494457369389,0.31622318480560496,-0.752473117628032,0.45214168749837036,age_1_5_years_10,kpsF.1,0.45214168749837036
factor(age_5_10_years_10)2,-0.1691652685189464,0.2490720356568786,-0.6791821011652561,0.4973553930667015,age_5_10_years_10,kpsF.1,0.4973553930667015
factor(age_10_18_years_10)2,0.23429070225506463,0.25539924448987233,0.9173508039267331,0.35942733324605014,age_10_18_years_10,kpsF.1,0.35942733324605014
factor(age_1_5_years_11)2,-0.12995354391218583,0.27443666411639384,-0.47352836156421885,0.6360556720730114,age_1_5_years_11,kpsF.1,0.6360556720730114
factor(age_5_10_years_11)2,-0.07786344185917952,0.24193441116950845,-0.3218369866559637,0.7477186746975337,age_5_10_years_11,kpsF.1,0.7477186746975337
factor(age_10_18_years_11)2,0.15128490785544282,0.25809827702252713,0.5861523354618849,0.5580533369232736,age_10_18_years_11,kpsF.1,0.5580533369232736
factor(age_1_5_years_12)2,-0.010319953429196999,0.22315546167902386,-0.04624557853771343,0.9631340743235346,age_1_5_years_12,kpsF.1,0.9631340743235346
factor(age_5_10_years_12)2,0.01676204665607652,0.24385508516837362,0.06873773677716377,0.9452274893919914,age_5_10_years_12,kpsF.1,0.9452274893919914
factor(age_10_18_years_12)2,-0.010847451530404608,0.2650594690038397,-0.04092459541691555,0.9673733145015282,age_10_18_years_12,kpsF.1,0.9673733145015282
factor(breast_fed)2,-3.9939635972260334,9.52792776450853,-0.4191849157487867,0.6752721026352104,breast_fed,katA.1,0.6752721026352104
factor(baby_food)2,4.0940096272885915,11.134008775405668,0.3677031076472657,0.7132605016255857,baby_food,katA.1,0.7132605016255857
factor(family_food)2,-13.974600146053609,18.134834845875343,-0.7705942879999288,0.4413346269464873,family_food,katA.1,0.4413346269464873
factor(age_4_12_months_3)2,-6.167127922264643,8.918512388229395,-0.6914973768948267,0.48959300323930877,age_4_12_months_3,katA.1,0.48959300323930877
factor(age_1_5_years_3)2,-3.778375580871482,8.78990716688778,-0.429853866387224,0.6674981180571389,age_1_5_years_3,katA.1,0.6674981180571389
