term,estimate,std.error,statistic,p.value,metadata_var,vfg_gene,fdr
p80,-1.555653402461989e-8,4.835035674184974e-8,-0.3217460029856389,0.7477890871628887,p80,kpsF.1,0.7477890871628887
cmc,-3.80387256448685e-9,1.6162714528736533e-8,-0.23534862029046835,0.8140413275876638,cmc,kpsF.1,0.8140413275876638
crn,-2.8044099705009e-8,3.476689852494634e-8,-0.8066321959920145,0.4202890103342256,crn,kpsF.1,0.4202890103342256
alsio,8.014067230674156e-6,1.1870693178071534e-5,0.6751136694762159,0.49993766188255373,alsio,kpsF.1,0.49993766188255373
so32,4.544950438020248e-6,3.15155008372673e-6,1.44213175017857,0.1499354982117914,so32,kpsF.1,0.1499354982117914
tio2,8.793417460600192e-7,1.5651149017723109e-6,0.5618384599522162,0.5744956242964332,tio2,kpsF.1,0.5744956242964332
asp,1.2755047195527694e-6,1.1685485628160168e-6,1.0915290644652416,0.2756029651997152,asp,kpsF.1,0.2756029651997152
suc,1.9238080668940474e-06,1.8369574231547967e-6,1.0472796171781125,0.29551235600067993,suc,kpsF.1,0.29551235600067993
sac,5.372060758739432e-6,2.4377505838034728e-6,2.203695814670972,0.028033051039853096,sac,kpsF.1,0.028033051039853096
totalad,-3.328381311773694e-9,8.996061920186693e-9,-0.3699820367293138,0.7115636031229657,totalad,kpsF.1,0.7115636031229657
totalas,8.373581715735208e-7,5.90000324416686e-7,1.4192503578729205,0.156493142167421,totalas,kpsF.1,0.156493142167421
totalem,-3.6119813002819836e-9,9.019821479704148e-9,-0.4004493113760005,0.6890087361144125,totalem,kpsF.1,0.6890087361144125
p80mgkgday,-3.0320976829014134e-4,0.001427632572159305,-0.21238641804840183,0.8318984489584534,p80mgkgday,kpsF.1,0.8318984489584534
cmcmgkgday,-5.698971242881257e-5,4.773199158133818e-4,-0.11939521176630286,0.9050137081117762,cmcmgkgday,kpsF.1,0.9050137081117762
crnmgkgday,-7.358189364707024e-4,0.0010263330899446374,-0.7169396988948237,0.47377048258402843,crnmgkgday,kpsF.1,0.47377048258402843
