diet,species,Cor_diet_sp,Pval_diet_sp,Cor_sp_cdai,Pval_sp_cdai,Qval_diet_sp,Qval_sp_cdai,ACME_est,ACME_CI_low,ACME_CI_high,ADE_est,ADE_CI_low,ADE_CI_high,Total_est,Total_CI_low,Total_CI_high,Pval_mediate,Pval_direct,ACME_inv_est,ACME_inv_CI_low,ACME_inv_CI_high,ADE_inv_est,ADE_inv_CI_low,ADE_inv_CI_high,Total_inv_est,Total_inv_CI_low,Total_inv_CI_high,Pval_mediate_inverse,Pval_direct_inverse,Qval_mediate,Qval_mediate_inverse
age_1_5_years_10,Phocaeicola_dorei,-0.21607446488574,0.00105173984062361,-0.17819353596116,0.00711293766368918,0.044972879139303,0.0167071326519211,1.23455928660162,-0.490237338246132,5.14289145743568,-5.55356451483306,-28.1746557348346,16.5995648551079,-4.31900522823144,-26.6918199594667,17.8580566877663,0.16,0.658,0.00559276505730387,-0.0255860617335186,0.0442863396184447,-0.335252440732979,-0.833922953985087,0.145505987594277,-0.329659675675675,-0.832616756111843,0.14823158203204,0.726,0.166,0.579090909090909,0.948360655737705
age_1_5_years_11,Phocaeicola_dorei,-0.218092324442632,0.000940794967526747,-0.17819353596116,0.00711293766368918,0.0419857102949727,0.0167071326519211,1.68079450161458,-1.05655714891236,4.12599542277073,11.2506375301927,-6.74506835830449,30.2982410375133,12.9314320318073,-4.77197912135742,31.1891289582567,0.194,0.252,-0.0132808083330643,-0.0443352213780824,0.00957077886334937,-0.543249057601002,-1.25979353353526,-0.0270956404914544,-0.556529865934066,-1.28677378087444,-0.0375830903860256,0.294,0.036,0.579090909090909,0.667931034482759
age_1_5_years_5,Phocaeicola_dorei,-0.221083918097648,0.000796011158664635,-0.17819353596116,0.00711293766368918,0.039167831114806,0.0167071326519211,1.33662880980612,-0.403732936727858,5.37056844289552,-1.44124320910379,-22.390108331608,18.0948927182763,-0.104614399297667,-20.6269114896184,19.4634825835256,0.11,0.898,0.000131754213587027,-0.0322642921082383,0.0313986010128172,-0.365029716158619,-0.752019025715891,0.0134702701177705,-0.364897961945032,-0.746441044670477,0.0128075090835376,0.982,0.06,0.510714285714286,0.992
age_1_5_years_6,Clostridium_fessum,-0.248007958766743,0.000159919408519318,-0.254330226959536,0.000106790408593349,0.019799054512811,0.000599212848218234,-0.429729448321685,-3.97553360083293,4.55893825195018,10.6281159489618,-8.40473910500622,30.202276533689,10.1983865006402,-9.21299655589529,29.4413958162648,0.936,0.3,0.00161332468897614,-0.0157095007005328,0.0216260321146313,-0.372702627320555,-0.768370018058583,-0.0917960611527719,-0.371089302631579,-0.761121464686459,-0.103297914737714,0.942,0.004,0.950625,0.98758064516129
age_1_5_years_6,Clostridium_sp_AT4,-0.241663649562638,0.000237330404435643,-0.159544640575251,0.0161307592768572,0.0213397350582344,0.0346639720630335,0.41300870933671,-1.77691204190723,6.70824219894459,9.78537779130346,-10.1900502552184,27.9837884343787,10.1983865006402,-8.81208499905659,29.3408494169073,0.708,0.396,-0.000928540124457514,-0.0123032245873755,0.0108616970741319,-0.111673774787823,-0.232503698831205,-0.0163314408207868,-0.112602314912281,-0.237936437444998,-0.0121007038893454,0.77,0.02,0.874920634920635,0.948360655737705
age_1_5_years_6,Phocaeicola_dorei,-0.226321783187199,0.000590926080289646,-0.17819353596116,0.00711293766368918,0.0335563705734035,0.0167071326519211,0.887989193797291,-0.521724853212325,3.99557523029736,9.31039730684287,-8.56062083283271,28.1066853311159,10.1983865006402,-7.81394007425879,29.2241128851609,0.238,0.324,-0.0117334329741814,-0.0472191677662773,0.00989216224689413,-0.256015842464415,-0.607208875732192,0.106339028650763,-0.267749275438597,-0.614844205041324,0.0785536223391346,0.366,0.176,0.616296296296296,0.724848484848485
age_1_5_years_7,Anaerostipes_hadrus,-0.225818750751704,0.000608257733953216,-0.212113478422704,0.00130522105691837,0.0335563705734035,0.00411960396089861,0.717555617144998,-1.86508259752139,3.45014767319735,17.2478101874508,-2.03460546628781,36.8578705361151,17.9653658045958,-1.73730500796251,36.8092990332085,0.558,0.092,-0.0211009460311828,-0.112019110004705,0.0526083998182573,-0.75233580140591,-1.46528114129094,-0.0639906332431863,-0.773436747437092,-1.46244037560518,-0.116906853707216,0.59,0.038,0.874920634920635,0.948360655737705
age_1_5_years_7,Anaerotruncus_colihominis,-0.220339144422772,0.000829997701204179,-0.255198220019067,0.000100948753139421,0.0397529885286575,0.000599212848218234,0.635763131169494,-0.139797016222464,4.4759327375555,17.3296026734263,-1.98271904778358,36.6150039524847,17.9653658045958,0.0400371993765537,37.9685975063977,0.256,0.08,-0.000761387849703147,-0.00249351085254538,0.000181433430571697,-0.00670687170295296,-0.0193341182272174,0.00760588164942639,-0.00746825955265611,-0.0205868039656902,0.00713848925075775,0.156,0.336,0.616296296296296,0.537727272727273
age_1_5_years_7,Clostridia_bacterium_UC5_1_1D1,-0.310433105576791,1.84510084220476e-06,-0.281765626178608,1.63678683302399e-05,0.000786833003597985,0.000183683855706025,2.38567289017303,0.193600657209619,4.63099660284971,15.5796929144228,-2.8156850151628,36.5687785373009,17.9653658045958,0.0356596987124302,38.3675211101984,0.03,0.092,-0.00278017546388727,-0.00756265822429332,0.000159233651916575,-0.0178314065491603,-0.0379740989014674,0.00071368666054865,-0.0206115820130475,-0.0424051000800155,-0.00153163026372175,0.076,0.064,0.195,0.411666666666667
age_1_5_years_7,Clostridium_sp_AT4,-0.246910256743385,0.000171351976520973,-0.159544640575251,0.0161307592768572,0.0198870738019952,0.0346639720630335,0.22838598751927,-0.956228883475807,5.68139503849274,17.7369798170766,-3.48616580100939,38.9647756153734,17.9653658045958,-1.83506221667754,39.2423823150874,0.7,0.104,-0.00122606245333138,-0.0153635392659417,0.0173699784361273,-0.0833935810695018,-0.170499741299325,0.00436815514855675,-0.0846196435228332,-0.176583432370828,0.0143458037271837,0.818,0.06,0.874920634920635,0.948360655737705
age_1_5_years_7,Dysosmobacter_welbionis,-0.272281130208646,3.20313470407373e-05,-0.40780394082977,1.65639584489482e-10,0.00647033210222893,1.67295980334377e-08,3.03697885491142,-0.738937976874872,7.42208285315878,14.9283869496844,-2.85850042036292,33.8276065700935,17.9653658045958,-0.494922073299584,37.5700298456687,0.13,0.114,-0.0125686051524397,-0.0292526385956423,0.000821957317027782,-0.0451195169351652,-0.109403862397676,0.0269412415961478,-0.0576881220876049,-0.12395710415159,0.0108255711134363,0.068,0.178,0.528125,0.411666666666667
age_1_5_years_7,Flavonifractor_plautii,-0.321684240943289,7.33926058109726e-07,-0.263515611197119,5.8291946412325e-05,0.000580458154332373,0.000399750903097897,-0.0434917726521078,-0.288614440573851,5.34034852393956,18.0088575772479,-2.52469135312644,36.2639698349127,17.9653658045958,-0.890420443156679,37.3407953658849,0.468,0.088,0.00676563660726745,-0.0321861628324575,0.0870777033860918,-0.0256662579182336,-0.204390519215282,0.206140061720794,-0.0189006213109662,-0.224192974529693,0.264730041063668,0.804,0.774,0.869142857142857,0.948360655737705
age_1_5_years_7,Mediterraneibacter_glycyrrhizinilyticus,-0.252407366233268,0.000120878477373668,-0.151548682169981,0.0223766249965341,0.017256096123473,0.0443144926401951,0.336408517389118,-0.622511901047185,2.22766212760509,17.6289572872067,-1.77179473978197,36.2177196950307,17.9653658045958,-1.20725664205984,36.619436741179,0.492,0.088,-0.00581409511868417,-0.0196504479160357,0.00194087066897836,-0.0636647539027511,-0.206956718232653,0.114261187979023,-0.0694788490214353,-0.211368424950779,0.102145913699921,0.208,0.446,0.874920634920635,0.5564
age_1_5_yers_9,Dysosmobacter_welbionis,0.217602394248798,0.000966695037193741,-0.40780394082977,1.65639584489482e-10,0.0426456960086158,1.67295980334377e-08,-4.88339845667868,-8.14766436534567,-2.3452557872778,-14.3744000949074,-33.4449068634659,5.09886160481486,-19.2577985515861,-38.3349212273962,0.0503809411013463,0,0.134,0.0127945854893288,-0.000529384033820117,0.0301909183868301,0.0830950957160637,0.0255895110712836,0.143799709031805,0.0958896812053926,0.0371809944806291,0.160344978702734,0.058,0.002,0,0.411666666666667
age_1_5_yers_9,Flavonifractor_plautii,0.250024509245988,0.00014075288233405,-0.263515611197119,5.8291946412325e-05,0.0186279159447615,0.000399750903097897,0.494958682621091,-4.96385439313909,3.92977504191788,-19.7527572342072,-39.7299605095853,-0.957428668142722,-19.2577985515861,-39.0874259770642,-0.781760641232006,0.618,0.046,-0.00970610899339618,-0.086390071270175,0.0417655520514133,0.16958725173725,-0.0670216470653053,0.459429111088469,0.159881142743854,-0.040622988335187,0.405939742465775,0.812,0.196,0.874920634920635,0.948360655737705
