diet	meta	Pval_mediate	Pval_direct	Pval_mediate_inverse	Pval_direct_inverse	Qval_mediate	Qval_mediate_inverse
breast_fed	Streptococcus_SGB14888	0	0.584	0.26	0.004	0	0.867721739130435
family_food	Coprococcus_eutactus	0	0.08	0.064	0	0	0.867721739130435
family_food	Lachnospiraceae_bacterium_NSJ_46	0	0.092	0.092	0	0	0.867721739130435
family_food	Phocaeicola_SGB6473	0	0.088	0.076	0	0	0.867721739130435
family_food	Streptococcus_SGB14888	0	0.08	0.076	0	0	0.867721739130435
age_10_18_years_3	GGB9759_SGB15370	0	0.42	0.264	0.004	0	0.867721739130435
age_10_18_years_3	Phocaeicola_SGB6473	0	0.308	0.256	0.012	0	0.867721739130435
age_4_12_months_5	Eubacterium_rectale	0	0.448	0.78	0	0	0.989960317460318
age_4_12_months_5	GGB9759_SGB15370	0	0.608	0.72	0	0	0.987401984262744
age_4_12_months_5	Phocaeicola_SGB6473	0	0.696	0.816	0	0	0.9991238891793
age_10_18_years_5	Escherichia_coli	0	0.944	0.568	0	0	0.973207142857143
age_4_12_months_6	Butyricimonas_SGB15260	0	0.624	0.668	0	0	0.987401984262744
age_4_12_months_6	Catenibacterium_SGB4425	0	0.584	0.74	0	0	0.987401984262744
age_4_12_months_6	Christensenellaceae_bacterium_NSJ_63	0	0.428	0.716	0	0	0.987401984262744
age_4_12_months_6	Clostridiaceae_bacterium_Marseille_Q4149	0	0.636	0.724	0	0	0.987401984262744
age_4_12_months_6	Clostridium_leptum	0	0.636	0.736	0	0	0.987401984262744
age_4_12_months_6	Dysosmobacter_welbionis	0	0.468	0.78	0	0	0.989960317460318
age_4_12_months_6	GGB9759_SGB15370	0	0.568	0.608	0	0	0.98335608933839
age_4_12_months_6	Lachnospiraceae_bacterium_NSJ_46	0	0.68	0.692	0.004	0	0.987401984262744
age_4_12_months_6	Lacrimispora_celerecrescens	0	0.56	0.708	0	0	0.987401984262744
age_4_12_months_6	Oscillibacter_sp_ER4	0	0.508	0.7	0	0	0.987401984262744
age_4_12_months_6	Oscillospiraceae_bacterium_Marseille_Q3528	0	0.444	0.724	0	0	0.987401984262744
age_4_12_months_6	Phocaeicola_SGB6473	0	0.652	0.704	0	0	0.987401984262744
age_4_12_months_7	Lacrimispora_celerecrescens	0	0.764	0.524	0.008	0	0.952231060606061
age_4_12_months_7	Phocaeicola_SGB6473	0	0.652	0.62	0	0	0.984917218543046
age_5_10_years_7	Oscillibacter_sp_ER4	0	0.224	0.188	0.028	0	0.867721739130435
age_10_18_years_7	Clostridium_leptum	0	0.236	0.18	0	0	0.867721739130435
age_10_18_years_7	GGB9759_SGB15370	0	0.288	0.18	0.008	0	0.867721739130435
age_10_18_years_7	Oscillibacter_sp_ER4	0	0.308	0.152	0	0	0.867721739130435
age_10_18_years_7	Oscillospiraceae_bacterium_Marseille_Q3528	0	0.376	0.208	0.004	0	0.867721739130435
age_10_18_years_7	Parabacteroides_merdae	0	0.32	0.156	0	0	0.867721739130435
age_4_12_months_9	Catenibacterium_SGB4425	0.324	0	0	0.672	0.996935323383085	0
age_4_12_months_9	Clostridiaceae_bacterium_Marseille_Q4149	0.46	0	0	0.804	0.996935323383085	0
age_4_12_months_9	Coprococcus_eutactus	0.128	0	0	0.5	0.996935323383085	0
age_4_12_months_9	Lachnospiraceae_bacterium	0.34	0	0	0.604	0.996935323383085	0
age_4_12_months_9	Lachnospiraceae_bacterium_NSJ_46	0.908	0	0	0.904	0.996935323383085	0
age_4_12_months_9	Streptococcus_SGB14888	0.716	0	0	0.704	0.996935323383085	0
age_4_12_months_9	Vescimonas_coprocola	0.864	0	0	0.676	0.996935323383085	0
age_4_12_months_9	Waltera_intestinalis	0.36	0	0	0.832	0.996935323383085	0
age_10_18_years_9	Alistipes_putredinis	0.408	0.012	0	0.7	0.996935323383085	0
age_10_18_years_9	Clostridiaceae_bacterium_Marseille_Q4149	0.288	0	0	0.18	0.996935323383085	0
age_10_18_years_9	Clostridium_leptum	0.592	0	0	0.416	0.996935323383085	0
age_10_18_years_9	Eubacterium_rectale	0.84	0	0	0.416	0.996935323383085	0
age_10_18_years_9	Eubacterium_sp_AF34_35BH	0.428	0	0	0.216	0.996935323383085	0
age_10_18_years_9	Evtepia_gabavorous	0.184	0	0	0.044	0.996935323383085	0
age_10_18_years_9	Lacrimispora_celerecrescens	0.66	0.004	0	0.508	0.996935323383085	0
age_10_18_years_9	Oscillospiraceae_bacterium_Marseille_Q3528	0.984	0.004	0	0.476	0.996935323383085	0
age_10_18_years_9	Parabacteroides_merdae	0.7	0	0	0.484	0.996935323383085	0
age_10_18_years_9	Phocaeicola_SGB6473	0.284	0	0	0.284	0.996935323383085	0
age_4_12_months_10	Clostridiaceae_bacterium_Marseille_Q4149	0	0.048	0.056	0.024	0	0.867721739130435
age_4_12_months_10	Collinsella_SGB14861	0	0.052	0.064	0.036	0	0.867721739130435
age_4_12_months_11	GGB9759_SGB15370	0	0.32	0.292	0.012	0	0.867721739130435
age_4_12_months_11	Lachnospiraceae_bacterium_NSJ_46	0	0.228	0.228	0	0	0.867721739130435
age_4_12_months_11	Phocaeicola_SGB6473	0	0.228	0.272	0.004	0	0.867721739130435
age_10_18_years_11	Phocaeicola_SGB6473	0	0.436	0.384	0	0	0.869493805309735
age_4_12_months_12	Lachnospiraceae_bacterium_NSJ_46	0	0.796	0.92	0	0	0.9991238891793
age_4_12_months_12	Escherichia_coli	0	0.736	0.964	0	0	0.9991238891793
age_5_10_years_12	Christensenellaceae_bacterium_NSJ_63	0	0.88	0.62	0.004	0	0.984917218543046
